Week,Market,Channel,Product,Impressions,Clicks,Spend_AED,Conversions,Sales_AED,Engagement_Rate,Brand_Awareness_Score,Purchase_Intent_Score,Influencer_Name,Follower_Count,Influencer_Engagement_Rate,TV_GRP,PR_Mentions,PR_Share_of_Voice,Website_Sessions,Bounce_Rate,Avg_Session_Duration_Sec,Page_Views_Per_Session,Competitor_SOV,Sentiment_Score
1,SETK,TV,Galaxy Z Fold8,N/A,N/A,80759,N/A,N/A,N/A,63.4,48.1,N/A,N/A,N/A,843,N/A,N/A,N/A,N/A,N/A,N/A,14.7,0.76
1,SETK,Search,Galaxy Z Fold8,650849,12976,18477,1893,634412,1.99,58.0,46.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.4,0.93
1,SETK,Website,Galaxy Z Fold8,N/A,N/A,N/A,1412,361698,N/A,60.8,41.3,N/A,N/A,N/A,N/A,N/A,N/A,95931,29.0,156,2.57,15.2,0.83
1,SETK,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,69.5,50.8,N/A,N/A,N/A,N/A,118,34.3,N/A,N/A,N/A,N/A,8.8,0.82
1,SETK,Paid Social,Galaxy Z Flip8,122622,985,2207,100,20471,1.36,57.4,40.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.2,0.93
1,SETK,Influencer,Galaxy Z Flip8,N/A,N/A,969,23,11416,2.97,49.2,49.5,Influencer_7,678634,2.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.6,0.87
1,SETK,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,74.2,52.3,N/A,N/A,N/A,N/A,11,29.8,N/A,N/A,N/A,N/A,6.6,0.94
1,SETK,Paid Social,Galaxy S24,699167,6861,19095,735,161205,1.34,51.0,33.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.8,0.88
1,SETK,Influencer,Galaxy S24,N/A,N/A,7052,10,2452,3.68,42.8,25.6,Influencer_7,484913,3.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,0.83
1,SETK,TV,Galaxy S24,N/A,N/A,49099,N/A,N/A,N/A,58.6,38.1,N/A,N/A,N/A,642,N/A,N/A,N/A,N/A,N/A,N/A,19.4,0.8
1,SETK,Search,Galaxy S24,575912,12359,10108,2047,981901,2.15,50.9,31.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,0.9
1,SETK,Website,Galaxy S24,N/A,N/A,N/A,1333,511416,N/A,43.0,38.1,N/A,N/A,N/A,N/A,N/A,N/A,99674,41.0,206,3.23,11.4,0.87
1,SETK,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,72.5,64.2,N/A,N/A,N/A,N/A,66,38.7,N/A,N/A,N/A,N/A,14.0,0.89
1,SETK,Paid Social,Galaxy Tab S10,139007,1495,4345,139,23767,1.1,62.5,31.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.6,0.78
1,SETK,Paid Social,Galaxy Buds3,105220,1082,3480,67,25982,1.1,61.5,40.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.5,0.71
1,SETK,Paid Social,Galaxy Watch6,949126,9918,13535,1016,317945,1.33,65.0,32.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.7,0.74
1,SETK,Influencer,Galaxy Watch6,N/A,N/A,7239,48,16296,4.84,39.0,32.1,Influencer_7,696564,4.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.8,0.94
1,SETK,TV,Galaxy Watch6,N/A,N/A,35630,N/A,N/A,N/A,67.5,60.6,N/A,N/A,N/A,758,N/A,N/A,N/A,N/A,N/A,N/A,10.7,0.73
1,SETK,Search,Galaxy Watch6,440376,7820,21183,935,434311,1.78,43.3,48.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.2,0.8
1,SETK,Website,Galaxy Watch6,N/A,N/A,N/A,1403,491194,N/A,46.9,35.3,N/A,N/A,N/A,N/A,N/A,N/A,85051,27.4,160,3.02,12.6,0.81
1,SETK,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,54.1,65.2,N/A,N/A,N/A,N/A,68,41.7,N/A,N/A,N/A,N/A,10.9,0.93
1,SELV,Paid Social,Galaxy Z Fold8,1197394,10861,24433,1072,419546,0.99,60.7,42.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.3,0.81
1,SELV,Influencer,Galaxy Z Fold8,N/A,N/A,13717,21,10088,3.44,39.7,34.5,Influencer_8,821254,3.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.2,0.86
1,SELV,TV,Galaxy Z Fold8,N/A,N/A,75399,N/A,N/A,N/A,47.7,57.8,N/A,N/A,N/A,786,N/A,N/A,N/A,N/A,N/A,N/A,11.6,0.76
1,SELV,Search,Galaxy Z Fold8,598743,9222,26196,1250,506235,1.54,46.2,37.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.3,0.87
1,SELV,Website,Galaxy Z Fold8,N/A,N/A,N/A,1670,603664,N/A,41.7,43.3,N/A,N/A,N/A,N/A,N/A,N/A,112059,34.8,154,2.64,10.6,0.85
1,SELV,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,60.1,66.1,N/A,N/A,N/A,N/A,110,33.6,N/A,N/A,N/A,N/A,10.2,0.86
1,SELV,Paid Social,Galaxy Z Flip8,121752,1204,3338,70,23122,1.02,58.8,54.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.8,0.75
1,SELV,Influencer,Galaxy Z Flip8,N/A,N/A,1291,36,12866,3.47,39.8,24.0,Influencer_8,707719,3.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.6,0.8
1,SELV,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,69.2,44.4,N/A,N/A,N/A,N/A,6,26.1,N/A,N/A,N/A,N/A,5.6,0.81
1,SELV,Paid Social,Galaxy S24,718478,9255,17749,842,284762,0.87,36.9,34.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,0.79
1,SELV,Influencer,Galaxy S24,N/A,N/A,7603,16,3513,5.79,46.1,38.3,Influencer_9,464742,5.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.6,0.78
1,SELV,TV,Galaxy S24,N/A,N/A,73574,N/A,N/A,N/A,54.6,61.3,N/A,N/A,N/A,972,N/A,N/A,N/A,N/A,N/A,N/A,10.8,0.87
1,SELV,Search,Galaxy S24,679672,12207,19133,1923,700190,1.8,64.1,38.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.9,0.85
1,SELV,Website,Galaxy S24,N/A,N/A,N/A,897,345365,N/A,42.8,28.0,N/A,N/A,N/A,N/A,N/A,N/A,63683,44.0,203,3.44,9.9,0.85
1,SELV,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,62.8,56.0,N/A,N/A,N/A,N/A,44,17.1,N/A,N/A,N/A,N/A,7.8,0.84
1,SELV,Paid Social,Galaxy Tab S10,143656,1433,4434,65,13543,0.99,60.2,43.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.1,0.75
1,SELV,Paid Social,Galaxy Buds3,92428,1091,2785,122,43512,0.85,41.5,35.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.5,0.84
1,SELV,Paid Social,Galaxy Watch6,716445,7933,30093,754,244999,1.46,51.5,41.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,0.71
1,SELV,Influencer,Galaxy Watch6,N/A,N/A,5555,18,4836,3.63,51.5,46.8,Influencer_10,970214,3.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.6,0.75
1,SELV,TV,Galaxy Watch6,N/A,N/A,52428,N/A,N/A,N/A,48.0,55.4,N/A,N/A,N/A,763,N/A,N/A,N/A,N/A,N/A,N/A,15.0,0.85
1,SELV,Search,Galaxy Watch6,490417,6775,26710,972,386387,1.38,43.7,39.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.6,0.89
1,SELV,Website,Galaxy Watch6,N/A,N/A,N/A,883,329728,N/A,50.0,37.4,N/A,N/A,N/A,N/A,N/A,N/A,78185,30.8,252,3.72,10.6,0.81
1,SELV,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,72.1,41.2,N/A,N/A,N/A,N/A,77,42.9,N/A,N/A,N/A,N/A,13.0,0.87
1,SEMAG,Paid Social,Galaxy Z Fold8,561444,5228,25344,469,128798,1.11,38.0,34.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.1,0.77
1,SEMAG,Influencer,Galaxy Z Fold8,N/A,N/A,8670,22,5979,2.92,36.1,37.5,Influencer_11,708257,2.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,0.77
1,SEMAG,TV,Galaxy Z Fold8,N/A,N/A,39773,N/A,N/A,N/A,70.7,52.7,N/A,N/A,N/A,675,N/A,N/A,N/A,N/A,N/A,N/A,11.2,0.91
1,SEMAG,Search,Galaxy Z Fold8,481331,8225,20142,999,394355,1.71,53.2,42.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,0.81
1,SEMAG,Website,Galaxy Z Fold8,N/A,N/A,N/A,1915,448353,N/A,55.9,32.7,N/A,N/A,N/A,N/A,N/A,N/A,123904,26.4,256,3.01,7.5,0.88
1,SEMAG,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,68.0,62.8,N/A,N/A,N/A,N/A,99,34.4,N/A,N/A,N/A,N/A,9.2,0.88
1,SEMAG,Paid Social,Galaxy Z Flip8,85972,1019,3800,71,27208,1.41,65.9,33.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.1,0.91
1,SEMAG,Influencer,Galaxy Z Flip8,N/A,N/A,876,10,4434,3.61,42.9,40.9,Influencer_12,245767,3.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9,0.95
1,SEMAG,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,54.7,65.3,N/A,N/A,N/A,N/A,10,45.9,N/A,N/A,N/A,N/A,8.2,0.82
1,SEMAG,Paid Social,Galaxy S24,801587,8883,24848,1002,154144,0.9,62.6,55.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.4,0.9
1,SEMAG,Influencer,Galaxy S24,N/A,N/A,5317,29,13210,4.68,56.9,46.8,Influencer_12,555007,4.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.5,0.81
1,SEMAG,TV,Galaxy S24,N/A,N/A,52681,N/A,N/A,N/A,60.5,51.9,N/A,N/A,N/A,719,N/A,N/A,N/A,N/A,N/A,N/A,12.2,0.86
1,SEMAG,Search,Galaxy S24,383067,8417,11016,1038,290155,2.2,57.2,52.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.6,0.89
1,SEMAG,Website,Galaxy S24,N/A,N/A,N/A,386,154027,N/A,42.3,36.3,N/A,N/A,N/A,N/A,N/A,N/A,45724,30.9,245,3.15,14.3,0.78
1,SEMAG,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,73.3,56.7,N/A,N/A,N/A,N/A,35,19.4,N/A,N/A,N/A,N/A,7.4,0.95
1,SEMAG,Paid Social,Galaxy Tab S10,73316,705,2591,54,17102,1.43,50.5,34.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.1,0.72
1,SEMAG,Paid Social,Galaxy Buds3,126935,1322,3984,84,32802,1.28,50.2,35.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.5,0.91
1,SEMAG,Paid Social,Galaxy Watch6,472528,4564,26129,313,70102,1.29,37.2,51.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.2,0.7
1,SEMAG,Influencer,Galaxy Watch6,N/A,N/A,6771,72,32389,5.91,58.4,44.3,Influencer_11,980841,5.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0,0.91
1,SEMAG,TV,Galaxy Watch6,N/A,N/A,37699,N/A,N/A,N/A,51.8,42.8,N/A,N/A,N/A,615,N/A,N/A,N/A,N/A,N/A,N/A,18.5,0.87
1,SEMAG,Search,Galaxy Watch6,558419,11382,11204,1938,860282,2.04,49.1,42.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.8,0.9
1,SEMAG,Website,Galaxy Watch6,N/A,N/A,N/A,898,252948,N/A,49.7,50.3,N/A,N/A,N/A,N/A,N/A,N/A,52540,33.3,201,2.7,12.8,0.91
1,SEMAG,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,72.1,53.2,N/A,N/A,N/A,N/A,34,24.7,N/A,N/A,N/A,N/A,12.5,0.92
1,SEEG,Paid Social,Galaxy Z Fold8,762282,10389,30764,1215,225004,1.48,62.3,47.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.3,0.94
1,SEEG,Influencer,Galaxy Z Fold8,N/A,N/A,7011,8,2887,2.82,44.9,41.2,Influencer_13,583542,2.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,0.87
1,SEEG,TV,Galaxy Z Fold8,N/A,N/A,61137,N/A,N/A,N/A,63.9,48.3,N/A,N/A,N/A,510,N/A,N/A,N/A,N/A,N/A,N/A,16.8,0.91
1,SEEG,Search,Galaxy Z Fold8,530964,11231,19408,1625,716009,2.12,53.0,48.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.4,0.8
1,SEEG,Website,Galaxy Z Fold8,N/A,N/A,N/A,1098,303148,N/A,49.6,35.7,N/A,N/A,N/A,N/A,N/A,N/A,62934,34.9,174,2.85,11.2,0.92
1,SEEG,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,70.1,45.1,N/A,N/A,N/A,N/A,99,29.6,N/A,N/A,N/A,N/A,8.9,0.82
1,SEEG,Paid Social,Galaxy Z Flip8,102135,1257,2857,53,12859,1.11,65.0,51.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,0.87
1,SEEG,Influencer,Galaxy Z Flip8,N/A,N/A,845,25,12261,3.76,59.8,45.7,Influencer_13,876149,3.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.6,0.79
1,SEEG,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,52.0,60.9,N/A,N/A,N/A,N/A,13,34.9,N/A,N/A,N/A,N/A,7.4,0.82
1,SEEG,Paid Social,Galaxy S24,716400,6760,27144,382,77923,1.41,46.4,30.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.3,0.7
1,SEEG,Influencer,Galaxy S24,N/A,N/A,8586,9,3584,4.39,32.1,21.4,Influencer_14,336306,4.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.6,0.8
1,SEEG,TV,Galaxy S24,N/A,N/A,46096,N/A,N/A,N/A,51.4,37.8,N/A,N/A,N/A,367,N/A,N/A,N/A,N/A,N/A,N/A,18.3,0.83
1,SEEG,Search,Galaxy S24,621847,7857,22219,1239,500520,1.26,44.1,43.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,0.79
1,SEEG,Website,Galaxy S24,N/A,N/A,N/A,1173,423259,N/A,46.9,28.7,N/A,N/A,N/A,N/A,N/A,N/A,106511,25.6,272,3.77,14.6,0.83
1,SEEG,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,55.2,44.4,N/A,N/A,N/A,N/A,27,26.7,N/A,N/A,N/A,N/A,10.8,0.89
1,SEEG,Paid Social,Galaxy Tab S10,117905,1211,4262,99,26079,1.22,39.5,47.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.7,0.86
1,SEEG,Paid Social,Galaxy Buds3,121926,1445,2570,107,39806,1.09,61.3,38.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.3,0.78
1,SEEG,Paid Social,Galaxy Watch6,597466,7561,21837,879,282778,1.13,39.2,28.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.7,0.89
1,SEEG,Influencer,Galaxy Watch6,N/A,N/A,7023,21,7738,4.45,51.4,33.3,Influencer_15,336435,4.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.4,0.94
1,SEEG,TV,Galaxy Watch6,N/A,N/A,51944,N/A,N/A,N/A,69.9,37.8,N/A,N/A,N/A,759,N/A,N/A,N/A,N/A,N/A,N/A,12.9,0.78
1,SEEG,Search,Galaxy Watch6,318884,5669,15273,541,213509,1.78,62.6,39.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.6,0.8
1,SEEG,Website,Galaxy Watch6,N/A,N/A,N/A,1069,429529,N/A,52.6,43.3,N/A,N/A,N/A,N/A,N/A,N/A,77860,41.9,156,3.41,7.8,0.8
1,SEEG,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,60.3,45.7,N/A,N/A,N/A,N/A,52,44.6,N/A,N/A,N/A,N/A,6.5,0.91
1,SEIL,Paid Social,Galaxy Z Fold8,704132,6332,17067,299,84503,1.06,50.1,30.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.2,0.78
1,SEIL,Influencer,Galaxy Z Fold8,N/A,N/A,4501,15,6394,2.8,32.8,23.4,Influencer_16,825185,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.1,0.83
