date,market,station,campaign,grps,spots,reach_pct_1plus,agency_reported_spend_usd
"Sep 01, 2025",UAE,MBC 1,Always-On Brand,39.6,68,23.9,38294.54
"Sep 01, 2025",UAE,Dubai TV,Always-On Brand,41.0,79,24.6,32317.3
"Sep 01, 2025",UAE,MBC 4,Always-On Brand,38.9,91,23.6,28316.88
"Sep 08, 2025",Egypt,ON E,Always-On Brand,57.8,119,32.9,10540.14
"Sep 08, 2025",Egypt,CBC,Always-On Brand,39.6,83,23.9,8408.58
"Sep 08, 2025",Egypt,MBC Masr,Always-On Brand,105.5,251,51.7,19953.33
"Sep 08, 2025",KSA,MBC 1,Always-On Brand,34.8,68,21.3,23659.13
"Sep 08, 2025",KSA,SSC Sports,Always-On Brand,96.8,204,48.7,73152.84
"Sep 08, 2025",KSA,Rotana Khalijia,Always-On Brand,38.8,73,23.5,28690.28
"Sep 08, 2025",UAE,MBC 1,Always-On Brand,49.5,98,28.9,35604.29
"Sep 08, 2025",UAE,Dubai TV,Always-On Brand,33.4,63,20.6,26840.19
"Sep 08, 2025",UAE,MBC 4,Always-On Brand,28.6,67,17.9,23543.71
"Sep 15, 2025",Egypt,ON E,Always-On Brand,87.5,179,45.3,18814.0
"Sep 15, 2025",Egypt,CBC,Always-On Brand,78.9,170,42.0,16897.35
"Sep 15, 2025",Egypt,MBC Masr,Always-On Brand,21.1,46,13.6,4449.66
"Sep 15, 2025",KSA,MBC 1,Always-On Brand,98.4,214,49.3,66313.58
"Sep 15, 2025",KSA,SSC Sports,Always-On Brand,56.7,131,32.3,42709.24
"Sep 15, 2025",KSA,Rotana Khalijia,Always-On Brand,20.5,44,13.2,15848.49
"Sep 15, 2025",UAE,MBC 1,Always-On Brand,44.8,95,26.6,35984.56
"Sep 15, 2025",UAE,Dubai TV,Always-On Brand,7.7,17,5.2,6776.5
"Sep 15, 2025",UAE,MBC 4,Always-On Brand,64.3,130,35.8,51124.77
"Sep 22, 2025",Egypt,ON E,Always-On Brand,40.5,74,24.4,9199.46
"Sep 22, 2025",Egypt,CBC,Always-On Brand,95.1,198,48.1,22766.52
"Sep 22, 2025",Egypt,MBC Masr,Always-On Brand,42.0,95,25.1,8061.31
"Sep 22, 2025",KSA,MBC 1,Always-On Brand,59.3,130,33.6,38492.74
"Sep 22, 2025",KSA,SSC Sports,Always-On Brand,60.4,133,34.1,44760.26
"Sep 22, 2025",KSA,Rotana Khalijia,Always-On Brand,49.5,106,28.9,31947.85
"Sep 22, 2025",UAE,MBC 1,Always-On Brand,17.2,38,11.2,13449.51
"Sep 22, 2025",UAE,Dubai TV,Always-On Brand,54.3,109,31.2,43179.68
"Sep 22, 2025",UAE,MBC 4,Always-On Brand,40.0,76,24.1,32578.85
"Sep 29, 2025",Egypt,ON E,Always-On Brand,35.9,79,22.0,7956.86
"Sep 29, 2025",Egypt,CBC,Always-On Brand,76.5,130,41.0,16619.03
"Sep 29, 2025",Egypt,MBC Masr,Always-On Brand,64.9,130,36.1,14908.0
"Sep 29, 2025",KSA,MBC 1,Always-On Brand,34.3,82,21.1,24481.6
"Sep 29, 2025",KSA,SSC Sports,Always-On Brand,69.3,164,38.0,45958.89
"Sep 29, 2025",KSA,Rotana Khalijia,Always-On Brand,69.5,131,38.1,43620.28
"Sep 29, 2025",UAE,MBC 1,Always-On Brand,58.5,105,33.2,44218.52
"Sep 29, 2025",UAE,Dubai TV,Always-On Brand,30.3,71,18.9,23465.26
"Sep 29, 2025",UAE,MBC 4,Always-On Brand,27.9,54,17.5,23761.82
"Oct 06, 2025",Egypt,ON E,Always-On Brand,75.5,180,40.6,17153.41
"Oct 06, 2025",Egypt,CBC,Always-On Brand,55.3,92,31.7,11218.93
"Oct 06, 2025",Egypt,MBC Masr,Always-On Brand,40.8,79,24.5,9471.86
"Oct 06, 2025",KSA,MBC 1,Always-On Brand,65.5,139,36.3,43894.4
"Oct 06, 2025",KSA,SSC Sports,Always-On Brand,31.0,61,19.3,20453.38
"Oct 06, 2025",KSA,Rotana Khalijia,Always-On Brand,88.6,165,45.7,61887.45
"Oct 06, 2025",UAE,MBC 1,Always-On Brand,26.5,46,16.7,21513.59
"Oct 06, 2025",UAE,Dubai TV,Always-On Brand,45.9,93,27.1,37898.82
"Oct 06, 2025",UAE,MBC 4,Always-On Brand,49.6,93,29.0,38718.22
"Oct 13, 2025",Egypt,ON E,Always-On Brand,51.4,85,29.8,12842.26
"Oct 13, 2025",Egypt,CBC,Always-On Brand,96.2,210,48.5,17956.75
"Oct 13, 2025",Egypt,MBC Masr,Always-On Brand,64.1,134,35.7,12584.93
"Oct 13, 2025",KSA,MBC 1,Always-On Brand,68.7,124,37.8,56583.46
"Oct 13, 2025",KSA,SSC Sports,Always-On Brand,92.7,203,47.2,63069.07
"Oct 13, 2025",KSA,Rotana Khalijia,Always-On Brand,8.6,17,5.8,5696.52
"Oct 13, 2025",UAE,MBC 1,Always-On Brand,66.6,120,36.8,54353.37
"Oct 13, 2025",UAE,Dubai TV,Always-On Brand,17.2,40,11.2,14436.35
"Oct 13, 2025",UAE,MBC 4,Always-On Brand,33.8,61,20.8,23544.49
"Oct 20, 2025",Egypt,ON E,Always-On Brand,68.4,118,37.6,13726.45
"Oct 20, 2025",Egypt,CBC,Always-On Brand,25.0,59,15.9,5797.93
"Oct 20, 2025",Egypt,MBC Masr,Always-On Brand,90.4,176,46.4,19552.68
"Oct 20, 2025",KSA,MBC 1,Always-On Brand,37.1,72,22.6,28355.66
"Oct 20, 2025",KSA,SSC Sports,Always-On Brand,39.8,75,24.0,25491.42
"Oct 20, 2025",KSA,Rotana Khalijia,Always-On Brand,88.5,190,45.7,69214.54
"Oct 20, 2025",UAE,MBC 1,Always-On Brand,33.0,62,20.4,27127.52
"Oct 20, 2025",UAE,Dubai TV,Always-On Brand,65.1,146,36.2,52177.5
"Oct 20, 2025",UAE,MBC 4,Always-On Brand,19.9,44,12.8,17219.91
"Oct 27, 2025",Egypt,ON E,Always-On Brand,18.9,44,12.3,4434.88
"Oct 27, 2025",Egypt,CBC,Always-On Brand,37.3,64,22.7,8107.57
"Oct 27, 2025",Egypt,MBC Masr,Always-On Brand,118.9,228,56.0,25624.28
"Oct 27, 2025",KSA,MBC 1,Always-On Brand,131.8,278,59.7,89340.77
"Oct 27, 2025",KSA,SSC Sports,Always-On Brand,29.6,65,18.5,18915.56
"Oct 27, 2025",KSA,Rotana Khalijia,Always-On Brand,25.6,54,16.2,16468.98
"Oct 27, 2025",UAE,MBC 1,Always-On Brand,28.5,65,17.9,24133.82
"Oct 27, 2025",UAE,Dubai TV,Always-On Brand,36.3,74,22.1,31906.51
"Oct 27, 2025",UAE,MBC 4,Always-On Brand,30.6,72,19.0,25316.77
"Nov 03, 2025",Egypt,ON E,Always-On Brand,45.3,102,26.8,10579.3
"Nov 03, 2025",Egypt,CBC,Always-On Brand,47.1,75,27.8,10843.5
"Nov 03, 2025",Egypt,MBC Masr,Always-On Brand,93.7,184,47.6,18987.2
"Nov 03, 2025",KSA,MBC 1,Always-On Brand,27.2,46,17.1,19465.45
"Nov 03, 2025",KSA,SSC Sports,Always-On Brand,86.2,205,44.8,63430.6
"Nov 03, 2025",KSA,Rotana Khalijia,Always-On Brand,69.0,113,37.8,44808.6
"Nov 03, 2025",UAE,MBC 1,Always-On Brand,54.0,117,31.1,37662.05
"Nov 03, 2025",UAE,Dubai TV,Always-On Brand,54.2,119,31.2,51633.2
"Nov 03, 2025",UAE,MBC 4,Always-On Brand,11.3,21,7.5,8796.25
"Nov 10, 2025",Egypt,ON E,Always-On Brand,121.6,251,56.8,22690.63
"Nov 10, 2025",Egypt,CBC,White Friday Blitz,43.5,74,25.9,8019.83
"Nov 10, 2025",Egypt,MBC Masr,Always-On Brand,21.9,41,14.0,5139.69
"Nov 10, 2025",KSA,MBC 1,Always-On Brand,77.6,132,41.4,57685.59
"Nov 10, 2025",KSA,SSC Sports,White Friday Blitz,37.9,72,23.0,25369.09
"Nov 10, 2025",KSA,Rotana Khalijia,White Friday Blitz,54.3,93,31.2,38277.41
"Nov 10, 2025",UAE,MBC 1,White Friday Blitz,18.5,38,12.0,15108.35
"Nov 10, 2025",UAE,Dubai TV,White Friday Blitz,52.1,106,30.2,44104.1
"Nov 10, 2025",UAE,MBC 4,White Friday Blitz,53.6,125,30.9,44114.49
"Nov 17, 2025",Egypt,ON E,White Friday Blitz,130.8,231,59.4,28386.64
"Nov 17, 2025",Egypt,CBC,White Friday Blitz,100.5,187,50.0,20948.2
"Nov 17, 2025",Egypt,MBC Masr,White Friday Blitz,164.3,329,67.8,33863.52
"Nov 17, 2025",KSA,MBC 1,White Friday Blitz,153.0,299,65.2,109006.97
"Nov 17, 2025",KSA,SSC Sports,Always-On Brand,86.9,166,45.1,62482.07
"Nov 17, 2025",KSA,Rotana Khalijia,Always-On Brand,86.2,140,44.8,68352.88
"Nov 17, 2025",UAE,MBC 1,Always-On Brand,35.6,70,21.8,27065.12
"Nov 17, 2025",UAE,Dubai TV,Always-On Brand,65.7,111,36.5,53109.65
"Nov 17, 2025",UAE,MBC 4,White Friday Blitz,109.5,230,53.0,93240.62
"Nov 24, 2025",Egypt,ON E,White Friday Blitz,169.2,365,68.9,39264.37
"Nov 24, 2025",Egypt,CBC,Always-On Brand,73.5,147,39.8,15224.21
"Nov 24, 2025",Egypt,MBC Masr,Always-On Brand,232.1,386,79.8,41253.34
"Nov 24, 2025",KSA,MBC 1,Always-On Brand,133.8,300,60.3,88085.06
"Nov 24, 2025",KSA,SSC Sports,White Friday Blitz,46.4,109,27.4,33098.77
"Nov 24, 2025",KSA,Rotana Khalijia,White Friday Blitz,227.4,383,79.2,159044.44
"Nov 24, 2025",UAE,MBC 1,White Friday Blitz,146.9,264,63.7,118355.05
"Nov 24, 2025",UAE,Dubai TV,Always-On Brand,50.6,96,29.5,42821.76
"Nov 24, 2025",UAE,MBC 4,Always-On Brand,42.4,96,25.4,38729.28
"Dec 01, 2025",Egypt,ON E,White Friday Blitz,110.4,255,53.3,21999.61
"Dec 01, 2025",Egypt,CBC,Always-On Brand,92.7,163,47.2,20665.46
"Dec 01, 2025",Egypt,MBC Masr,White Friday Blitz,110.2,229,53.2,22192.35
"Dec 01, 2025",KSA,MBC 1,White Friday Blitz,35.9,82,21.9,25407.9
"Dec 01, 2025",KSA,SSC Sports,Always-On Brand,87.2,148,45.2,66016.77
"Dec 01, 2025",KSA,Rotana Khalijia,Always-On Brand,136.5,272,61.0,100319.09
"Dec 01, 2025",UAE,MBC 1,White Friday Blitz,73.3,124,39.7,51047.31
"Dec 01, 2025",UAE,Dubai TV,White Friday Blitz,69.2,111,38.0,57309.5
"Dec 01, 2025",UAE,MBC 4,White Friday Blitz,54.8,116,31.5,38958.78
"Dec 08, 2025",Egypt,ON E,White Friday Blitz,76.0,167,40.8,18607.74
"Dec 08, 2025",Egypt,CBC,Always-On Brand,47.2,89,27.8,10827.59
"Dec 08, 2025",Egypt,MBC Masr,Always-On Brand,47.9,93,28.1,12235.72
"Dec 08, 2025",KSA,MBC 1,White Friday Blitz,36.9,61,22.5,25435.37
"Dec 08, 2025",KSA,SSC Sports,White Friday Blitz,24.0,57,15.3,18119.69
"Dec 08, 2025",KSA,Rotana Khalijia,Always-On Brand,112.3,219,53.9,77661.48
"Dec 08, 2025",UAE,MBC 1,Always-On Brand,58.8,128,33.3,47666.63
"Dec 08, 2025",UAE,Dubai TV,White Friday Blitz,29.9,51,18.6,26871.73
"Dec 08, 2025",UAE,MBC 4,White Friday Blitz,25.7,42,16.3,20482.33
"Dec 15, 2025",Egypt,ON E,Always-On Brand,90.5,169,46.4,21564.73
"Dec 15, 2025",Egypt,CBC,Always-On Brand,84.1,167,44.0,18437.76
"Dec 15, 2025",Egypt,MBC Masr,Year End Gifting,98.4,228,49.3,18988.73
"Dec 15, 2025",KSA,MBC 1,Year End Gifting,129.9,303,59.2,90944.55
"Dec 15, 2025",KSA,SSC Sports,Always-On Brand,54.4,105,31.3,39106.6
"Dec 15, 2025",KSA,Rotana Khalijia,Year End Gifting,68.9,164,37.8,49950.12
"Dec 15, 2025",UAE,MBC 1,Always-On Brand,57.2,117,32.6,43967.06
"Dec 15, 2025",UAE,Dubai TV,Always-On Brand,73.5,125,39.7,60560.11
"Dec 15, 2025",UAE,MBC 4,Always-On Brand,40.6,85,24.4,31979.14
"Dec 22, 2025",Egypt,ON E,Always-On Brand,129.9,292,59.2,30698.98
"Dec 22, 2025",Egypt,CBC,Year End Gifting,106.9,222,52.2,20827.33
"Dec 22, 2025",Egypt,MBC Masr,Always-On Brand,28.8,58,18.0,6054.12
"Dec 22, 2025",KSA,MBC 1,Always-On Brand,64.2,118,35.8,44404.41
"Dec 22, 2025",KSA,SSC Sports,Always-On Brand,122.3,240,57.0,90145.81
"Dec 22, 2025",KSA,Rotana Khalijia,Year End Gifting,34.1,74,21.0,25294.79
"Dec 22, 2025",UAE,MBC 1,Always-On Brand,46.8,107,27.6,39489.07
"Dec 22, 2025",UAE,Dubai TV,Year End Gifting,65.6,150,36.4,50763.7
"Dec 22, 2025",UAE,MBC 4,Always-On Brand,59.4,110,33.6,49378.28
"Dec 29, 2025",Egypt,ON E,Year End Gifting,97.2,200,48.8,21506.73
"Dec 29, 2025",Egypt,CBC,Year End Gifting,55.2,123,31.7,11452.35
"Dec 29, 2025",Egypt,MBC Masr,Year End Gifting,96.0,179,48.4,20916.19
"Dec 29, 2025",KSA,MBC 1,Year End Gifting,83.7,171,43.9,52259.47
"Dec 29, 2025",KSA,SSC Sports,Always-On Brand,57.9,98,32.9,40157.95
"Dec 29, 2025",KSA,Rotana Khalijia,Always-On Brand,94.0,218,47.7,73568.8
"Dec 29, 2025",UAE,MBC 1,Always-On Brand,71.2,126,38.8,48462.65
"Dec 29, 2025",UAE,Dubai TV,Always-On Brand,60.5,136,34.1,49992.22
"Dec 29, 2025",UAE,MBC 4,Year End Gifting,48.7,79,28.5,38648.61
"Jan 05, 2026",Egypt,ON E,Always-On Brand,66.5,153,36.8,13032.12
"Jan 05, 2026",Egypt,CBC,Year End Gifting,81.9,183,43.1,18728.26
"Jan 05, 2026",Egypt,MBC Masr,Always-On Brand,14.4,24,9.5,3283.67
"Jan 05, 2026",KSA,MBC 1,Year End Gifting,61.5,114,34.6,49172.12
"Jan 05, 2026",KSA,SSC Sports,Year End Gifting,70.8,120,38.6,43651.72
"Jan 05, 2026",KSA,Rotana Khalijia,Year End Gifting,37.0,72,22.5,26202.72
"Jan 05, 2026",UAE,MBC 1,Year End Gifting,25.8,49,16.3,19992.02
"Jan 05, 2026",UAE,Dubai TV,Always-On Brand,29.0,63,18.1,23289.36
"Jan 05, 2026",UAE,MBC 4,Year End Gifting,60.2,137,34.0,49264.01
"Jan 12, 2026",Egypt,ON E,Always-On Brand,37.4,65,22.7,7903.08
"Jan 12, 2026",Egypt,CBC,New Year Upgrade,64.2,137,35.8,11964.29
"Jan 12, 2026",Egypt,MBC Masr,New Year Upgrade,84.4,139,44.1,18348.27
"Jan 12, 2026",KSA,MBC 1,Always-On Brand,83.0,192,43.6,66053.11
"Jan 12, 2026",KSA,SSC Sports,New Year Upgrade,62.3,137,34.9,48266.14
"Jan 12, 2026",KSA,Rotana Khalijia,New Year Upgrade,11.6,18,7.7,8248.11
"Jan 12, 2026",UAE,MBC 1,Always-On Brand,66.4,147,36.7,51021.57
"Jan 12, 2026",UAE,Dubai TV,New Year Upgrade,31.7,70,19.7,27860.17
"Jan 12, 2026",UAE,MBC 4,New Year Upgrade,15.4,25,10.1,12508.65
"Jan 19, 2026",Egypt,ON E,Always-On Brand,31.3,68,19.4,6061.45
"Jan 19, 2026",Egypt,CBC,New Year Upgrade,9.9,17,6.6,2216.96
"Jan 19, 2026",Egypt,MBC Masr,Always-On Brand,23.6,44,15.0,4989.12
"Jan 19, 2026",KSA,MBC 1,Always-On Brand,10.1,17,6.8,6937.9
"Jan 19, 2026",KSA,SSC Sports,New Year Upgrade,25.7,58,16.2,19040.62
"Jan 19, 2026",KSA,Rotana Khalijia,Always-On Brand,18.8,37,12.1,13079.48
"Jan 19, 2026",UAE,MBC 1,Always-On Brand,14.0,33,9.2,11257.66
"Jan 19, 2026",UAE,Dubai TV,Always-On Brand,13.6,31,8.9,11451.62
"Jan 19, 2026",UAE,MBC 4,Always-On Brand,12.9,25,8.5,10766.29
"Jan 26, 2026",Egypt,ON E,Always-On Brand,40.4,70,24.3,8084.38
"Jan 26, 2026",Egypt,CBC,Always-On Brand,11.1,23,7.3,2328.56
"Jan 26, 2026",Egypt,MBC Masr,Always-On Brand,13.3,31,8.8,3330.54
"Jan 26, 2026",KSA,MBC 1,New Year Upgrade,37.7,73,22.9,26016.84
"Jan 26, 2026",KSA,SSC Sports,New Year Upgrade,8.2,13,5.5,5337.24
"Jan 26, 2026",KSA,Rotana Khalijia,Always-On Brand,8.4,20,5.6,6225.03
"Jan 26, 2026",UAE,MBC 1,New Year Upgrade,10.0,17,6.6,7621.77
"Jan 26, 2026",UAE,Dubai TV,New Year Upgrade,15.9,33,10.4,12843.7
"Jan 26, 2026",UAE,MBC 4,Always-On Brand,11.1,25,7.4,8323.69
"Feb 02, 2026",Egypt,ON E,Always-On Brand,28.5,58,17.9,6424.42
"Feb 02, 2026",Egypt,CBC,New Year Upgrade,15.3,31,10.0,3407.32
"Feb 02, 2026",Egypt,MBC Masr,New Year Upgrade,20.1,35,12.9,4051.89
"Feb 02, 2026",KSA,MBC 1,Always-On Brand,14.1,24,9.3,10019.3
"Feb 02, 2026",KSA,SSC Sports,Always-On Brand,17.2,37,11.2,12890.44
"Feb 02, 2026",KSA,Rotana Khalijia,Always-On Brand,25.9,46,16.3,17897.06
"Feb 02, 2026",UAE,MBC 1,Always-On Brand,13.0,23,8.6,10182.6
"Feb 02, 2026",UAE,Dubai TV,Always-On Brand,5.5,9,3.7,4405.5
"Feb 02, 2026",UAE,MBC 4,New Year Upgrade,18.1,38,11.8,14889.58
"Feb 09, 2026",Egypt,ON E,Always-On Brand,9.3,19,6.2,2070.96
"Feb 09, 2026",Egypt,CBC,Always-On Brand,22.4,36,14.3,4496.1
"Feb 09, 2026",Egypt,MBC Masr,New Year Upgrade,24.4,53,15.5,6075.29
"Feb 09, 2026",KSA,MBC 1,New Year Upgrade,17.7,32,11.5,12885.6
"Feb 09, 2026",KSA,SSC Sports,New Year Upgrade,21.6,45,13.9,15163.5
"Feb 09, 2026",KSA,Rotana Khalijia,New Year Upgrade,18.9,34,12.2,11994.45
"Feb 09, 2026",UAE,MBC 1,Always-On Brand,13.7,23,9.0,12592.94
"Feb 09, 2026",UAE,Dubai TV,New Year Upgrade,15.6,32,10.2,12145.63
"Feb 09, 2026",UAE,MBC 4,New Year Upgrade,4.4,7,3.0,3652.76
"Feb 16, 2026",Egypt,ON E,Always-On Brand,7.1,12,4.8,1420.35
"Feb 16, 2026",Egypt,CBC,Always-On Brand,25.8,58,16.3,5300.93
"Feb 16, 2026",Egypt,MBC Masr,Always-On Brand,22.2,49,14.2,4886.93
"Feb 16, 2026",KSA,MBC 1,Always-On Brand,12.4,25,8.2,8230.34
"Feb 16, 2026",KSA,SSC Sports,New Year Upgrade,25.3,55,16.0,16837.08
"Feb 16, 2026",KSA,Rotana Khalijia,New Year Upgrade,24.3,39,15.4,15349.15
"Feb 16, 2026",UAE,MBC 1,Always-On Brand,4.8,8,3.2,3827.12
"Feb 16, 2026",UAE,Dubai TV,New Year Upgrade,8.9,16,6.0,7494.36
"Feb 16, 2026",UAE,MBC 4,New Year Upgrade,22.6,48,14.4,17832.06
"Feb 23, 2026",Egypt,ON E,Always-On Brand,30.1,53,18.7,6045.53
"Feb 23, 2026",Egypt,CBC,Ramadan Together,9.6,21,6.4,1940.74
"Feb 23, 2026",Egypt,MBC Masr,Always-On Brand,47.6,87,28.0,9239.57
"Feb 23, 2026",KSA,MBC 1,Ramadan Together,27.9,49,17.5,19925.45
"Feb 23, 2026",KSA,SSC Sports,Always-On Brand,24.4,48,15.5,15717.69
"Feb 23, 2026",KSA,Rotana Khalijia,Galaxy Flagship Launch,21.6,40,13.8,15653.35
"Feb 23, 2026",UAE,MBC 1,Ramadan Together,29.6,51,18.5,22693.84
"Feb 23, 2026",UAE,Dubai TV,Always-On Brand,8.2,18,5.5,5842.44
"Feb 23, 2026",UAE,MBC 4,Always-On Brand,14.6,34,9.6,12695.96
"Mar 02, 2026",Egypt,ON E,Always-On Brand,67.5,121,37.2,12614.78
"Mar 02, 2026",Egypt,CBC,Galaxy Flagship Launch,78.2,143,41.7,17107.91
"Mar 02, 2026",Egypt,MBC Masr,Always-On Brand,138.8,311,61.6,27881.2
"Mar 02, 2026",KSA,MBC 1,Ramadan Together,98.4,173,49.3,81416.74
"Mar 02, 2026",KSA,SSC Sports,Ramadan Together,33.5,71,20.7,23332.23
"Mar 02, 2026",KSA,Rotana Khalijia,Always-On Brand,97.2,171,48.8,80152.8
"Mar 02, 2026",UAE,MBC 1,Galaxy Flagship Launch,44.4,72,26.4,33748.7
"Mar 02, 2026",UAE,Dubai TV,Ramadan Together,94.0,159,47.7,87389.31
"Mar 02, 2026",UAE,MBC 4,Always-On Brand,46.2,82,27.3,33121.35
"Mar 09, 2026",Egypt,ON E,Ramadan Together,64.6,107,36.0,15683.22
"Mar 09, 2026",Egypt,CBC,Always-On Brand,127.7,301,58.6,26989.37
"Mar 09, 2026",Egypt,MBC Masr,Galaxy Flagship Launch,37.4,72,22.7,8310.29
"Mar 09, 2026",KSA,MBC 1,Galaxy Flagship Launch,56.6,113,32.3,46145.48
"Mar 09, 2026",KSA,SSC Sports,Ramadan Together,44.9,100,26.6,28864.31
"Mar 09, 2026",KSA,Rotana Khalijia,Always-On Brand,104.4,224,51.3,73411.44
"Mar 09, 2026",UAE,MBC 1,Ramadan Together,79.9,129,42.4,57268.54
"Mar 09, 2026",UAE,Dubai TV,Galaxy Flagship Launch,49.2,83,28.8,39513.1
"Mar 09, 2026",UAE,MBC 4,Galaxy Flagship Launch,38.1,63,23.1,35109.9
"Mar 16, 2026",Egypt,ON E,Always-On Brand,48.1,96,28.2,10669.24
"Mar 16, 2026",Egypt,CBC,Galaxy Flagship Launch,77.1,152,41.2,16281.52
"Mar 16, 2026",Egypt,MBC Masr,Galaxy Flagship Launch,78.1,132,41.6,14321.45
"Mar 16, 2026",KSA,MBC 1,Galaxy Flagship Launch,53.6,125,30.9,39602.45
"Mar 16, 2026",KSA,SSC Sports,Ramadan Together,43.8,91,26.1,27593.59
"Mar 16, 2026",KSA,Rotana Khalijia,Galaxy Flagship Launch,116.4,200,55.2,82324.87
"Mar 16, 2026",UAE,MBC 1,Galaxy Flagship Launch,61.5,146,34.6,50300.33
"Mar 16, 2026",UAE,Dubai TV,Ramadan Together,62.0,122,34.8,49318.01
"Mar 16, 2026",UAE,MBC 4,Always-On Brand,17.3,28,11.3,14150.97
"Mar 23, 2026",Egypt,ON E,Always-On Brand,126.0,211,58.1,25552.82
"Mar 23, 2026",Egypt,CBC,Galaxy Flagship Launch,59.6,129,33.7,14118.88
"Mar 23, 2026",Egypt,MBC Masr,Always-On Brand,37.6,73,22.8,8814.33
"Mar 23, 2026",KSA,MBC 1,Galaxy Flagship Launch,89.5,148,46.0,62086.0
"Mar 23, 2026",KSA,SSC Sports,Always-On Brand,66.7,112,36.9,46966.86
"Mar 23, 2026",KSA,Rotana Khalijia,Always-On Brand,57.0,130,32.5,38359.98
"Mar 23, 2026",UAE,MBC 1,Galaxy Flagship Launch,27.1,60,17.0,22016.45
"Mar 23, 2026",UAE,Dubai TV,Always-On Brand,49.5,80,28.9,42748.55
"Mar 23, 2026",UAE,MBC 4,Galaxy Flagship Launch,54.1,103,31.1,50802.52
"Mar 30, 2026",Egypt,ON E,Ramadan Together,24.9,52,15.8,5055.64
"Mar 30, 2026",Egypt,CBC,Galaxy Flagship Launch,27.5,57,17.3,6117.4
