date,market,channel_group,sessions,users,bounce_rate,avg_session_sec,product_views,add_to_cart,transactions,revenue_usd
2025-08-25,UAE,Display,12523,9067,56.1%,115,22270,996,76,53242.32
2025-08-25,UAE,Influencer,1334,1051,42.5%,128,2453,82,18,12416.29
2025-08-25,UAE,Organic Search,23056,18809,35.6%,174,45920,1743,334,227060.71
2025-08-25,UAE,Direct,19608,14415,35.3%,140,50133,2053,215,144987.66
2025-09-01,UAE,Paid Search,126168,95224,55.9%,87,181515,9898,459,306376.46
2025-09-01,UAE,Paid Social,249056,191184,56.0%,161,429744,17826,1724,1174147.22
2025-09-01,UAE,Video,39390,28873,52.5%,65,93560,3931,281,193797.04
2025-09-01,UAE,Display,8838,6893,61.0%,103,15015,816,32,23802.02
2025-09-01,UAE,Influencer,2870,2282,37.4%,97,4198,262,29,20054.24
2025-09-01,UAE,Organic Search,25204,20235,43.2%,65,45928,2227,308,201102.25
2025-09-01,UAE,Direct,21801,17972,33.9%,143,48812,1926,317,225364.06
2025-09-08,UAE,Paid Search,121492,98873,53.5%,93,205402,12629,574,375875.31
2025-09-08,UAE,Paid Social,206501,160868,53.3%,83,298273,18054,680,492138.76
2025-09-08,UAE,Video,41186,33389,57.9%,132,97446,4035,222,140557.56
2025-09-08,UAE,Display,11184,8979,59.5%,203,26314,1151,35,24178.09
2025-09-08,UAE,Influencer,2746,2135,41.2%,61,5516,229,38,28682.25
2025-09-08,UAE,Organic Search,24936,20191,43.7%,130,49061,2091,276,187630.42
2025-09-08,UAE,Direct,19632,16270,39.6%,169,43606,1140,231,162705.9
2025-09-15,UAE,Paid Search,131218,109811,59.5%,73,289032,7852,593,448537.76
2025-09-15,UAE,Paid Social,284671,220013,58.7%,158,565489,19126,1860,1313469.43
2025-09-15,UAE,Video,36834,29621,48.4%,123,75568,4196,117,80450.87
2025-09-15,UAE,Display,12867,10349,58.6%,157,25397,1145,83,59888.15
2025-09-15,UAE,Influencer,1911,1403,37.0%,153,4665,97,27,19621.21
2025-09-15,UAE,Organic Search,24687,20204,38.5%,126,50142,1829,273,184128.82
2025-09-15,UAE,Direct,18599,13912,41.1%,125,27484,1958,288,215787.4
2025-09-22,UAE,Paid Search,117362,93239,50.0%,204,226953,7404,603,417522.62
2025-09-22,UAE,Paid Social,232519,169935,62.4%,117,584937,25770,1604,1104288.76
2025-09-22,UAE,Video,45970,33129,62.5%,129,79742,4797,309,214979.58
2025-09-22,UAE,Display,10536,7894,51.6%,149,24251,1112,46,33295.3
2025-09-22,UAE,Influencer,1093,791,31.6%,126,2096,76,15,10085.53
2025-09-22,UAE,Organic Search,25129,21412,35.7%,119,44339,2300,293,191393.45
2025-09-22,UAE,Direct,20791,17091,36.2%,74,48083,2305,219,142387.7
2025-09-29,UAE,Paid Search,106203,88498,61.3%,138,256491,12358,501,340661.4
2025-09-29,UAE,Paid Social,213761,178503,51.2%,90,300388,21744,889,598039.54
2025-09-29,UAE,Video,48925,38827,52.5%,88,124119,3685,278,183441.02
2025-09-29,UAE,Display,10954,9272,57.0%,73,26904,630,66,44897.31
2025-09-29,UAE,Influencer,1369,1072,43.2%,180,3221,114,12,8967.1
2025-09-29,UAE,Organic Search,21252,16180,33.4%,176,48950,2142,314,217051.2
2025-09-29,UAE,Direct,21943,16357,33.5%,69,32164,1528,193,143850.83
2025-10-06,UAE,Paid Search,109462,81783,61.3%,122,158394,7398,804,572723.43
2025-10-06,UAE,Paid Social,221788,169355,49.5%,111,506470,21236,823,585320.79
2025-10-06,UAE,Video,39715,32398,49.6%,103,81411,4192,212,141618.47
2025-10-06,UAE,Display,11578,8538,57.5%,184,21653,691,53,38658.44
2025-10-06,UAE,Influencer,969,709,39.4%,207,2479,53,15,10917.72
2025-10-06,UAE,Organic Search,24649,18649,42.2%,125,48131,2637,337,228193.96
2025-10-06,UAE,Direct,22833,18230,33.3%,84,50200,2252,332,229490.03
2025-10-13,UAE,Paid Search,115065,87543,48.6%,67,174047,11284,722,514567.19
2025-10-13,UAE,Paid Social,219783,187170,57.6%,201,523273,26265,811,526188.69
2025-10-13,UAE,Video,51357,42006,56.5%,156,129170,2738,322,220336.7
2025-10-13,UAE,Display,11868,9522,48.3%,156,22626,1284,64,44259.54
2025-10-13,UAE,Influencer,1863,1505,38.3%,189,3802,143,28,19384.75
2025-10-13,UAE,Organic Search,24141,19676,34.1%,103,53012,1590,252,179430.86
2025-10-13,UAE,Direct,21534,16609,35.3%,195,54058,1682,342,251538.84
2025-10-20,UAE,Paid Search,109842,91759,48.9%,168,246873,8843,456,313783.41
2025-10-20,UAE,Paid Social,228137,192409,59.9%,140,486624,21355,1627,1114425.81
2025-10-20,UAE,Video,40976,32313,61.0%,158,103230,3275,221,149228.19
2025-10-20,UAE,Display,11771,9737,53.9%,155,29170,1268,46,34341.02
2025-10-20,UAE,Influencer,395,334,40.7%,66,914,39,5,4054.97
2025-10-20,UAE,Organic Search,23533,17494,40.9%,172,49531,2375,306,226874.12
2025-10-20,UAE,Direct,20047,15529,31.3%,152,41557,2162,301,198783.4
2025-10-27,UAE,Paid Search,129394,110077,56.2%,78,211299,7764,878,612902.57
2025-10-27,UAE,Paid Social,259340,216096,52.5%,78,551024,25628,1789,1194631.49
2025-10-27,UAE,Video,50594,40983,58.8%,163,121363,2661,229,161968.17
2025-10-27,UAE,Display,12166,9769,49.1%,93,25324,982,55,38733.8
2025-10-27,UAE,Influencer,2315,1799,33.7%,188,5197,131,29,20190.63
2025-10-27,UAE,Organic Search,26610,21399,32.5%,161,42331,2376,256,186295.56
2025-10-27,UAE,Direct,19388,16272,32.3%,105,32233,2172,237,168215.22
2025-11-03,UAE,Paid Search,108480,91501,48.7%,62,223921,8467,805,533096.55
2025-11-03,UAE,Paid Social,256121,195638,56.2%,87,378688,15770,1878,1278104.51
2025-11-03,UAE,Video,42103,35636,58.8%,92,85298,2430,278,189588.28
2025-11-03,UAE,Display,10270,8353,48.2%,114,19796,530,48,32241.42
2025-11-03,UAE,Influencer,1736,1301,40.2%,61,4175,117,27,18461.87
2025-11-03,UAE,Organic Search,24833,20668,38.6%,164,48807,1756,294,222608.44
2025-11-03,UAE,Direct,23480,17461,33.9%,68,55459,1176,243,165850.36
2025-11-10,UAE,Paid Search,133173,110640,48.8%,134,229428,10875,449,312680.87
2025-11-10,UAE,Paid Social,264383,218456,51.0%,92,512874,13936,1355,933829.32
2025-11-10,UAE,Video,45246,34429,56.7%,165,95579,3366,282,204024.92
2025-11-10,UAE,Display,12200,10338,60.8%,85,25542,1340,50,35234.96
2025-11-10,UAE,Influencer,1854,1394,42.4%,179,3003,161,17,12689.37
2025-11-10,UAE,Organic Search,25035,19622,42.9%,81,61245,1901,312,216082.92
2025-11-10,UAE,Direct,20536,15291,33.5%,129,49802,1046,211,146739.81
2025-11-17,UAE,Paid Search,231429,166671,56.3%,123,391815,13742,784,525702.7
2025-11-17,UAE,Paid Social,453991,354444,52.9%,164,1179607,46696,1846,1231164.32
2025-11-17,UAE,Video,88744,69707,48.1%,172,184446,7506,634,457677.61
2025-11-17,UAE,Display,22948,17512,60.9%,165,42377,1298,156,102499.46
2025-11-17,UAE,Influencer,1599,1305,38.2%,154,2300,111,24,16757.75
2025-11-17,UAE,Organic Search,25228,19985,43.9%,81,41445,2485,336,217234.6
2025-11-17,UAE,Direct,20519,14807,35.8%,148,50067,1384,214,147749.72
2025-11-24,UAE,Paid Search,242167,202926,57.4%,140,345120,28596,1260,787853.76
2025-11-24,UAE,Paid Social,596826,458801,59.1%,181,1160743,70154,3045,2316199.23
2025-11-24,UAE,Video,107417,88150,59.2%,148,154041,11785,510,336231.54
2025-11-24,UAE,Display,22839,16773,52.1%,159,48788,2010,108,66133.51
2025-11-24,UAE,Influencer,1274,1075,36.6%,204,2234,80,13,8558.45
2025-11-24,UAE,Organic Search,21387,16188,39.6%,202,31271,2489,321,233963.03
2025-11-24,UAE,Direct,20798,15519,40.6%,203,40514,1626,326,232118.92
2025-12-01,UAE,Paid Search,248183,184017,54.7%,61,485819,13104,822,603066.07
2025-12-01,UAE,Paid Social,379165,287086,51.0%,140,723783,34937,1859,1199352.06
2025-12-01,UAE,Video,73740,62662,51.5%,189,139193,8321,293,215498.85
2025-12-01,UAE,Display,21212,16828,57.3%,61,37455,1666,123,88357.96
2025-12-01,UAE,Influencer,1518,1199,41.5%,160,3527,81,17,11708.73
2025-12-01,UAE,Organic Search,25378,21483,31.6%,154,59320,1366,241,175038.29
2025-12-01,UAE,Direct,20607,15369,36.2%,116,48731,1758,293,204447.97
2025-12-08,UAE,Paid Search,120726,95560,61.1%,96,250813,13339,559,391267.82
2025-12-08,UAE,Paid Social,257974,205481,55.6%,108,395298,15506,1215,865159.83
2025-12-08,UAE,Video,41431,30515,51.7%,125,82644,3382,175,117939.59
2025-12-08,UAE,Display,10879,8783,55.6%,110,26829,991,49,31567.96
2025-12-08,UAE,Influencer,1011,735,31.6%,107,1642,80,15,10156.69
2025-12-08,UAE,Organic Search,26767,22342,43.1%,104,55105,2323,359,260392.88
2025-12-08,UAE,Direct,19744,15397,38.0%,139,48804,2306,169,118735.76
2025-12-15,UAE,Paid Search,163809,140561,50.1%,141,350206,8784,603,409898.68
2025-12-15,UAE,Paid Social,400078,296401,55.7%,68,823842,43257,2087,1450153.39
2025-12-15,UAE,Video,67526,57225,58.2%,195,156484,4220,244,176731.21
2025-12-15,UAE,Display,14827,12202,57.9%,99,24647,1226,104,71575.01
2025-12-15,UAE,Influencer,989,820,33.8%,148,1698,96,14,10009.46
2025-12-15,UAE,Organic Search,24078,20314,42.3%,208,39666,1872,290,204294.75
2025-12-15,UAE,Direct,20343,16416,42.2%,156,41540,1338,279,197910.9
2025-12-22,UAE,Paid Search,204019,165344,60.6%,202,319364,18010,1027,733188.03
2025-12-22,UAE,Paid Social,336033,265472,49.2%,138,598448,23950,2206,1644062.58
2025-12-22,UAE,Video,69017,56814,62.5%,158,114853,3778,339,227260.34
2025-12-22,UAE,Display,17259,13178,60.3%,168,41716,907,96,67569.79
2025-12-22,UAE,Influencer,1552,1200,32.4%,148,2255,84,17,11362.29
2025-12-22,UAE,Organic Search,26823,22652,40.6%,59,60467,1959,351,238908.78
2025-12-22,UAE,Direct,23232,17054,33.6%,191,34905,2493,276,200175.13
2025-12-29,UAE,Paid Search,170213,141287,54.0%,142,246109,9292,1026,698995.98
2025-12-29,UAE,Paid Social,355539,269494,53.7%,172,722399,40180,2253,1594788.56
2025-12-29,UAE,Video,64734,55230,53.4%,139,123055,3909,475,335844.23
2025-12-29,UAE,Display,16221,13587,58.3%,159,35070,1805,53,35512.5
2025-12-29,UAE,Influencer,2432,1861,32.4%,136,5432,166,27,17554.24
2025-12-29,UAE,Organic Search,28112,21764,34.2%,205,53520,2587,344,238154.17
2025-12-29,UAE,Direct,21279,18212,32.5%,82,36355,1700,262,184102.87
2026-01-05,UAE,Paid Search,105208,89863,57.4%,111,190467,5847,662,464773.54
2026-01-05,UAE,Paid Social,216731,180342,49.5%,102,503285,15942,1082,793286.74
2026-01-05,UAE,Video,42027,32548,54.9%,183,93048,2707,271,199047.0
2026-01-05,UAE,Display,13484,9898,53.3%,169,34413,1486,70,46641.88
2026-01-05,UAE,Influencer,1107,803,35.7%,185,2555,62,17,12225.16
2026-01-05,UAE,Organic Search,25463,18476,31.9%,185,42773,2733,304,202421.53
2026-01-05,UAE,Direct,19587,15978,38.3%,158,33432,1401,218,152992.57
2026-01-12,UAE,Paid Search,110899,92539,57.2%,136,235024,8761,465,314491.65
2026-01-12,UAE,Paid Social,247152,180022,52.3%,200,567070,29280,1794,1283590.66
2026-01-12,UAE,Video,41208,33452,48.2%,68,79992,2896,294,202134.2
2026-01-12,UAE,Display,12045,9218,48.7%,160,30291,1305,87,60923.15
2026-01-12,UAE,Influencer,1227,989,39.1%,186,3185,87,14,10084.82
2026-01-12,UAE,Organic Search,27040,20357,36.7%,103,42188,1452,243,154702.52
2026-01-12,UAE,Direct,20684,17389,42.1%,170,35660,2451,250,172398.07
2026-01-19,UAE,Paid Search,67603,54160,60.8%,174,145339,3828,292,197509.59
2026-01-19,UAE,Paid Social,144147,116971,53.1%,124,312153,10618,478,316762.24
2026-01-19,UAE,Video,29028,22912,58.6%,63,43925,3384,96,67968.07
2026-01-19,UAE,Display,6203,5247,54.1%,71,14449,311,38,27167.26
2026-01-19,UAE,Influencer,4978,3672,35.8%,190,10364,468,65,42216.53
2026-01-19,UAE,Organic Search,21649,15954,43.4%,87,37205,1159,342,262118.99
2026-01-19,UAE,Direct,20931,17655,34.7%,179,41910,1807,286,191088.17
2026-01-26,UAE,Paid Search,69705,56215,59.4%,154,115617,4572,383,252654.32
2026-01-26,UAE,Paid Social,150862,124846,62.2%,78,324807,17683,573,393414.01
2026-01-26,UAE,Video,24298,20141,49.7%,75,46328,2530,154,106373.1
2026-01-26,UAE,Display,7093,5520,52.8%,137,10831,848,48,34421.21
2026-01-26,UAE,Influencer,5143,4199,32.6%,111,12285,441,45,31494.05
2026-01-26,UAE,Organic Search,27724,21511,42.8%,98,60672,2197,295,197385.21
2026-01-26,UAE,Direct,21379,16358,36.4%,60,55495,1301,334,235053.68
2026-02-02,UAE,Paid Search,71042,51720,58.5%,171,144053,3897,214,148203.94
2026-02-02,UAE,Paid Social,142071,118479,59.8%,69,316931,10488,939,631943.02
2026-02-02,UAE,Video,28186,23618,62.1%,191,44368,2137,145,96471.6
2026-02-02,UAE,Display,7204,5219,54.7%,62,10135,497,51,36428.73
2026-02-02,UAE,Influencer,6804,5225,41.6%,168,16919,343,70,48970.19
2026-02-02,UAE,Organic Search,22797,19361,35.1%,158,51522,1896,310,227108.28
2026-02-02,UAE,Direct,21501,16044,40.2%,194,33859,2393,210,146178.44
2026-02-09,UAE,Paid Search,78823,60510,61.8%,186,178878,4464,241,158495.26
2026-02-09,UAE,Paid Social,136743,112414,50.0%,142,249965,13338,467,306987.43
2026-02-09,UAE,Video,25805,21716,53.0%,114,45878,2972,158,108125.87
2026-02-09,UAE,Display,5958,4655,59.8%,157,10251,304,37,24441.44
2026-02-09,UAE,Influencer,4567,3373,36.3%,151,6692,268,64,43145.08
2026-02-09,UAE,Organic Search,28865,21359,40.7%,127,56443,3182,431,289580.49
2026-02-09,UAE,Direct,19913,14652,34.8%,181,28463,2324,314,211575.89
2026-02-16,UAE,Paid Search,69933,52014,61.5%,74,166449,4705,514,390327.87
2026-02-16,UAE,Paid Social,145056,112336,57.9%,103,250135,8762,990,676801.15
2026-02-16,UAE,Video,25364,20443,54.4%,75,65892,1987,182,117461.47
2026-02-16,UAE,Display,6518,4815,62.6%,107,15278,644,35,24256.45
2026-02-16,UAE,Influencer,6122,4693,41.1%,68,8870,352,81,54865.17
2026-02-16,UAE,Organic Search,25679,20299,41.1%,207,57156,1359,328,229698.38
2026-02-16,UAE,Direct,20213,16612,31.9%,116,48346,2279,303,218787.28
2026-02-23,UAE,Paid Search,96217,74934,52.7%,205,221256,10967,640,420029.22
2026-02-23,UAE,Paid Social,215270,184043,59.9%,68,529359,19543,1382,904841.76
2026-02-23,UAE,Video,33318,24609,62.7%,108,63502,3289,108,73914.64
2026-02-23,UAE,Display,8446,6547,52.3%,122,20231,633,61,43008.5
2026-02-23,UAE,Influencer,6440,5460,32.0%,123,10241,725,68,45708.5
2026-02-23,UAE,Organic Search,24319,19409,33.3%,204,62454,1627,338,205194.15
2026-02-23,UAE,Direct,20177,15031,43.1%,112,49862,1385,242,164221.45
2026-03-02,UAE,Paid Search,195804,148395,53.8%,70,412812,15715,1120,763394.53
2026-03-02,UAE,Paid Social,364820,312626,50.9%,63,743997,18895,2359,1584935.74
2026-03-02,UAE,Video,56184,43150,57.1%,161,139353,4261,296,201848.91
2026-03-02,UAE,Display,20241,16455,49.8%,147,33587,2081,143,93517.35
2026-03-02,UAE,Influencer,2936,2351,40.6%,139,4583,185,44,32352.16
2026-03-02,UAE,Organic Search,25628,21067,33.1%,142,61370,1633,338,240748.64
2026-03-02,UAE,Direct,20579,17113,39.5%,200,34962,1294,238,164006.26
2026-03-09,UAE,Paid Search,169824,136018,48.0%,151,437163,14870,1159,761990.78
2026-03-09,UAE,Paid Social,294733,239464,49.9%,61,497927,14887,1944,1345538.75
2026-03-09,UAE,Video,63192,47947,59.1%,83,120750,5397,441,313769.71
2026-03-09,UAE,Display,15492,11724,52.1%,62,35134,1159,113,76734.19
2026-03-09,UAE,Influencer,3347,2657,32.5%,111,5659,309,50,37802.77
2026-03-09,UAE,Organic Search,25496,21003,43.4%,132,48977,1457,373,264227.61
2026-03-09,UAE,Direct,20277,16261,34.0%,72,28836,2288,184,123282.51
2026-03-16,UAE,Paid Search,154680,123930,59.0%,202,379162,9452,604,403311.65
2026-03-16,UAE,Paid Social,285472,235435,50.4%,183,544870,19093,1650,1135542.02
2026-03-16,UAE,Video,52592,42900,54.1%,191,127165,3381,200,129543.65
2026-03-16,UAE,Display,14761,11075,55.2%,114,35583,1026,89,63672.02
2026-03-16,UAE,Influencer,2015,1675,31.6%,161,4619,204,30,21012.16
2026-03-16,UAE,Organic Search,24457,19207,40.5%,89,52096,1287,313,216147.68
2026-03-16,UAE,Direct,20453,16715,33.3%,91,40653,1099,197,131704.83
2026-03-23,UAE,Paid Search,143526,106537,58.2%,203,300105,11385,834,535144.66
2026-03-23,UAE,Paid Social,282103,236680,54.7%,103,690717,26165,1205,871676.14
2026-03-23,UAE,Video,53105,38647,51.7%,145,80377,2756,241,153347.92
2026-03-23,UAE,Display,16131,13362,53.2%,172,32216,1750,76,54162.46
2026-03-23,UAE,Influencer,3721,3148,39.3%,190,5971,402,42,27856.5
2026-03-23,UAE,Organic Search,24202,18472,32.3%,133,37304,2235,235,162939.94
2026-03-23,UAE,Direct,21079,15974,40.8%,90,33579,1374,261,178786.56
2026-03-30,UAE,Paid Search,119743,100514,54.6%,65,304032,13015,585,362102.95
2026-03-30,UAE,Paid Social,192444,159499,60.2%,191,292699,15508,810,583304.88
2026-03-30,UAE,Video,40460,33699,54.9%,80,88131,3280,297,195464.9
2026-03-30,UAE,Display,10223,8492,55.8%,143,22179,639,40,27222.38
2026-03-30,UAE,Influencer,359,293,41.6%,77,854,22,5,4232.8
2026-03-30,UAE,Organic Search,28206,22555,31.2%,181,50526,2952,443,315063.27
2026-03-30,UAE,Direct,20932,17767,39.6%,65,38691,1546,277,190491.44
2026-04-06,UAE,Paid Search,98318,80605,57.1%,152,206513,8856,399,255354.42
2026-04-06,UAE,Paid Social,203106,166300,55.2%,169,521543,20705,1209,873724.98
2026-04-06,UAE,Video,36834,28979,56.9%,75,69760,2157,191,132057.81
2026-04-06,UAE,Display,9831,7981,61.0%,149,20135,886,37,25913.23
2026-04-06,UAE,Influencer,1115,812,35.5%,89,2832,124,10,7043.19
2026-04-06,UAE,Organic Search,26963,20239,40.9%,136,44352,2368,249,181495.99
2026-04-06,UAE,Direct,21079,17356,34.0%,199,38626,1897,264,180637.85
2026-04-13,UAE,Paid Search,98698,82786,60.1%,137,170085,10742,566,364393.45
2026-04-13,UAE,Paid Social,201980,165370,53.1%,84,494709,15110,1337,986171.23
2026-04-13,UAE,Video,32294,27505,57.9%,103,51871,3010,106,70407.22
2026-04-13,UAE,Display,10714,7871,56.5%,115,16807,540,43,30808.6
2026-04-13,UAE,Influencer,2574,1865,33.6%,129,4200,131,26,19888.73
2026-04-13,UAE,Organic Search,25294,20892,36.6%,104,36490,1295,310,215591.69
2026-04-13,UAE,Direct,19634,16295,33.1%,96,37137,1380,238,174407.87
2026-04-20,UAE,Paid Search,93664,80003,51.5%,183,135750,7427,708,507490.15
2026-04-20,UAE,Paid Social,201300,167228,52.7%,168,297739,13053,838,629903.9
2026-04-20,UAE,Video,35366,26171,61.4%,198,81255,3997,245,171577.73
2026-04-20,UAE,Display,8630,6526,58.9%,69,14136,788,61,41404.06
2026-04-20,UAE,Influencer,1265,991,43.3%,146,2935,104,18,12282.0
2026-04-20,UAE,Organic Search,26614,20539,42.7%,187,58101,2142,375,252986.27
2026-04-20,UAE,Direct,21511,18411,39.7%,124,48290,1830,234,154872.19
2026-04-27,UAE,Paid Search,92566,70629,52.1%,141,235815,5080,358,244777.31
2026-04-27,UAE,Paid Social,184951,140062,60.2%,59,409493,20533,1198,821575.04
2026-04-27,UAE,Video,38708,29793,56.5%,106,79055,3218,232,159874.56
2026-04-27,UAE,Display,10400,7527,50.0%,164,24286,885,72,51673.65
2026-04-27,UAE,Influencer,1345,1093,38.0%,185,3260,160,16,11273.35
2026-04-27,UAE,Organic Search,25702,19173,34.9%,187,55183,1751,372,262939.04
2026-04-27,UAE,Direct,21404,18331,34.4%,162,54919,2260,297,209640.23
2026-05-04,UAE,Paid Search,85440,72169,53.0%,139,132722,4735,470,326885.62
2026-05-04,UAE,Paid Social,208624,162950,62.6%,93,414102,15914,769,554684.57
2026-05-04,UAE,Video,37302,31730,56.4%,173,67629,3357,193,131969.66
2026-05-04,UAE,Display,9572,7819,49.1%,108,18840,587,46,30697.71
2026-05-04,UAE,Influencer,2064,1612,43.6%,169,4287,182,33,22982.53
2026-05-04,UAE,Organic Search,26715,22112,41.2%,158,53190,2217,357,253956.02
2026-05-04,UAE,Direct,21637,17558,38.2%,89,30616,1755,207,130444.79
2026-05-11,UAE,Paid Search,79890,58667,61.0%,146,120096,4562,472,316261.42
2026-05-11,UAE,Paid Social,176265,133305,54.1%,156,453405,17821,1076,714989.48
2026-05-11,UAE,Video,35871,28174,60.4%,124,79484,3412,117,80242.69
2026-05-11,UAE,Display,9372,6969,54.2%,140,22434,1066,55,36671.8
2026-05-11,UAE,Influencer,1090,868,31.9%,60,2111,57,10,7252.44
2026-05-11,UAE,Organic Search,24323,18385,35.2%,116,37216,1342,358,240323.41
2026-05-11,UAE,Direct,19782,16069,42.1%,109,31787,1993,274,195541.24
2026-05-18,UAE,Paid Search,72830,61750,59.3%,97,114498,7829,432,311694.82
2026-05-18,UAE,Paid Social,181130,147774,56.0%,143,459987,15710,799,549927.0
2026-05-18,UAE,Video,39456,33852,48.4%,168,63352,3584,175,122897.36
2026-05-18,UAE,Display,9108,6911,53.4%,102,19124,898,60,43074.65
2026-05-18,UAE,Influencer,1393,1133,31.4%,116,2863,163,16,11246.86
2026-05-18,UAE,Organic Search,24866,19532,37.8%,202,57805,1880,217,157228.99
2026-05-18,UAE,Direct,20114,15562,39.8%,165,47039,1234,249,156820.27
2026-05-25,UAE,Paid Search,93872,77731,58.3%,145,242039,10650,413,296441.83
2026-05-25,UAE,Paid Social,200270,145817,52.4%,148,509459,14347,1434,1022462.5
2026-05-25,UAE,Video,36796,29319,61.0%,93,79344,3889,199,141071.03
2026-05-25,UAE,Display,9055,6695,53.2%,161,14868,525,60,42273.06
2026-05-25,UAE,Influencer,723,563,36.0%,85,1017,48,10,7310.73
2026-05-25,UAE,Organic Search,25139,18794,38.2%,146,40491,2894,323,220648.85
2026-05-25,UAE,Direct,21305,17241,33.3%,192,51586,1312,322,223391.46
2026-06-01,UAE,Paid Search,76968,64795,59.6%,135,146287,8420,372,261724.32
2026-06-01,UAE,Paid Social,183644,138445,57.4%,200,420317,21986,992,711317.45
2026-06-01,UAE,Video,38387,29542,56.7%,72,56298,2594,178,132061.85
2026-06-01,UAE,Display,10878,8633,59.4%,171,20013,811,34,24152.85
2026-06-01,UAE,Influencer,1151,929,31.6%,133,2762,98,12,8809.69
2026-06-01,UAE,Organic Search,24902,18467,43.5%,129,50237,1355,389,267681.72
2026-06-01,UAE,Direct,22803,16576,40.3%,150,42647,2622,333,238073.37
2026-06-08,UAE,Paid Search,75703,57949,49.5%,161,188244,6493,303,231054.86
2026-06-08,UAE,Paid Social,173220,147688,49.1%,108,334325,19999,1181,788213.33
2026-06-08,UAE,Video,45485,36191,57.5%,203,107625,5363,215,146200.68
2026-06-08,UAE,Display,9236,6771,50.9%,188,17474,967,43,30247.78
2026-06-08,UAE,Influencer,1604,1203,34.0%,203,3572,186,24,17264.76
2026-06-08,UAE,Organic Search,24651,17806,37.8%,122,50306,2798,221,142666.4
2026-06-08,UAE,Direct,20227,17008,42.9%,137,46150,1874,197,141871.11
2026-06-15,UAE,Paid Search,71304,51915,62.6%,156,153568,5720,284,197444.42
2026-06-15,UAE,Paid Social,185518,135737,49.4%,145,271495,15051,617,418707.23
2026-06-15,UAE,Video,40198,31060,49.6%,208,89888,3526,254,175004.97
2026-06-15,UAE,Display,9595,7455,51.7%,86,23131,1047,47,34248.42
2026-06-15,UAE,Influencer,3986,2908,37.0%,129,9119,456,50,35339.17
2026-06-15,UAE,Organic Search,27026,20715,39.7%,134,46078,1646,323,226769.54
2026-06-15,UAE,Direct,19418,14408,34.5%,104,34988,1361,289,195636.44
2026-06-22,UAE,Paid Search,84492,65621,51.8%,155,187395,6881,585,415333.63
2026-06-22,UAE,Paid Social,192465,148229,56.4%,181,444204,11729,1303,887048.09
2026-06-22,UAE,Video,39881,31853,49.3%,126,64187,3088,251,165447.09
2026-06-22,UAE,Display,10685,7849,56.1%,163,22441,874,48,34155.15
2026-06-22,UAE,Influencer,1307,999,36.1%,84,2589,113,19,13563.2
2026-06-22,UAE,Organic Search,25431,20485,40.1%,157,45351,2727,258,182489.27
2026-06-22,UAE,Direct,18930,14406,35.9%,138,31847,1604,190,122392.64
2026-06-29,UAE,Paid Search,68900,56951,55.6%,72,171539,3528,427,296193.91
2026-06-29,UAE,Paid Social,169688,134225,49.4%,65,265875,17327,992,701767.65
2026-06-29,UAE,Video,40048,31941,62.1%,106,69106,3241,167,105091.65
2026-06-29,UAE,Display,11661,8886,54.8%,207,26946,1036,46,30697.99
2026-06-29,UAE,Influencer,1084,795,38.4%,97,1843,119,10,7143.87
