date,market,platform,followers,posts,impressions,reach,engagements,video_views,sentiment_score
2026-01-12,UAE,IG,423258,8,395740,191809,8067,164645.0,0.45
2026-01-12,UAE,tiktok,369770,5,384836,180215,10872,159764.0,0.43
2026-01-12,UAE,youtube,244897,5,262127,111501,2759,135209.0,0.395
2026-01-12,UAE,Twitter,135979,10,129947,59362,1092,52368.0,0.427
2026-01-12,UAE,Facebook,190574,4,152856,89824,2066,50689.0,0.416
2026-01-19,UAE,Instagram,422456,10,321071,186541,7272,120390.0,0.375
2026-01-19,UAE,TikTok,367243,7,325699,140891,9610,161100.0,0.414
2026-01-19,UAE,YT,244075,4,263764,121248,3242,123387.0,0.447
2026-01-19,UAE,X,136380,6,133272,58093,1011,50957.0,0.459
2026-01-19,UAE,Facebook,190103,7,173922,89045,1783,81037.0,0.353
2026-01-26,UAE,instagram,427274,11,378919,200125,8238,106210.0,0.445
2026-01-26,UAE,Tik Tok,371408,6,297131,175290,11555,137004.0,0.496
2026-01-26,UAE,youtube,248644,11,187291,97869,2647,56499.0,0.41
2026-01-26,UAE,Twitter,137685,11,128340,61440,1010,60171.0,0.38
2026-01-26,UAE,FB,192727,10,194771,92220,1910,81562.0,0.468
2026-02-02,UAE,IG,426116,11,455686,224892,7586,139619.0,0.443
2026-02-02,UAE,TikTok,372132,7,363845,177803,12311,128047.0,0.43
2026-02-02,UAE,YT,245083,9,228158,114922,3303,75886.0,0.423
2026-02-02,UAE,X,137498,5,124068,59651,821,56402.0,0.481
2026-02-02,UAE,facebook,192571,5,184035,103244,2353,76876.0,0.383
2026-02-09,UAE,IG,428697,7,395078,170588,6070,189791.0,0.401
2026-02-09,UAE,Tik Tok,373798,4,339800,154701,11218,151695.0,0.397
2026-02-09,UAE,YouTube,248342,6,214617,91256,2569,66991.0,0.478
2026-02-09,UAE,X,138619,5,115113,52940,911,49031.0,0.473
2026-02-09,UAE,facebook,193371,5,193208,81708,1710,82253.0,0.393
2026-02-16,UAE,IG,432250,6,392440,220980,9438,130131.0,0.377
2026-02-16,UAE,TikTok,374652,10,324435,177074,12905,124207.0,0.423
2026-02-16,UAE,YouTube,251131,11,272923,114798,3394,108409.0,0.447
2026-02-16,UAE,X,138510,11,127917,59751,1060,37656.0,0.436
2026-02-16,UAE,Facebook,194359,9,223644,96501,2596,81667.0,0.374
2026-02-23,UAE,IG,431706,4,456007,277946,15638,185002.0,0.377
2026-02-23,UAE,TikTok,376764,5,497542,225723,19304,207340.0,0.385
2026-02-23,UAE,YT,252323,9,369766,169339,5347,155203.0,0.431
2026-02-23,UAE,X (Twitter),138385,8,174743,92890,1750,74097.0,0.447
2026-02-23,UAE,Facebook,194401,9,250213,115214,3028,104697.0,0.446
2026-03-02,UAE,Instagram,434313,10,625009,264755,16553,286190.0,0.439
2026-03-02,UAE,TikTok,379410,5,452165,241627,24752,133095.0,0.475
2026-03-02,UAE,YouTube,252563,10,337450,151332,5784,151541.0,0.412
2026-03-02,UAE,X,139535,9,143904,72900,1716,42382.0,0.412
2026-03-02,UAE,Facebook,196712,9,199777,122887,3607,59589.0,0.461
2026-03-09,UAE,IG,434220,7,529025,263273,15121,177684.0,0.077
2026-03-09,UAE,Tik Tok,381112,7,572406,245877,21663,234698.0,0.049
2026-03-09,UAE,YouTube,251656,6,292422,181516,7589,150139.0,0.155
2026-03-09,UAE,X,140544,9,163693,90186,2146,63089.0,0.106
2026-03-09,UAE,Facebook,196203,7,302049,136403,4289,109377.0,0.085
2026-03-16,UAE,instagram,437668,5,438985,239128,11896,196266.0,0.122
2026-03-16,UAE,tiktok,381349,6,419655,224512,20535,174249.0,0.104
2026-03-16,UAE,YT,254789,7,265162,151626,5906,102157.0,0.044
2026-03-16,UAE,X,140199,6,147516,88222,2061,44822.0,0.115
2026-03-16,UAE,Facebook,197661,9,162756,99598,2941,55256.0,0.096
2026-03-23,UAE,IG,438919,7,704637,301764,14322,221921.0,0.463
2026-03-23,UAE,Tik Tok,383733,10,371261,207745,19996,,0.422
2026-03-23,UAE,YouTube,255378,10,337354,158600,5463,136373.0,0.413
2026-03-23,UAE,X,140720,5,144769,77425,1761,45219.0,0.392
2026-03-23,UAE,facebook,197700,9,304194,130082,3668,140744.0,0.437
2026-03-30,UAE,instagram,440181,4,386217,176984,7471,166758.0,0.381
2026-03-30,UAE,tiktok,385975,10,385709,174780,12483,132424.0,0.435
2026-03-30,UAE,YT,254218,7,228514,106816,3272,85822.0,0.455
2026-03-30,UAE,Twitter,141305,7,110623,58192,1011,54310.0,0.398
2026-03-30,UAE,Facebook,198232,5,149828,79355,1789,76393.0,0.392
2026-04-06,UAE,Instagram,442537,10,447108,208662,8737,175139.0,0.481
2026-04-06,UAE,TikTok,385515,11,310190,157771,11552,106222.0,0.417
2026-04-06,UAE,YT,256297,4,294745,131581,3869,133684.0,0.437
2026-04-06,UAE,Twitter,143133,7,120205,69332,1271,52359.0,0.443
2026-04-06,UAE,facebook,199230,4,162862,89991,2039,61890.0,0.449
2026-04-13,UAE,instagram,442372,4,422348,185228,6224,219090.0,0.396
2026-04-13,UAE,tiktok,383581,8,387247,194028,11814,114539.0,0.395
2026-04-13,UAE,YT,257078,7,279233,131972,3725,86056.0,0.481
2026-04-13,UAE,Twitter,143817,11,153110,71863,1315,50142.0,0.433
2026-04-13,UAE,facebook,200849,6,142404,68402,1702,51387.0,0.489
2026-04-20,UAE,IG,445353,11,504413,225168,10160,145571.0,0.457
2026-04-20,UAE,tiktok,385651,10,317543,166055,10424,,0.463
2026-04-20,UAE,youtube,258960,5,260827,124380,3686,120105.0,0.392
2026-04-20,UAE,X (Twitter),144162,4,166284,72659,1053,67936.0,0.402
2026-04-20,UAE,FB,200198,7,162368,93135,2054,77390.0,0.379
2026-04-27,UAE,instagram,448106,6,469970,220834,9609,176567.0,0.456
2026-04-27,UAE,tiktok,386571,11,309519,178315,11554,137351.0,0.452
2026-04-27,UAE,YouTube,260275,11,229576,121046,3378,83278.0,0.407
2026-04-27,UAE,X (Twitter),144975,4,97491,52169,875,44352.0,0.317
2026-04-27,UAE,Facebook,202574,5,217302,94901,2277,107710.0,0.38
2026-05-04,UAE,Instagram,450380,8,348715,212755,8251,122527.0,0.378
2026-05-04,UAE,Tik Tok,389063,10,432756,225562,13733,144783.0,0.404
2026-05-04,UAE,YouTube,259100,4,180728,99934,3001,87646.0,0.44
2026-05-04,UAE,X (Twitter),145079,5,120273,71148,1077,39358.0,0.4
2026-05-04,UAE,Facebook,202902,8,172656,97478,2318,72800.0,0.371
2026-05-11,UAE,IG,452266,4,337156,178027,7387,104939.0,0.374
2026-05-11,UAE,tiktok,393762,6,331978,174554,12062,161010.0,0.43
2026-05-11,UAE,YouTube,263238,5,276294,118958,3158,78871.0,0.377
2026-05-11,UAE,X,145285,10,131216,67784,1114,57872.0,0.397
2026-05-11,UAE,FB,202919,9,207076,90558,2062,71127.0,0.429
2026-05-18,UAE,instagram,451084,10,407679,185204,6958,130767.0,0.415
2026-05-18,UAE,TikTok,392528,8,368477,171679,9781,127092.0,0.373
2026-05-18,UAE,youtube,261482,8,228217,105394,2604,98414.0,0.439
2026-05-18,UAE,X (Twitter),144767,6,127171,57842,1090,55552.0,0.492
2026-05-18,UAE,Facebook,203614,10,190478,99738,2267,90577.0,0.436
2026-05-25,UAE,instagram,452949,10,509453,219044,8717,257566.0,0.403
2026-05-25,UAE,TikTok,391526,5,400171,178655,10641,157573.0,0.377
2026-05-25,UAE,youtube,261591,11,200310,111216,3458,57680.0,0.447
2026-05-25,UAE,X (Twitter),146362,8,118466,66357,1030,45069.0,0.427
2026-05-25,UAE,Facebook,205081,6,180050,78409,1699,83569.0,0.491
2026-06-01,UAE,IG,454882,8,265054,164957,5977,114797.0,0.456
2026-06-01,UAE,tiktok,396128,7,342655,189665,14461,156274.0,0.448
2026-06-01,UAE,YT,263963,7,242023,129874,3784,92556.0,0.365
2026-06-01,UAE,X,146286,10,121898,59705,1071,36301.0,0.363
2026-06-01,UAE,FB,205653,4,144180,88086,1898,45579.0,0.411
2026-06-08,UAE,instagram,454764,5,478835,220396,9437,198252.0,0.414
2026-06-08,UAE,TikTok,396831,9,347362,167524,11378,165072.0,0.395
2026-06-08,UAE,YT,265183,5,164229,100498,2335,59568.0,0.365
2026-06-08,UAE,X,145456,7,128004,56705,909,43554.0,0.457
2026-06-08,UAE,Facebook,207117,11,184043,95077,2370,70958.0,0.441
2026-06-15,UAE,instagram,456471,4,346218,196462,7291,,0.379
2026-06-15,UAE,tiktok,398378,5,380492,164716,11066,187486.0,0.413
2026-06-15,UAE,youtube,265056,7,206355,112177,3053,77147.0,0.391
2026-06-15,UAE,Twitter,147748,5,114118,68319,1123,46031.0,0.438
2026-06-15,UAE,FB,206896,7,137060,82772,1814,44729.0,0.393
2026-06-22,UAE,Instagram,461496,10,514426,241215,9895,201590.0,0.416
2026-06-22,UAE,Tik Tok,396045,10,396754,198195,14251,112210.0,0.463
2026-06-22,UAE,youtube,265906,11,244699,125832,3733,94952.0,0.454
2026-06-22,UAE,X (Twitter),147904,4,162151,74974,1297,48536.0,0.396
2026-06-22,UAE,Facebook,207010,9,233451,105014,2179,97188.0,0.415
2026-06-29,UAE,instagram,459874,8,355087,212290,9014,127706.0,0.473
2026-06-29,UAE,TikTok,400395,10,309054,190461,12363,130662.0,0.402
2026-06-29,UAE,youtube,269872,11,176000,109586,3162,86824.0,0.399
2026-06-29,UAE,Twitter,149025,7,118784,72851,1273,39626.0,0.454
2026-06-29,UAE,Facebook,207862,9,186876,78353,1704,77009.0,0.483
2026-07-06,UAE,Instagram,462285,6,545671,231611,9215,185574.0,0.444
2026-07-06,UAE,tiktok,403172,9,301262,134700,7796,111407.0,0.415
2026-07-06,UAE,YT,268993,5,220814,116492,3767,91545.0,0.404
2026-07-06,UAE,X (Twitter),148948,5,150154,65797,1305,58578.0,0.413
2026-07-06,UAE,FB,208725,4,201405,92311,1979,92675.0,0.464
2026-07-13,UAE,Instagram,465311,9,468558,202457,7376,145175.0,0.423
2026-07-13,UAE,tiktok,402699,10,302239,165328,12023,138113.0,0.447
2026-07-13,UAE,YouTube,268053,6,177694,109363,3272,88414.0,0.365
2026-07-13,UAE,Twitter,148826,5,130247,66510,1101,38928.0,0.376
2026-07-13,UAE,FB,207833,5,161815,88677,2231,50043.0,0.506
2026-07-20,UAE,instagram,465576,9,284858,171334,8357,93857.0,0.358
2026-07-20,UAE,Tik Tok,407214,5,342703,176855,12646,127505.0,0.422
2026-07-20,UAE,youtube,270583,7,230430,97772,2924,84589.0,0.377
2026-07-20,UAE,X,149250,10,169453,71895,1194,81398.0,0.436
2026-07-20,UAE,facebook,208784,7,151631,82852,1798,70028.0,0.41
2026-07-27,UAE,instagram,465997,9,363476,226395,9730,108351.0,0.363
2026-07-27,UAE,TikTok,407361,10,379166,182680,11170,114951.0,0.406
2026-07-27,UAE,YouTube,272601,7,264608,135807,4212,111045.0,0.418
2026-07-27,UAE,X,150888,5,144786,75058,1044,,0.445
2026-07-27,UAE,Facebook,210576,4,213088,109867,2508,78266.0,0.459
2025-08-04,KSA,instagram,629757,5,404356,240745,8702,151227.0,0.415
2025-08-04,KSA,Tik Tok,547647,6,499838,293575,19887,182883.0,0.4
2025-08-04,KSA,youtube,367071,4,275360,140223,4144,89996.0,0.372
2025-08-04,KSA,Twitter,204137,5,182102,88103,1433,60464.0,0.373
2025-08-04,KSA,Facebook,287338,8,327948,136733,3406,109653.0,0.403
2025-08-11,KSA,IG,629670,9,410860,235309,9226,172658.0,0.401
2025-08-11,KSA,Tik Tok,551690,7,568847,241652,18420,247448.0,0.384
2025-08-11,KSA,YouTube,369824,4,271888,129188,3516,123539.0,0.429
2025-08-11,KSA,Twitter,204277,10,181278,88463,1597,91333.0,0.37
2025-08-11,KSA,facebook,286220,8,293855,131519,2788,98234.0,0.475
2025-08-18,KSA,Instagram,636991,9,496050,280043,11494,171948.0,0.375
2025-08-18,KSA,TikTok,551233,10,594472,280355,19369,194998.0,0.386
2025-08-18,KSA,YT,368483,5,320835,154429,4518,146361.0,0.45
2025-08-18,KSA,X,205397,8,195523,92403,1531,68561.0,0.406
2025-08-18,KSA,FB,286080,7,295419,149588,3193,97641.0,0.39
2025-08-25,KSA,IG,638884,9,622980,291793,11586,277030.0,0.37
2025-08-25,KSA,Tik Tok,554662,4,525377,305371,19787,164934.0,0.408
2025-08-25,KSA,YT,371700,8,335084,143274,4384,155902.0,0.409
2025-08-25,KSA,Twitter,207212,7,153328,82876,1505,53258.0,0.428
2025-08-25,KSA,FB,287403,8,346522,151559,3663,118751.0,0.392
2025-09-01,KSA,instagram,645805,8,618650,274015,10358,,0.427
2025-09-01,KSA,Tik Tok,565959,11,488202,263736,18708,252233.0,0.357
2025-09-01,KSA,youtube,373629,4,309372,151417,4209,89147.0,0.385
2025-09-01,KSA,X (Twitter),208043,7,200715,84447,1320,82108.0,0.397
2025-09-01,KSA,facebook,290030,6,311544,148734,3405,133659.0,0.416
2025-09-08,KSA,Instagram,646215,7,617496,315436,10069,241914.0,0.396
2025-09-08,KSA,tiktok,561762,8,361877,209750,14638,179337.0,0.48
2025-09-08,KSA,YouTube,378078,5,354674,201276,5358,129320.0,0.364
2025-09-08,KSA,Twitter,209220,7,237312,102933,1889,110616.0,0.468
2025-09-08,KSA,FB,290726,4,275885,118732,2376,108268.0,0.412
2025-09-15,KSA,instagram,647780,11,537138,320550,15314,162806.0,0.393
2025-09-15,KSA,TikTok,565435,6,487263,260693,15761,208266.0,0.417
2025-09-15,KSA,youtube,377672,7,325945,153660,4338,122673.0,0.414
2025-09-15,KSA,X (Twitter),209683,5,193774,93491,1460,92336.0,0.424
2025-09-15,KSA,FB,292755,8,258047,111943,2430,98963.0,0.36
2025-09-22,KSA,instagram,648229,11,433177,222861,8634,213071.0,0.33
2025-09-22,KSA,tiktok,566591,5,585143,245049,14937,217889.0,0.417
2025-09-22,KSA,YouTube,378407,7,443099,205822,6092,184396.0,0.392
2025-09-22,KSA,Twitter,211011,5,155499,90626,1490,44436.0,0.404
2025-09-22,KSA,facebook,293533,6,288642,139709,3471,94217.0,0.411
2025-09-29,KSA,IG,654486,9,538448,298797,11690,174331.0,0.44
2025-09-29,KSA,TikTok,564178,6,628920,268215,18447,192120.0,0.475
2025-09-29,KSA,YT,378489,4,267296,136412,4208,107002.0,0.388
2025-09-29,KSA,Twitter,210479,8,137609,78547,1288,69916.0,0.434
2025-09-29,KSA,Facebook,296949,7,263409,112261,2114,,0.398
2025-10-06,KSA,Instagram,659111,11,587807,316466,12142,193386.0,0.356
2025-10-06,KSA,TikTok,573570,8,344723,207865,13424,103997.0,0.396
2025-10-06,KSA,YouTube,380521,8,270833,157289,4396,94141.0,0.388
2025-10-06,KSA,X (Twitter),211643,4,160124,94552,1646,74553.0,0.38
2025-10-06,KSA,FB,295354,4,209922,112132,2131,104944.0,0.443
2025-10-13,KSA,Instagram,656980,11,740385,328457,12947,248245.0,0.474
2025-10-13,KSA,TikTok,571567,8,529506,257849,15354,263375.0,0.422
2025-10-13,KSA,youtube,383979,7,336594,162112,5221,139064.0,0.401
2025-10-13,KSA,Twitter,211530,8,197368,87214,1724,63637.0,0.376
2025-10-13,KSA,FB,298695,6,297134,125845,2474,153562.0,0.413
2025-10-20,KSA,IG,660790,11,688219,292968,12021,274278.0,0.453
2025-10-20,KSA,tiktok,574451,11,518439,222064,12988,262074.0,0.363
2025-10-20,KSA,YT,389248,4,303886,179892,4721,94313.0,0.39
2025-10-20,KSA,X,213414,8,191062,97080,1550,68202.0,0.445
2025-10-20,KSA,facebook,300293,5,264587,117513,2324,137509.0,0.432
2025-10-27,KSA,instagram,666601,10,545229,239851,7867,,0.355
2025-10-27,KSA,tiktok,575453,4,622168,323711,21325,263470.0,0.409
2025-10-27,KSA,YT,386194,6,422694,190475,5183,164439.0,0.419
2025-10-27,KSA,Twitter,214036,8,231244,109378,1794,95182.0,0.383
2025-10-27,KSA,Facebook,298414,11,231090,129957,2330,108663.0,0.401
2025-11-03,KSA,instagram,671093,11,454318,274236,11342,149238.0,0.391
2025-11-03,KSA,Tik Tok,585456,11,566678,267802,18002,231182.0,0.422
2025-11-03,KSA,YouTube,387729,4,346973,204009,5594,115127.0,0.416
2025-11-03,KSA,Twitter,214954,5,167994,93240,1467,82479.0,0.395
2025-11-03,KSA,facebook,301833,5,293078,131886,3491,148566.0,0.348
2025-11-10,KSA,Instagram,674143,10,375621,229801,9897,173637.0,0.386
2025-11-10,KSA,tiktok,581879,7,613305,277150,15964,318595.0,0.446
2025-11-10,KSA,YouTube,389993,7,262621,145006,3588,118099.0,0.48
2025-11-10,KSA,Twitter,218211,8,159701,96399,1887,65559.0,0.396
2025-11-10,KSA,facebook,300907,9,269336,131119,2650,137014.0,0.405
2025-11-17,KSA,IG,674247,9,815033,403718,15304,396811.0,0.362
2025-11-17,KSA,tiktok,586606,4,746642,379294,28430,357131.0,0.444
2025-11-17,KSA,youtube,392522,8,667429,306639,9549,321385.0,0.396
2025-11-17,KSA,X (Twitter),217282,6,324619,156982,2627,107634.0,0.47
2025-11-17,KSA,FB,304299,9,408749,194738,3948,192043.0,0.415
2025-11-24,KSA,Instagram,676834,8,856245,518223,21830,392626.0,0.391
2025-11-24,KSA,Tik Tok,590641,5,917407,492004,32870,383244.0,0.469
2025-11-24,KSA,YT,394144,10,509377,292248,8316,195580.0,0.34
2025-11-24,KSA,X,218550,7,359805,175071,3098,157129.0,0.462
2025-11-24,KSA,Facebook,305805,7,406531,206107,4626,160141.0,0.421
2025-12-01,KSA,Instagram,679994,8,725617,328044,11705,211975.0,0.357
2025-12-01,KSA,TikTok,596596,4,655965,355548,22370,316314.0,0.462
2025-12-01,KSA,youtube,393578,9,434428,203872,5489,126609.0,0.423
2025-12-01,KSA,X,218440,7,258713,141191,2170,90730.0,0.483
2025-12-01,KSA,facebook,309167,4,298383,157836,3463,131221.0,0.389
2025-12-08,KSA,Instagram,684269,4,652810,304027,11596,201741.0,0.422
2025-12-08,KSA,tiktok,599562,10,634052,299213,20982,307074.0,0.462
2025-12-08,KSA,youtube,398066,6,325042,178389,6312,91263.0,0.449
2025-12-08,KSA,X (Twitter),220229,6,194300,95228,1334,89054.0,0.358
2025-12-08,KSA,facebook,307890,6,216484,124124,2525,96161.0,0.459
2025-12-15,KSA,IG,691052,8,918466,388099,17659,262804.0,0.5
2025-12-15,KSA,tiktok,599200,9,733161,320227,18775,286470.0,0.469
2025-12-15,KSA,YT,402942,7,352578,210265,5949,153994.0,0.401
2025-12-15,KSA,X (Twitter),221102,8,241406,126260,2177,103776.0,0.509
2025-12-15,KSA,facebook,306956,6,401919,182230,3838,193354.0,0.381
2025-12-22,KSA,instagram,689889,9,604689,373769,13284,185805.0,0.478
2025-12-22,KSA,TikTok,597159,8,614801,276991,19098,291307.0,0.488
2025-12-22,KSA,YT,400078,7,392332,229806,7352,184671.0,0.392
