date,market,category,units_sold,asp_local,revenue_local,currency
2026-03-23,UAE,Smartphones,10692,2397.22,25631069.56,AED
2026-03-30,UAE,Smartphones,8890,2497.27,22201057.44,AED
2026-04-06,UAE,Smartphones,8584,2403.6,20632518.76,AED
2026-04-13,UAE,Smartphones,8488,2460.88,20889287.3,AED
2026-04-20,UAE,Smartphones,7974,2503.64,19965277.56,AED
2026-04-27,UAE,Smartphones,9056,2392.36,21667412.99,AED
2026-05-04,UAE,Smartphones,8647,2433.77,21045379.5,AED
2026-05-11,UAE,Smartphones,8782,2450.13,21518536.66,AED
2026-05-18,UAE,Smartphones,8763,2446.12,21436301.92,AED
2026-05-25,UAE,Smartphones,8740,2422.8,21177076.82,AED
2026-06-01,UAE,Smartphones,8798,2454.15,21593737.24,AED
2026-06-08,UAE,Smartphones,9038,2451.4,22156411.19,AED
2026-06-15,UAE,Smartphones,9653,2424.47,23405247.85,AED
2026-06-22,UAE,Smartphones,9590,2427.26,23279380.4,AED
2026-06-29,UAE,Smartphones,9513,2416.0,22984231.14,AED
2026-07-06,UAE,Smartphones,9809,2489.24,24418742.62,AED
2026-07-13,UAE,Smartphones,9863,2420.59,23876347.49,AED
2026-07-20,UAE,Smartphones,9428,2454.34,23139827.63,AED
2026-07-27,UAE,Smartphones,10621,2446.83,25989900.4,AED
2025-08-04,UAE,TV,2586,3110.43,8044073.63,AED
2025-08-11,UAE,TV,2661,3090.0,8222850.71,AED
2025-08-18,UAE,TV,2672,3093.11,8265815.52,AED
2025-08-25,UAE,TV,2720,3123.48,8496510.29,AED
2025-09-01,UAE,TV,2824,3034.36,8570872.85,AED
2025-09-08,UAE,TV,2500,3089.45,7726614.13,AED
2025-09-15,UAE,TV,2836,3070.35,8707565.9,AED
2025-09-22,UAE,TV,3009,3109.57,9357525.84,AED
2025-09-29,UAE,TV,2810,3112.98,8750480.62,AED
2025-10-06,UAE,TV,2890,3068.23,8868978.46,AED
2025-10-13,UAE,TV,2875,3077.17,8848238.24,AED
2025-10-20,UAE,TV,2631,3083.71,8113278.74,AED
2025-10-27,UAE,TV,2879,3042.94,8760980.24,AED
2025-11-03,UAE,TV,2708,3128.34,8473840.0,AED
2025-11-10,UAE,TV,2668,3092.77,8251579.31,AED
2025-11-17,UAE,TV,5015,3024.1,15168071.03,AED
2025-11-24,UAE,TV,6858,3066.75,21033991.47,AED
2025-12-01,UAE,TV,4377,3114.04,13632931.57,AED
2025-12-08,UAE,TV,2750,3113.95,8564357.32,AED
2025-12-15,UAE,TV,3610,3117.07,11255408.19,AED
2025-12-22,UAE,TV,3710,3180.52,11802838.23,AED
2025-12-29,UAE,TV,3644,3057.07,11140888.54,AED
2026-01-05,UAE,TV,2691,3062.52,8242009.14,AED
2026-01-12,UAE,TV,2590,3031.01,7850355.24,AED
2026-01-19,UAE,TV,2409,3062.23,7379570.64,AED
2026-01-26,UAE,TV,2379,3126.3,7439608.85,AED
2026-02-02,UAE,TV,2122,3115.59,6614226.24,AED
2026-02-09,UAE,TV,2294,3130.89,7183839.84,AED
2026-02-16,UAE,TV,2297,3016.57,6931178.19,AED
2026-02-23,UAE,TV,3100,3066.08,9505876.19,AED
2026-03-02,UAE,TV,3468,3074.98,10664973.27,AED
2026-03-09,UAE,TV,3147,3125.62,9838109.1,AED
2026-03-16,UAE,TV,3319,3149.21,10452651.78,AED
2026-03-23,UAE,TV,3167,3171.55,10046302.68,AED
2026-03-30,UAE,TV,2546,3007.57,7659675.63,AED
2026-04-06,UAE,TV,2349,3052.95,7172032.55,AED
2026-04-13,UAE,TV,2304,3091.19,7124587.0,AED
2026-04-20,UAE,TV,2573,3087.05,7943396.0,AED
2026-04-27,UAE,TV,2283,3039.86,6941987.52,AED
2026-05-04,UAE,TV,2687,3116.71,8375721.49,AED
2026-05-11,UAE,TV,2356,3128.48,7372181.98,AED
2026-05-18,UAE,TV,2270,3097.09,7032694.52,AED
2026-05-25,UAE,TV,2354,3080.95,7252646.19,AED
2026-06-01,UAE,TV,2515,3087.55,7767043.97,AED
2026-06-08,UAE,TV,2647,3075.61,8143036.13,AED
2026-06-15,UAE,TV,2422,3113.77,7542170.14,AED
2026-06-22,UAE,TV,2563,3092.19,7925901.41,AED
2026-06-29,UAE,TV,2455,3097.46,7606956.8,AED
2026-07-06,UAE,TV,2507,3162.34,7929268.05,AED
2026-07-13,UAE,TV,2590,3098.07,8025793.72,AED
2026-07-20,UAE,TV,2582,3074.62,7940647.8,AED
2026-07-27,UAE,TV,2790,3095.03,8636224.67,AED
2025-08-04,UAE,Home Appliances,2948,2080.78,6136099.24,AED
2025-08-11,UAE,Home Appliances,3195,2023.57,6465347.3,AED
2025-08-18,UAE,Home Appliances,3367,2088.24,7031447.08,AED
2025-08-25,UAE,Home Appliances,3347,2028.08,6789881.69,AED
2025-09-01,UAE,Home Appliances,3199,2056.42,6579214.31,AED
2025-09-08,UAE,Home Appliances,3206,2017.9,6470983.86,AED
2025-09-15,UAE,Home Appliances,3420,2013.88,6888215.36,AED
2025-09-22,UAE,Home Appliances,3322,2104.88,6994394.38,AED
2025-09-29,UAE,Home Appliances,3588,2049.19,7354425.25,AED
2025-10-06,UAE,Home Appliances,3349,2057.47,6892343.48,AED
2025-10-13,UAE,Home Appliances,3439,2052.4,7058529.73,AED
2025-10-20,UAE,Home Appliances,3240,2067.43,6699576.87,AED
2025-10-27,UAE,Home Appliances,3371,2019.01,6806927.44,AED
2025-11-03,UAE,Home Appliances,3160,2069.03,6540163.94,AED
2025-11-10,UAE,Home Appliances,3296,2070.28,6825597.25,AED
2025-11-17,UAE,Home Appliances,6226,2075.1,12919639.0,AED
2025-11-24,UAE,Home Appliances,8733,2058.19,17974373.34,AED
2025-12-01,UAE,Home Appliances,5206,2000.97,10418620.2,AED
2025-12-08,UAE,Home Appliances,3018,2019.08,6093730.46,AED
2025-12-15,UAE,Home Appliances,4261,2045.24,8716025.82,AED
2025-12-22,UAE,Home Appliances,4806,2029.21,9753380.62,AED
2025-12-29,UAE,Home Appliances,4349,2021.49,8791984.52,AED
2026-01-05,UAE,Home Appliances,3080,2074.09,6389910.31,AED
2026-01-12,UAE,Home Appliances,2933,2034.88,5968733.93,AED
2026-01-19,UAE,Home Appliances,2764,2039.94,5639402.3,AED
2026-01-26,UAE,Home Appliances,2587,2081.32,5386267.54,AED
2026-02-02,UAE,Home Appliances,2737,2015.6,5518537.62,AED
2026-02-09,UAE,Home Appliances,2861,2049.45,5864194.54,AED
2026-02-16,UAE,Home Appliances,2508,2052.46,5148226.53,AED
2026-02-23,UAE,Home Appliances,3446,2051.48,7070191.58,AED
2026-03-02,UAE,Home Appliances,3789,2080.06,7881720.27,AED
2026-03-09,UAE,Home Appliances,3730,2070.15,7723195.22,AED
2026-03-16,UAE,Home Appliances,3975,2037.02,8097354.42,AED
2026-03-23,UAE,Home Appliances,3610,2025.62,7314406.01,AED
2026-03-30,UAE,Home Appliances,2860,2072.25,5927307.34,AED
2026-04-06,UAE,Home Appliances,2964,2034.01,6030125.29,AED
2026-04-13,UAE,Home Appliances,2922,2045.53,5978190.88,AED
2026-04-20,UAE,Home Appliances,2737,2008.15,5497090.54,AED
2026-04-27,UAE,Home Appliances,2847,2048.07,5831054.7,AED
2026-05-04,UAE,Home Appliances,2796,2081.57,5821736.9,AED
2026-05-11,UAE,Home Appliances,2855,2045.63,5840270.17,AED
2026-05-18,UAE,Home Appliances,3036,2091.5,6349832.85,AED
2026-05-25,UAE,Home Appliances,2891,2072.5,5991791.18,AED
2026-06-01,UAE,Home Appliances,2900,2083.47,6042157.87,AED
2026-06-08,UAE,Home Appliances,3114,2015.17,6275285.15,AED
2026-06-15,UAE,Home Appliances,3040,2083.95,6335598.5,AED
2026-06-22,UAE,Home Appliances,3094,2041.31,6317364.31,AED
2026-06-29,UAE,Home Appliances,2948,2062.71,6081936.86,AED
2026-07-06,UAE,Home Appliances,3077,2084.93,6417113.58,AED
2026-07-13,UAE,Home Appliances,3186,2021.75,6441621.24,AED
2026-07-20,UAE,Home Appliances,3168,2033.31,6442138.73,AED
2026-07-27,UAE,Home Appliances,3431,2043.73,7013583.15,AED
2025-08-04,KSA,Smartphones,14973,2511.9,37612027.13,SAR
2025-08-11,KSA,Smartphones,16030,2567.01,41150039.58,SAR
2025-08-18,KSA,Smartphones,16018,2525.33,40451838.14,SAR
2025-08-25,KSA,Smartphones,15496,2579.08,39967505.89,SAR
2025-09-01,KSA,Smartphones,16720,2585.56,43231281.49,SAR
2025-09-08,KSA,Smartphones,17497,2545.08,44531865.2,SAR
2025-09-15,KSA,Smartphones,16880,2511.31,42392567.44,SAR
2025-09-22,KSA,Smartphones,17282,2541.49,43922937.55,SAR
2025-09-29,KSA,Smartphones,17809,2505.37,44620552.03,SAR
2025-10-06,KSA,Smartphones,18146,2507.16,45496689.81,SAR
2025-10-13,KSA,Smartphones,16852,2493.21,42016060.69,SAR
2025-10-20,KSA,Smartphones,16733,2564.97,42921717.53,SAR
2025-10-27,KSA,Smartphones,17094,2566.4,43870763.97,SAR
2025-11-03,KSA,Smartphones,16731,2521.47,42188165.35,SAR
2025-11-10,KSA,Smartphones,16540,2524.11,41750203.59,SAR
2025-11-17,KSA,Smartphones,29670,2523.98,74887046.51,SAR
2025-11-24,KSA,Smartphones,43810,2529.17,110803153.31,SAR
2025-12-01,KSA,Smartphones,24935,2510.41,62598721.81,SAR
2025-12-08,KSA,Smartphones,16656,2547.59,42434086.67,SAR
2025-12-15,KSA,Smartphones,23000,2541.02,58445587.73,SAR
2025-12-22,KSA,Smartphones,22498,2485.98,55932001.73,SAR
2025-12-29,KSA,Smartphones,24870,2520.88,62696110.24,SAR
2026-01-05,KSA,Smartphones,15278,2483.44,37943969.15,SAR
2026-01-12,KSA,Smartphones,16185,2437.51,39453416.39,SAR
2026-01-19,KSA,Smartphones,14350,2564.98,36808095.87,SAR
2026-01-26,KSA,Smartphones,13486,2406.45,32453785.92,SAR
2026-02-02,KSA,Smartphones,12601,2565.36,32326302.87,SAR
2026-02-09,KSA,Smartphones,14216,2487.51,35363117.91,SAR
2026-02-16,KSA,Smartphones,14074,2590.25,36456379.63,SAR
2026-02-23,KSA,Smartphones,17709,2531.68,44834528.8,SAR
2026-03-02,KSA,Smartphones,29313,2510.61,73593521.55,SAR
2026-03-09,KSA,Smartphones,19909,2558.58,50939687.83,SAR
2026-03-16,KSA,Smartphones,20401,2531.87,51653478.91,SAR
2026-03-23,KSA,Smartphones,18630,2499.4,46565581.74,SAR
2026-03-30,KSA,Smartphones,14755,2556.45,37722757.37,SAR
2026-04-06,KSA,Smartphones,14147,2476.05,35030554.22,SAR
2026-04-13,KSA,Smartphones,13954,2530.52,35312607.27,SAR
2026-04-20,KSA,Smartphones,13935,2503.75,34891340.52,SAR
2026-04-27,KSA,Smartphones,14875,2553.48,37984749.67,SAR
2026-05-04,KSA,Smartphones,14383,2559.73,36819134.66,SAR
2026-05-11,KSA,Smartphones,14680,2505.12,36777625.67,SAR
2026-05-18,KSA,Smartphones,14380,2531.74,36408716.27,SAR
2026-05-25,KSA,Smartphones,15166,2491.64,37789255.06,SAR
2026-06-01,KSA,Smartphones,15364,2561.62,39359167.43,SAR
2026-06-08,KSA,Smartphones,16055,2572.79,41306564.89,SAR
2026-06-15,KSA,Smartphones,16401,2519.74,41326323.13,SAR
2026-06-22,KSA,Smartphones,15502,2544.61,39447617.62,SAR
2026-06-29,KSA,Smartphones,15777,2544.04,40138365.68,SAR
2026-07-06,KSA,Smartphones,16489,2573.06,42427813.49,SAR
2026-07-13,KSA,Smartphones,14678,2503.74,36751135.55,SAR
2026-07-20,KSA,Smartphones,16663,2529.32,42146481.78,SAR
2026-07-27,KSA,Smartphones,16899,2501.66,42276951.73,SAR
2025-08-04,KSA,TV,4052,3305.81,13397337.88,SAR
2025-08-11,KSA,TV,4188,3270.28,13696748.1,SAR
2025-08-18,KSA,TV,4765,3254.53,15510080.51,SAR
2025-08-25,KSA,TV,4713,3196.26,15066521.05,SAR
2025-09-01,KSA,TV,5061,3248.09,16440010.97,SAR
2025-09-08,KSA,TV,4409,3256.03,14358044.18,SAR
2025-09-15,KSA,TV,4451,3239.47,14420496.92,SAR
2025-09-22,KSA,TV,4965,3248.91,16134049.73,SAR
2025-09-29,KSA,TV,4465,3259.71,14556169.42,SAR
2025-10-06,KSA,TV,4716,3229.56,15232113.53,SAR
2025-10-13,KSA,TV,4580,3373.23,15449842.54,SAR
2025-10-20,KSA,TV,4665,3266.64,15239618.97,SAR
2025-10-27,KSA,TV,4540,3202.04,14538137.13,SAR
2025-11-03,KSA,TV,4914,3227.5,15860252.18,SAR
2025-11-10,KSA,TV,4500,3252.82,14639526.47,SAR
2025-11-17,KSA,TV,8508,3184.44,27093734.87,SAR
2025-11-24,KSA,TV,12415,3302.92,41006886.33,SAR
2025-12-01,KSA,TV,7396,3230.41,23895029.22,SAR
2025-12-08,KSA,TV,4481,3223.03,14444880.16,SAR
2025-12-15,KSA,TV,5992,3202.18,19190094.9,SAR
2025-12-22,KSA,TV,6407,3275.69,20989713.22,SAR
2025-12-29,KSA,TV,6093,3181.24,19385930.88,SAR
2026-01-05,KSA,TV,4059,3312.72,13448353.34,SAR
2026-01-12,KSA,TV,3909,3291.3,12867168.93,SAR
2026-01-19,KSA,TV,4161,3279.94,13649130.45,SAR
2026-01-26,KSA,TV,3669,3269.5,11996198.65,SAR
2026-02-02,KSA,TV,3694,3257.88,12035408.11,SAR
2026-02-09,KSA,TV,3597,3267.09,11754481.41,SAR
2026-02-16,KSA,TV,3968,3219.12,12774611.92,SAR
2026-02-23,KSA,TV,5054,3279.64,16576869.18,SAR
2026-03-02,KSA,TV,5433,3233.51,17570365.76,SAR
2026-03-09,KSA,TV,5522,3148.16,17386850.48,SAR
2026-03-16,KSA,TV,5269,3241.71,17081107.46,SAR
2026-03-23,KSA,TV,5014,3240.86,16250102.66,SAR
2026-03-30,KSA,TV,3873,3252.29,12596770.37,SAR
2026-04-06,KSA,TV,3916,3308.64,12957977.27,SAR
2026-04-13,KSA,TV,3987,3282.75,13091026.41,SAR
2026-04-20,KSA,TV,3537,3196.5,11307132.9,SAR
2026-04-27,KSA,TV,4007,3208.96,12860190.69,SAR
2026-05-04,KSA,TV,3856,3279.98,12648286.0,SAR
2026-05-11,KSA,TV,4014,3227.58,12957082.43,SAR
2026-05-18,KSA,TV,3615,3273.7,11837062.78,SAR
2026-05-25,KSA,TV,3920,3291.85,12904298.08,SAR
2026-06-01,KSA,TV,3839,3210.85,12329559.12,SAR
2026-06-08,KSA,TV,4190,3249.85,13617833.05,SAR
2026-06-15,KSA,TV,4322,3302.56,14274520.45,SAR
2026-06-22,KSA,TV,4105,3249.2,13340212.93,SAR
2026-06-29,KSA,TV,4124,3212.88,13250528.66,SAR
2026-07-06,KSA,TV,4419,3246.42,14348758.59,SAR
2026-07-13,KSA,TV,4494,3196.11,14365614.1,SAR
2026-07-20,KSA,TV,4232,3233.27,13684346.56,SAR
2026-07-27,KSA,TV,4662,3233.15,15075294.59,SAR
2025-08-04,KSA,Home Appliances,5401,2184.71,11800205.27,SAR
2025-08-11,KSA,Home Appliances,5257,2174.75,11432722.37,SAR
2025-08-18,KSA,Home Appliances,5750,2194.77,12620937.94,SAR
2025-08-25,KSA,Home Appliances,5097,2168.92,11055478.43,SAR
2025-09-01,KSA,Home Appliances,5704,2149.89,12264409.07,SAR
2025-09-08,KSA,Home Appliances,5667,2110.6,11960802.13,SAR
2025-09-15,KSA,Home Appliances,5315,2175.99,11567377.86,SAR
2025-09-22,KSA,Home Appliances,5657,2201.47,12454738.81,SAR
2025-09-29,KSA,Home Appliances,5796,2166.28,12557098.86,SAR
2025-10-06,KSA,Home Appliances,5679,2184.42,12405587.62,SAR
2025-10-13,KSA,Home Appliances,5521,2251.59,12431867.19,SAR
2025-10-20,KSA,Home Appliances,5104,2171.33,11084348.05,SAR
2025-10-27,KSA,Home Appliances,5329,2184.44,11642657.93,SAR
2025-11-03,KSA,Home Appliances,5488,2198.11,12064077.12,SAR
2025-11-10,KSA,Home Appliances,5391,2155.99,11623672.92,SAR
2025-11-17,KSA,Home Appliances,10643,2178.85,23191435.24,SAR
2025-11-24,KSA,Home Appliances,14491,2182.16,31622548.96,SAR
2025-12-01,KSA,Home Appliances,8742,2207.88,19301430.21,SAR
2025-12-08,KSA,Home Appliances,5802,2182.04,12660353.92,SAR
2025-12-15,KSA,Home Appliances,7172,2176.6,15611483.15,SAR
2025-12-22,KSA,Home Appliances,7717,2206.08,17024930.52,SAR
2025-12-29,KSA,Home Appliances,7596,2187.19,16615328.63,SAR
2026-01-05,KSA,Home Appliances,4903,2221.47,10892830.37,SAR
2026-01-12,KSA,Home Appliances,4740,2178.17,10326358.39,SAR
2026-01-19,KSA,Home Appliances,5033,2169.88,10922619.96,SAR
2026-01-26,KSA,Home Appliances,4446,2144.23,9534487.82,SAR
2026-02-02,KSA,Home Appliances,4429,2216.13,9815393.26,SAR
2026-02-09,KSA,Home Appliances,4716,2221.34,10476514.84,SAR
2026-02-16,KSA,Home Appliances,4341,2159.08,9373518.08,SAR
2026-02-23,KSA,Home Appliances,6553,2195.68,14388442.15,SAR
2026-03-02,KSA,Home Appliances,6425,2181.9,14019413.66,SAR
2026-03-09,KSA,Home Appliances,5999,2171.28,13027473.72,SAR
2026-03-16,KSA,Home Appliances,6078,2196.39,13351323.09,SAR
2026-03-23,KSA,Home Appliances,6507,2157.01,14037556.12,SAR
2026-03-30,KSA,Home Appliances,4927,2218.0,10930225.78,SAR
2026-04-06,KSA,Home Appliances,5243,2171.41,11385120.66,SAR
2026-04-13,KSA,Home Appliances,5055,2175.98,10999837.45,SAR
2026-04-20,KSA,Home Appliances,4671,2156.4,10073757.73,SAR
2026-04-27,KSA,Home Appliances,4744,2173.9,10315044.2,SAR
2026-05-04,KSA,Home Appliances,5023,2235.93,11233052.23,SAR
2026-05-11,KSA,Home Appliances,5329,2218.11,11821147.09,SAR
2026-05-18,KSA,Home Appliances,4780,2176.48,10403978.15,SAR
2026-05-25,KSA,Home Appliances,4854,2179.41,10580519.69,SAR
2026-06-01,KSA,Home Appliances,4708,2165.53,10196542.47,SAR
2026-06-08,KSA,Home Appliances,4952,2222.64,11008324.53,SAR
2026-06-15,KSA,Home Appliances,5213,2161.71,11271096.87,SAR
2026-06-22,KSA,Home Appliances,4958,2194.09,10879373.39,SAR
2026-06-29,KSA,Home Appliances,5538,2209.05,12235741.9,SAR
2026-07-06,KSA,Home Appliances,4965,2209.17,10970236.87,SAR
2026-07-13,KSA,Home Appliances,5175,2134.37,11046833.91,SAR
2026-07-20,KSA,Home Appliances,5357,2211.02,11845802.79,SAR
2026-07-27,KSA,Home Appliances,5349,2143.28,11464565.77,SAR
2025-08-04,Egypt,Smartphones,10313,31132.15,321092039.22,EGP
2025-08-11,Egypt,Smartphones,11122,31694.38,352518917.27,EGP
2025-08-18,Egypt,Smartphones,11691,31414.19,367285112.81,EGP
2025-08-25,Egypt,Smartphones,10954,31429.77,344298461.35,EGP
2025-09-01,Egypt,Smartphones,11847,31512.83,373354381.11,EGP
2025-09-08,Egypt,Smartphones,11986,31082.97,372590314.84,EGP
2025-09-15,Egypt,Smartphones,11885,31492.15,374301686.24,EGP
2025-09-22,Egypt,Smartphones,12239,31245.43,382436180.66,EGP
2025-09-29,Egypt,Smartphones,11999,31366.43,376384676.67,EGP
2025-10-06,Egypt,Smartphones,11261,31754.22,357594041.46,EGP
2025-10-13,Egypt,Smartphones,11695,31260.21,365606463.18,EGP
2025-10-20,Egypt,Smartphones,11923,31170.71,371677547.0,EGP
2025-10-27,Egypt,Smartphones,12923,31637.59,408865014.48,EGP
2025-11-03,Egypt,Smartphones,11066,32175.35,356074873.71,EGP
2025-11-10,Egypt,Smartphones,12203,31457.17,383901056.96,EGP
2025-11-17,Egypt,Smartphones,20666,31384.74,648628067.37,EGP
2025-11-24,Egypt,Smartphones,28391,30703.29,871710604.75,EGP
2025-12-01,Egypt,Smartphones,20024,31915.47,639100548.67,EGP
2025-12-08,Egypt,Smartphones,12217,31208.23,381288941.39,EGP
2025-12-15,Egypt,Smartphones,15521,31912.32,495315155.35,EGP
2025-12-22,Egypt,Smartphones,15675,31584.63,495113246.69,EGP
2025-12-29,Egypt,Smartphones,16559,31572.21,522806086.01,EGP
2026-01-05,Egypt,Smartphones,11205,31519.02,353190390.06,EGP
2026-01-12,Egypt,Smartphones,11256,31010.05,349064518.59,EGP
2026-01-19,Egypt,Smartphones,10439,31706.83,331005446.28,EGP
2026-01-26,Egypt,Smartphones,9921,31430.71,311831948.74,EGP
2026-02-02,Egypt,Smartphones,9296,31965.09,297173018.23,EGP
2026-02-09,Egypt,Smartphones,8618,31090.24,267947178.47,EGP
2026-02-16,Egypt,Smartphones,9089,31492.3,286245604.12,EGP
2026-02-23,Egypt,Smartphones,12773,31121.04,397513102.51,EGP
2026-03-02,Egypt,Smartphones,21054,31868.25,670977038.7,EGP
2026-03-09,Egypt,Smartphones,13739,32069.53,440622042.3,EGP
2026-03-16,Egypt,Smartphones,14300,31613.09,452074013.86,EGP
2026-03-23,Egypt,Smartphones,13785,31507.4,434354680.55,EGP
2026-03-30,Egypt,Smartphones,10989,31153.99,342357178.3,EGP
2026-04-06,Egypt,Smartphones,9964,31487.07,313745118.31,EGP
2026-04-13,Egypt,Smartphones,9747,32023.94,312141893.18,EGP
2026-04-20,Egypt,Smartphones,10716,30900.0,331130531.6,EGP
2026-04-27,Egypt,Smartphones,10287,30892.59,317811345.22,EGP
2026-05-04,Egypt,Smartphones,10545,31072.0,327664436.08,EGP
2026-05-11,Egypt,Smartphones,9967,30861.26,307623177.95,EGP
2026-05-18,Egypt,Smartphones,9940,31744.85,315550176.71,EGP
2026-05-25,Egypt,Smartphones,10413,31764.61,330793707.23,EGP
2026-06-01,Egypt,Smartphones,10889,31604.52,344162349.27,EGP
2026-06-08,Egypt,Smartphones,10225,32366.69,330972458.03,EGP
2026-06-15,Egypt,Smartphones,10244,34421.0,352614605.82,EGP
2026-06-22,Egypt,Smartphones,9491,36469.83,346148774.48,EGP
2026-06-29,Egypt,Smartphones,9530,37499.5,357402589.13,EGP
2026-07-06,Egypt,Smartphones,8541,39040.06,333471948.08,EGP
2026-07-13,Egypt,Smartphones,7868,40623.45,319661828.08,EGP
2026-07-20,Egypt,Smartphones,8102,39076.15,316633147.52,EGP
2026-07-27,Egypt,Smartphones,7748,39803.11,308431714.74,EGP
2025-08-04,Egypt,TV,3101,39447.76,122339892.08,EGP
2025-08-11,Egypt,TV,3360,40028.77,134535337.3,EGP
2025-08-18,Egypt,TV,3527,39545.05,139507483.5,EGP
2025-08-25,Egypt,TV,3625,39983.09,144952276.89,EGP
2025-09-01,Egypt,TV,3709,39530.11,146633336.89,EGP
2025-09-08,Egypt,TV,3728,40524.71,151087917.28,EGP
2025-09-15,Egypt,TV,3785,39834.88,150803360.34,EGP
2025-09-22,Egypt,TV,3629,38984.18,141500513.46,EGP
2025-09-29,Egypt,TV,3582,40099.7,143639228.0,EGP
2025-10-06,Egypt,TV,3683,40132.28,147845651.85,EGP
2025-10-13,Egypt,TV,3721,39824.1,148188582.21,EGP
2025-10-20,Egypt,TV,3716,39998.13,148647043.99,EGP
2025-10-27,Egypt,TV,3802,39735.2,151077507.66,EGP
2025-11-03,Egypt,TV,3435,39976.78,137347111.88,EGP
2025-11-10,Egypt,TV,3781,40555.89,153357134.81,EGP
2025-11-17,Egypt,TV,7029,40051.93,281561180.61,EGP
2025-11-24,Egypt,TV,9233,39467.57,364429446.07,EGP
2025-12-01,Egypt,TV,5541,38971.74,215960514.75,EGP
2025-12-08,Egypt,TV,3492,40198.01,140411264.34,EGP
2025-12-15,Egypt,TV,4836,39356.02,190333266.31,EGP
2025-12-22,Egypt,TV,4555,39787.39,181256710.09,EGP
2025-12-29,Egypt,TV,4848,40447.49,196101027.5,EGP
2026-01-05,Egypt,TV,3322,39035.81,129689142.85,EGP
2026-01-12,Egypt,TV,3591,39119.58,140490534.27,EGP
2026-01-19,Egypt,TV,3249,39451.47,128197420.0,EGP
2026-01-26,Egypt,TV,3073,39878.29,122557723.1,EGP
2026-02-02,Egypt,TV,2899,39707.99,115147089.63,EGP
2026-02-09,Egypt,TV,2791,39404.17,109984795.11,EGP
2026-02-16,Egypt,TV,2827,39842.74,112636873.4,EGP
2026-02-23,Egypt,TV,3777,39729.7,150090100.7,EGP
2026-03-02,Egypt,TV,4397,39832.92,175175248.97,EGP
2026-03-09,Egypt,TV,4152,39430.38,163718782.4,EGP
2026-03-16,Egypt,TV,4243,39169.78,166200767.39,EGP
2026-03-23,Egypt,TV,4119,40291.8,165962061.88,EGP
2026-03-30,Egypt,TV,3169,39716.55,125876813.11,EGP
2026-04-06,Egypt,TV,3071,40195.53,123446401.4,EGP
2026-04-13,Egypt,TV,2880,39989.4,115203921.06,EGP
2026-04-20,Egypt,TV,3163,39741.37,125713556.3,EGP
2026-04-27,Egypt,TV,2954,39910.28,117921082.44,EGP
2026-05-04,Egypt,TV,3014,39950.57,120419146.52,EGP
2026-05-11,Egypt,TV,2879,39401.07,113469202.7,EGP
2026-05-18,Egypt,TV,2980,38799.34,115653844.63,EGP
2026-05-25,Egypt,TV,3291,39595.81,130342360.88,EGP
2026-06-01,Egypt,TV,3314,39829.02,132017404.28,EGP
2026-06-08,Egypt,TV,2996,41881.17,125509608.13,EGP
2026-06-15,Egypt,TV,3068,43667.92,134000717.51,EGP
