date,market,brand,mentions,share_of_voice_pct,pr_sentiment
2025-08-04,KSA,Samsung,1085,34.15%,0.32
2025-08-04,KSA,Rival A,841,26.46%,0.331
2025-08-04,KSA,Rival B,710,22.37%,0.377
2025-08-04,KSA,Rival C,541,17.02%,0.363
2025-08-11,KSA,Samsung,1011,34.69%,0.381
2025-08-11,KSA,Rival A,795,27.27%,0.399
2025-08-11,KSA,Rival B,623,21.38%,0.307
2025-08-11,KSA,Rival C,486,16.66%,0.381
2025-08-18,KSA,Samsung,955,33.87%,0.483
2025-08-18,KSA,Rival A,752,26.66%,0.466
2025-08-18,KSA,Rival B,622,22.07%,0.496
2025-08-18,KSA,Rival C,490,17.4%,0.344
2025-08-25,KSA,Samsung,920,34.96%,0.371
2025-08-25,KSA,Rival A,702,26.7%,0.32
2025-08-25,KSA,Rival B,559,21.24%,0.401
2025-08-25,KSA,Rival C,450,17.1%,0.387
2025-09-01,KSA,Samsung,1010,34.08%,0.428
2025-09-01,KSA,Rival A,789,26.63%,0.347
2025-09-01,KSA,Rival B,657,22.17%,0.35
2025-09-01,KSA,Rival C,507,17.12%,0.318
2025-09-08,KSA,Samsung,950,34.58%,0.321
2025-09-08,KSA,Rival A,701,25.53%,0.483
2025-09-08,KSA,Rival B,619,22.55%,0.366
2025-09-08,KSA,Rival C,476,17.34%,0.425
2025-09-15,KSA,Samsung,910,33.3%,0.319
2025-09-15,KSA,Rival A,695,25.45%,0.456
2025-09-15,KSA,Rival B,622,22.78%,0.33
2025-09-15,KSA,Rival C,504,18.47%,0.365
2025-09-22,KSA,Samsung,872,32.62%,0.357
2025-09-22,KSA,Rival A,705,26.39%,0.43
2025-09-22,KSA,Rival B,618,23.12%,0.484
2025-09-22,KSA,Rival C,478,17.88%,0.389
2025-09-29,KSA,Samsung,1244,34.62%,0.388
2025-09-29,KSA,Rival A,923,25.7%,0.44
2025-09-29,KSA,Rival B,740,20.61%,0.342
2025-09-29,KSA,Rival C,685,19.07%,0.384
2025-10-06,KSA,Samsung,1048,33.75%,0.368
2025-10-06,KSA,Rival A,847,27.27%,0.39
2025-10-06,KSA,Rival B,661,21.28%,0.284
2025-10-06,KSA,Rival C,549,17.69%,0.331
2025-10-13,KSA,Samsung,953,33.97%,0.379
2025-10-13,KSA,Rival A,764,27.24%,0.381
2025-10-13,KSA,Rival B,617,21.98%,0.473
2025-10-13,KSA,Rival C,472,16.81%,0.276
2025-10-20,KSA,Samsung,956,33.88%,0.385
2025-10-20,KSA,Rival A,786,27.85%,0.416
2025-10-20,KSA,Rival B,583,20.66%,0.292
2025-10-20,KSA,Rival C,497,17.61%,0.389
2025-10-27,KSA,Samsung,1168,33.18%,0.234
2025-10-27,KSA,Rival A,959,27.25%,0.342
2025-10-27,KSA,Rival B,794,22.56%,0.325
2025-10-27,KSA,Rival C,599,17.01%,0.441
2025-11-03,KSA,Samsung,1050,34.6%,0.436
2025-11-03,KSA,Rival A,795,26.21%,0.497
2025-11-03,KSA,Rival B,678,22.33%,0.348
2025-11-03,KSA,Rival C,512,16.86%,0.348
2025-11-10,KSA,Samsung,996,34.97%,0.402
2025-11-10,KSA,Rival A,733,25.76%,0.46
2025-11-10,KSA,Rival B,584,20.52%,0.317
2025-11-10,KSA,Rival C,534,18.75%,0.4
2025-11-17,KSA,Samsung,812,34.34%,0.498
2025-11-17,KSA,Rival A,630,26.67%,0.382
2025-11-17,KSA,Rival B,475,20.1%,0.355
2025-11-17,KSA,Rival C,446,18.89%,0.401
2025-11-24,KSA,Samsung,1099,34.16%,0.382
2025-11-24,KSA,Rival A,842,26.19%,0.39
2025-11-24,KSA,Rival B,701,21.81%,0.414
2025-11-24,KSA,Rival C,574,17.84%,0.41
2025-12-01,KSA,Samsung,1026,34.06%,0.27
2025-12-01,KSA,Rival A,772,25.62%,0.358
2025-12-01,KSA,Rival B,709,23.53%,0.403
2025-12-01,KSA,Rival C,505,16.79%,0.435
2025-12-08,KSA,Samsung,1269,33.5%,0.42
2025-12-08,KSA,Rival A,1035,27.31%,0.404
2025-12-08,KSA,Rival B,760,20.05%,0.403
2025-12-08,KSA,Rival C,725,19.14%,0.357
2025-12-15,KSA,Samsung,1093,34.43%,0.296
2025-12-15,KSA,Rival A,799,25.18%,0.46
2025-12-15,KSA,Rival B,711,22.4%,0.337
2025-12-15,KSA,Rival C,570,17.98%,0.342
2025-12-22,KSA,Samsung,974,32.62%,0.418
2025-12-22,KSA,Rival A,802,26.86%,0.385
2025-12-22,KSA,Rival B,658,22.04%,0.377
2025-12-22,KSA,Rival C,552,18.48%,0.375
2025-12-29,KSA,Samsung,1063,35.05%,0.503
2025-12-29,KSA,Rival A,821,27.09%,0.378
2025-12-29,KSA,Rival B,675,22.28%,0.435
2025-12-29,KSA,Rival C,472,15.58%,0.344
2026-01-05,KSA,Samsung,1151,34.08%,0.577
2026-01-05,KSA,Rival A,892,26.41%,0.46
2026-01-05,KSA,Rival B,730,21.61%,0.464
2026-01-05,KSA,Rival C,604,17.9%,0.28
2026-01-12,KSA,Samsung,1086,34.61%,0.465
2026-01-12,KSA,Rival A,829,26.42%,0.503
2026-01-12,KSA,Rival B,689,21.97%,0.362
2026-01-12,KSA,Rival C,533,16.99%,0.516
2026-01-19,KSA,Samsung,1383,34.06%,0.358
2026-01-19,KSA,Rival A,1023,25.19%,0.341
2026-01-19,KSA,Rival B,934,23.0%,0.326
2026-01-19,KSA,Rival C,720,17.74%,0.424
2026-01-26,KSA,Samsung,1445,33.77%,0.328
2026-01-26,KSA,Rival A,1186,27.72%,0.224
2026-01-26,KSA,Rival B,926,21.65%,0.404
2026-01-26,KSA,Rival C,722,16.87%,0.369
2026-02-02,KSA,Samsung,1609,34.0%,0.405
2026-02-02,KSA,Rival A,1242,26.25%,0.434
2026-02-02,KSA,Rival B,1030,21.78%,0.417
2026-02-02,KSA,Rival C,850,17.97%,0.365
2026-02-09,KSA,Samsung,1480,33.75%,0.235
2026-02-09,KSA,Rival A,1120,25.56%,0.435
2026-02-09,KSA,Rival B,1005,22.93%,0.351
2026-02-09,KSA,Rival C,778,17.76%,0.268
2026-02-16,KSA,Samsung,1554,34.11%,0.422
2026-02-16,KSA,Rival A,1226,26.91%,0.292
2026-02-16,KSA,Rival B,995,21.84%,0.403
2026-02-16,KSA,Rival C,780,17.13%,0.401
2026-02-23,KSA,Samsung,1652,36.28%,0.329
2026-02-23,KSA,Rival A,1175,25.81%,0.337
2026-02-23,KSA,Rival B,972,21.35%,0.342
2026-02-23,KSA,Rival C,753,16.55%,0.355
2026-03-02,KSA,Samsung,2871,33.48%,-0.044
2026-03-02,KSA,Rival A,2284,26.64%,0.336
2026-03-02,KSA,Rival B,1896,22.11%,0.409
2026-03-02,KSA,Rival C,1523,17.76%,0.477
2026-03-09,KSA,Samsung,873,33.1%,-0.082
2026-03-09,KSA,Rival A,725,27.47%,0.35
2026-03-09,KSA,Rival B,547,20.76%,0.477
2026-03-09,KSA,Rival C,492,18.67%,0.331
2026-03-16,KSA,Samsung,1032,33.22%,-0.16
2026-03-16,KSA,Rival A,841,27.08%,0.398
2026-03-16,KSA,Rival B,730,23.5%,0.307
2026-03-16,KSA,Rival C,503,16.2%,0.337
2026-03-23,KSA,Samsung,1085,35.22%,-0.066
2026-03-23,KSA,Rival A,785,25.51%,0.387
2026-03-23,KSA,Rival B,663,21.54%,0.424
2026-03-23,KSA,Rival C,545,17.72%,0.345
2026-03-30,KSA,Samsung,925,35.65%,0.446
2026-03-30,KSA,Rival A,675,26.01%,0.336
2026-03-30,KSA,Rival B,549,21.17%,0.247
2026-03-30,KSA,Rival C,445,17.17%,0.422
2026-04-06,KSA,Samsung,1058,34.84%,0.454
2026-04-06,KSA,Rival A,777,25.57%,0.379
2026-04-06,KSA,Rival B,663,21.83%,0.341
2026-04-06,KSA,Rival C,539,17.75%,0.495
2026-04-13,KSA,Samsung,1000,34.83%,0.322
2026-04-13,KSA,Rival A,756,26.33%,0.376
2026-04-13,KSA,Rival B,620,21.6%,0.373
2026-04-13,KSA,Rival C,495,17.24%,0.442
2026-04-20,KSA,Samsung,1024,33.7%,0.51
2026-04-20,KSA,Rival A,802,26.41%,0.453
2026-04-20,KSA,Rival B,701,23.08%,0.291
2026-04-20,KSA,Rival C,510,16.81%,0.367
2026-04-27,KSA,Samsung,1256,34.35%,0.273
2026-04-27,KSA,Rival A,1023,27.98%,0.242
2026-04-27,KSA,Rival B,769,21.04%,0.432
2026-04-27,KSA,Rival C,608,16.63%,0.428
2026-05-04,KSA,Samsung,1065,34.78%,0.349
2026-05-04,KSA,Rival A,807,26.36%,0.333
2026-05-04,KSA,Rival B,658,21.5%,0.245
2026-05-04,KSA,Rival C,531,17.36%,0.298
2026-05-11,KSA,Samsung,1081,33.19%,0.369
2026-05-11,KSA,Rival A,916,28.14%,0.369
2026-05-11,KSA,Rival B,725,22.28%,0.334
2026-05-11,KSA,Rival C,534,16.39%,0.367
2026-05-18,KSA,Samsung,1218,33.18%,0.389
2026-05-18,KSA,Rival A,995,27.11%,0.41
2026-05-18,KSA,Rival B,810,22.06%,0.45
2026-05-18,KSA,Rival C,648,17.65%,0.333
2026-05-25,KSA,Samsung,1156,31.25%,0.453
2026-05-25,KSA,Rival A,1136,30.7%,0.488
2026-05-25,KSA,Rival B,782,21.13%,0.419
2026-05-25,KSA,Rival C,625,16.91%,0.372
2026-06-01,KSA,Samsung,871,29.76%,0.322
2026-06-01,KSA,Rival A,910,31.08%,0.354
2026-06-01,KSA,Rival B,627,21.43%,0.337
2026-06-01,KSA,Rival C,519,17.73%,0.331
2026-06-08,KSA,Samsung,852,30.57%,0.302
2026-06-08,KSA,Rival A,861,30.88%,0.408
2026-06-08,KSA,Rival B,601,21.58%,0.418
2026-06-08,KSA,Rival C,473,16.97%,0.369
2026-06-15,KSA,Samsung,1039,29.91%,0.323
2026-06-15,KSA,Rival A,1111,32.0%,0.46
2026-06-15,KSA,Rival B,753,21.69%,0.521
2026-06-15,KSA,Rival C,569,16.4%,0.363
2026-06-22,KSA,Samsung,824,29.63%,0.32
2026-06-22,KSA,Rival A,898,32.27%,0.284
2026-06-22,KSA,Rival B,580,20.84%,0.334
2026-06-22,KSA,Rival C,480,17.26%,0.326
2026-06-29,KSA,Samsung,796,29.51%,0.304
2026-06-29,KSA,Rival A,848,31.44%,0.345
2026-06-29,KSA,Rival B,556,20.62%,0.421
2026-06-29,KSA,Rival C,497,18.43%,0.321
2026-07-06,KSA,Samsung,942,28.52%,0.446
2026-07-06,KSA,Rival A,1056,31.98%,0.345
2026-07-06,KSA,Rival B,731,22.14%,0.395
2026-07-06,KSA,Rival C,573,17.36%,0.426
2026-07-13,KSA,Samsung,869,25.8%,0.429
2026-07-13,KSA,Rival A,1103,32.76%,0.315
2026-07-13,KSA,Rival B,782,23.25%,0.465
2026-07-13,KSA,Rival C,612,18.19%,0.43
2026-07-20,KSA,Samsung,869,26.54%,0.365
2026-07-20,KSA,Rival A,1116,34.09%,0.289
2026-07-20,KSA,Rival B,705,21.52%,0.375
2026-07-20,KSA,Rival C,584,17.84%,0.355
2026-07-27,KSA,Samsung,789,25.97%,0.362
2026-07-27,KSA,Rival A,1098,36.12%,0.421
2026-07-27,KSA,Rival B,643,21.17%,0.316
2026-07-27,KSA,Rival C,509,16.75%,0.348
2025-08-04,Egypt,Samsung,793,32.85%,0.424
2025-08-04,Egypt,Rival A,658,27.27%,0.426
2025-08-04,Egypt,Rival B,520,21.55%,0.414
2025-08-04,Egypt,Rival C,442,18.32%,0.421
2025-08-11,Egypt,Samsung,671,33.84%,0.412
2025-08-11,Egypt,Rival A,541,27.3%,0.376
2025-08-11,Egypt,Rival B,426,21.47%,0.355
2025-08-11,Egypt,Rival C,345,17.4%,0.448
2025-08-18,Egypt,Samsung,590,33.75%,0.394
2025-08-18,Egypt,Rival A,462,26.45%,0.406
2025-08-18,Egypt,Rival B,387,22.17%,0.361
2025-08-18,Egypt,Rival C,308,17.63%,0.421
2025-08-25,Egypt,Samsung,762,32.6%,0.303
2025-08-25,Egypt,Rival A,622,26.63%,0.426
2025-08-25,Egypt,Rival B,542,23.21%,0.277
2025-08-25,Egypt,Rival C,410,17.57%,0.42
2025-09-01,Egypt,Samsung,657,34.24%,0.34
2025-09-01,Egypt,Rival A,496,25.86%,0.341
2025-09-01,Egypt,Rival B,420,21.9%,0.404
2025-09-01,Egypt,Rival C,345,17.99%,0.391
2025-09-08,Egypt,Samsung,732,35.46%,0.299
2025-09-08,Egypt,Rival A,529,25.65%,0.361
2025-09-08,Egypt,Rival B,446,21.65%,0.356
2025-09-08,Egypt,Rival C,355,17.25%,0.322
2025-09-15,Egypt,Samsung,622,33.39%,0.366
2025-09-15,Egypt,Rival A,499,26.83%,0.277
2025-09-15,Egypt,Rival B,434,23.33%,0.392
2025-09-15,Egypt,Rival C,306,16.45%,0.328
2025-09-22,Egypt,Samsung,680,34.8%,0.375
2025-09-22,Egypt,Rival A,507,25.97%,0.375
2025-09-22,Egypt,Rival B,436,22.34%,0.449
2025-09-22,Egypt,Rival C,330,16.89%,0.332
2025-09-29,Egypt,Samsung,574,33.3%,0.39
2025-09-29,Egypt,Rival A,461,26.76%,0.44
2025-09-29,Egypt,Rival B,373,21.66%,0.318
2025-09-29,Egypt,Rival C,315,18.28%,0.401
2025-10-06,Egypt,Samsung,707,34.44%,0.24
2025-10-06,Egypt,Rival A,552,26.89%,0.37
2025-10-06,Egypt,Rival B,450,21.92%,0.385
2025-10-06,Egypt,Rival C,343,16.75%,0.39
2025-10-13,Egypt,Samsung,687,34.02%,0.319
2025-10-13,Egypt,Rival A,524,25.98%,0.394
2025-10-13,Egypt,Rival B,433,21.48%,0.452
2025-10-13,Egypt,Rival C,374,18.52%,0.311
2025-10-20,Egypt,Samsung,752,35.11%,0.396
2025-10-20,Egypt,Rival A,538,25.13%,0.327
2025-10-20,Egypt,Rival B,479,22.36%,0.361
2025-10-20,Egypt,Rival C,372,17.39%,0.374
2025-10-27,Egypt,Samsung,640,34.53%,0.408
2025-10-27,Egypt,Rival A,473,25.52%,0.349
2025-10-27,Egypt,Rival B,426,22.97%,0.451
2025-10-27,Egypt,Rival C,315,16.98%,0.383
2025-11-03,Egypt,Samsung,787,34.55%,0.282
2025-11-03,Egypt,Rival A,594,26.12%,0.478
2025-11-03,Egypt,Rival B,475,20.85%,0.367
2025-11-03,Egypt,Rival C,420,18.48%,0.45
2025-11-10,Egypt,Samsung,442,35.05%,0.437
2025-11-10,Egypt,Rival A,327,25.96%,0.441
2025-11-10,Egypt,Rival B,272,21.53%,0.372
2025-11-10,Egypt,Rival C,220,17.47%,0.312
2025-11-17,Egypt,Samsung,697,34.1%,0.343
2025-11-17,Egypt,Rival A,543,26.58%,0.331
2025-11-17,Egypt,Rival B,461,22.54%,0.248
2025-11-17,Egypt,Rival C,343,16.77%,0.46
2025-11-24,Egypt,Samsung,639,33.91%,0.317
2025-11-24,Egypt,Rival A,499,26.5%,0.429
2025-11-24,Egypt,Rival B,416,22.08%,0.407
2025-11-24,Egypt,Rival C,330,17.51%,0.362
2025-12-01,Egypt,Samsung,840,33.73%,0.388
2025-12-01,Egypt,Rival A,674,27.05%,0.412
2025-12-01,Egypt,Rival B,515,20.7%,0.359
2025-12-01,Egypt,Rival C,461,18.51%,0.415
2025-12-08,Egypt,Samsung,690,34.15%,0.39
2025-12-08,Egypt,Rival A,537,26.56%,0.388
2025-12-08,Egypt,Rival B,447,22.1%,0.453
2025-12-08,Egypt,Rival C,347,17.18%,0.313
2025-12-15,Egypt,Samsung,618,34.03%,0.34
2025-12-15,Egypt,Rival A,482,26.52%,0.391
2025-12-15,Egypt,Rival B,390,21.47%,0.281
2025-12-15,Egypt,Rival C,327,17.98%,0.45
2025-12-22,Egypt,Samsung,776,34.31%,0.35
2025-12-22,Egypt,Rival A,588,26.02%,0.455
2025-12-22,Egypt,Rival B,496,21.93%,0.341
2025-12-22,Egypt,Rival C,401,17.73%,0.422
2025-12-29,Egypt,Samsung,823,35.03%,0.325
2025-12-29,Egypt,Rival A,598,25.44%,0.401
2025-12-29,Egypt,Rival B,507,21.58%,0.295
2025-12-29,Egypt,Rival C,421,17.95%,0.304
2026-01-05,Egypt,Samsung,741,35.1%,0.301
2026-01-05,Egypt,Rival A,553,26.2%,0.338
2026-01-05,Egypt,Rival B,455,21.58%,0.378
2026-01-05,Egypt,Rival C,361,17.12%,0.489
2026-01-12,Egypt,Samsung,847,36.73%,0.346
2026-01-12,Egypt,Rival A,595,25.82%,0.55
