week,market,product,influencer,followers,engagement_rate,spend_aed,conversions,sales_aed,cpa_aed,roas
2,SESAR,Galaxy S24,Influencer_5,"923,821",2.91,"4,062",23,"6,123",176.61,1.51
2,SESAR,Galaxy Tab S10,Influencer_4,"877,255",5.87,909,76,"23,920",11.96,26.31
2,SESAR,Galaxy Watch6,Influencer_21,"452,356",3.22,"2,869",15,"5,008",191.27,1.75
2,SETK,Galaxy Z Fold8,Influencer_7,"254,040",3.44,"8,092",9,"1,906",899.11,0.24
2,SETK,Galaxy Z Flip8,Influencer_6,"683,214",3.09,"11,295",17,"4,113",664.41,0.36
2,SETK,Galaxy S24,Influencer_7,"514,546",4.89,"7,085",14,"6,965",506.07,0.98
2,SETK,Galaxy Tab S10,Influencer_6,"714,435",3.30,"1,073",33,"10,875",32.52,10.14
2,SETK,Galaxy Watch6,Influencer_6,"633,911",3.86,"2,630",29,"10,667",90.69,4.06
2,SELV,Galaxy Z Fold8,Influencer_9,"659,753",5.29,"10,788",41,"18,273",263.12,1.69
2,SELV,Galaxy Z Flip8,Influencer_10,"677,450",5.24,"9,993",34,"11,656",293.91,1.17
2,SELV,Galaxy S24,Influencer_8,"380,908",5.35,"7,245",26,"12,365",278.65,1.71
2,SELV,Galaxy Tab S10,Influencer_10,"768,373",5.38,551,52,"17,285",10.60,31.37
2,SELV,Galaxy Watch6,Influencer_10,"503,387",4.50,"5,951",33,"13,325",180.33,2.24
2,SEMAG,Galaxy Z Fold8,Influencer_22,"662,721",4.10,"5,528",19,"7,724",290.95,1.40
2,SEMAG,Galaxy Z Flip8,Influencer_22,"818,213",5.06,"6,245",60,"17,661",104.08,2.83
2,SEMAG,Galaxy S24,Influencer_12,"644,150",4.96,"2,342",36,"13,006",65.06,5.55
2,SEMAG,Galaxy Tab S10,Influencer_11,"957,888",2.90,"1,156",28,"5,969",41.29,5.16
2,SEMAG,Galaxy Watch6,Influencer_11,"678,933",2.53,"2,959",13,"5,659",227.62,1.91
2,SEEG,Galaxy Z Fold8,Influencer_14,"342,723",5.23,"7,009",10,"2,316",700.90,0.33
2,SEEG,Galaxy Z Flip8,Influencer_15,"253,097",3.09,"8,662",7,"2,921","1,237.43",0.34
2,SEEG,Galaxy S24,Influencer_13,"452,867",3.43,"6,538",20,"8,422",326.90,1.29
2,SEEG,Galaxy Tab S10,Influencer_15,"880,714",3.61,"1,186",46,"18,771",25.78,15.83
2,SEEG,Galaxy Watch6,Influencer_13,"902,571",4.74,"3,881",40,"11,182",97.03,2.88
2,SEIL,Galaxy Z Fold8,Influencer_17,"361,050",2.69,"3,181",9,"2,595",353.44,0.82
2,SEIL,Galaxy Z Flip8,Influencer_18,"402,087",2.94,"8,489",6,"2,429","1,414.83",0.29
2,SEIL,Galaxy S24,Influencer_17,"481,631",5.64,"2,491",22,"9,638",113.23,3.87
2,SEIL,Galaxy Tab S10,Influencer_17,"252,062",3.07,"1,210",9,"2,378",134.44,1.97
2,SEIL,Galaxy Watch6,Influencer_17,"788,730",4.77,"6,290",29,"11,754",216.90,1.87
2,SEPAK,Galaxy Z Fold8,Influencer_19,"589,737",3.41,"4,326",19,"4,471",227.68,1.03
2,SEPAK,Galaxy Z Flip8,Influencer_19,"727,786",4.56,"4,368",18,"3,846",242.67,0.88
2,SEPAK,Galaxy S24,Influencer_23,"736,435",5.02,"2,378",28,"12,191",84.93,5.13
2,SEPAK,Galaxy Tab S10,Influencer_19,"485,037",5.42,"1,038",35,"15,398",29.66,14.83
2,SEPAK,Galaxy Watch6,Influencer_20,"804,660",5.03,"2,900",59,"23,656",49.15,8.16
3,SGE,Galaxy Z Fold8,Influencer_2,"787,360",5.19,"6,825",39,"15,488",175,2.27
3,SGE,Galaxy Z Flip8,Influencer_2,"838,576",5.71,"10,630",35,"11,177",303.71,1.05
3,SGE,Galaxy S24,Influencer_1,"978,476",4.76,"5,333",34,"14,799",156.85,2.77
3,SGE,Galaxy Tab S10,Influencer_1,"729,678",3.06,"10,706",23,"5,234",465.48,0.49
3,SGE,Galaxy Buds3,Influencer_1,"224,906",4.11,986,4,887,246.50,0.90
3,SGE,Galaxy Watch6,Influencer_2,"836,030",2.80,"7,993",33,"10,375",242.21,1.30
3,SESAR,Galaxy Z Fold8,Influencer_4,"359,797",4.48,"4,488",21,"10,239",213.71,2.28
3,SESAR,Galaxy Z Flip8,Influencer_21,"387,847",4.48,"7,634",20,"9,806",381.70,1.28
3,SESAR,Galaxy S24,Influencer_5,"702,290",3.24,"3,240",26,"8,405",124.62,2.59
3,SESAR,Galaxy Tab S10,Influencer_4,"880,768",4.01,"8,057",30,"6,390",268.57,0.79
3,SESAR,Galaxy Buds3,Influencer_4,"369,654",2.85,"1,074",9,"2,713",119.33,2.53
3,SESAR,Galaxy Watch6,Influencer_4,"260,254",5.81,"7,288",10,"3,483",728.80,0.48
3,SETK,Galaxy Z Fold8,Influencer_6,"914,703",4.11,"5,561",51,"17,574",109.04,3.16
3,SETK,Galaxy Z Flip8,Influencer_7,"751,273",5.30,"6,572",57,"11,956",115.30,1.82
3,SETK,Galaxy S24,Influencer_6,"699,687",5.44,"2,698",36,"10,814",74.94,4.01
3,SETK,Galaxy Tab S10,Influencer_6,"308,013",2.83,"8,165",9,"1,871",907.22,0.23
3,SETK,Galaxy Buds3,Influencer_6,"507,151",4.59,"1,357",11,"3,433",123.36,2.53
3,SETK,Galaxy Watch6,Influencer_24,"677,461",4.66,"3,724",37,"12,861",100.65,3.45
3,SELV,Galaxy Z Fold8,Influencer_10,"254,617",5.52,"3,946",20,"5,415",197.30,1.37
3,SELV,Galaxy Z Flip8,Influencer_8,"584,945",4.09,"10,291",27,"8,470",381.15,0.82
3,SELV,Galaxy S24,Influencer_9,"306,142",5.04,"6,067",13,"3,353",466.69,0.55
3,SELV,Galaxy Tab S10,Influencer_8,"799,378",3.04,"4,548",23,"5,677",197.74,1.25
3,SELV,Galaxy Buds3,Influencer_10,"286,554",4.17,"1,502",6,"1,918",250.33,1.28
3,SELV,Galaxy Watch6,Influencer_10,"399,742",3.62,"6,487",16,"6,894",405.44,1.06
3,SEMAG,Galaxy Z Fold8,Influencer_11,"605,298",3.31,"3,900",20,"8,258",195,2.12
3,SEMAG,Galaxy Z Flip8,Influencer_22,"888,108",5.77,"3,649",41,"15,055",89,4.13
3,SEMAG,Galaxy S24,Influencer_11,"598,851",5.02,"3,970",33,"13,950",120.30,3.51
3,SEMAG,Galaxy Tab S10,Influencer_12,"289,450",4.33,"6,530",15,"7,388",435.33,1.13
3,SEMAG,Galaxy Buds3,Influencer_22,"369,172",4.85,"1,020",20,"8,199",51,8.04
3,SEMAG,Galaxy Watch6,Influencer_22,"841,784",2.70,"4,896",27,"10,494",181.33,2.14
3,SEEG,Galaxy Z Fold8,Influencer_14,"704,884",3.04,"4,571",29,"10,471",157.62,2.29
3,SEEG,Galaxy Z Flip8,Influencer_13,"339,164",3.22,"2,968",10,"4,141",296.80,1.40
3,SEEG,Galaxy S24,Influencer_15,"407,772",5,"5,733",26,"5,812",220.50,1.01
3,SEEG,Galaxy Tab S10,Influencer_13,"946,490",4.51,"7,859",26,"9,849",302.27,1.25
3,SEEG,Galaxy Buds3,Influencer_15,"600,099",4.02,638,28,"9,588",22.79,15.03
3,SEEG,Galaxy Watch6,Influencer_13,"833,790",5.76,"5,470",32,"11,290",170.94,2.06
3,SEIL,Galaxy Z Fold8,Influencer_16,"254,127",4.80,"4,244",15,"5,809",282.93,1.37
3,SEIL,Galaxy Z Flip8,Influencer_17,"600,560",4.87,"7,709",34,"7,218",226.74,0.94
3,SEIL,Galaxy S24,Influencer_16,"539,113",3.40,"7,397",10,"4,331",739.70,0.59
3,SEIL,Galaxy Tab S10,Influencer_16,"295,071",3.78,"13,111",16,"3,586",819.44,0.27
3,SEIL,Galaxy Buds3,Influencer_16,"378,980",5.42,554,27,"6,261",20.52,11.30
3,SEIL,Galaxy Watch6,Influencer_17,"376,214",4.94,"5,931",12,"3,277",494.25,0.55
3,SEPAK,Galaxy Z Fold8,Influencer_20,"995,248",4.09,"2,312",50,"23,872",46.24,10.33
3,SEPAK,Galaxy Z Flip8,Influencer_19,"685,242",3.48,"7,184",22,"10,159",326.55,1.41
3,SEPAK,Galaxy S24,Influencer_20,"284,891",4.67,"3,450",16,"3,463",215.62,1.00
3,SEPAK,Galaxy Tab S10,Influencer_19,"357,808",5.56,"7,264",28,"5,790",259.43,0.80
3,SEPAK,Galaxy Buds3,Influencer_19,"355,130",3.81,890,19,"6,841",46.84,7.69
3,SEPAK,Galaxy Watch6,Influencer_19,"555,136",4.91,"5,395",26,"5,512",207.50,1.02
4,SGE,Galaxy Z Fold8,Influencer_3,"992,843",3.82,"2,634",34,"16,126",77.47,6.12
4,SGE,Galaxy Z Flip8,Influencer_3,"280,558",4.30,"8,002",13,"5,582",615.54,0.70
4,SGE,Galaxy S24,Influencer_1,"405,888",2.88,"5,460",13,"4,913",420,0.90
4,SGE,Galaxy Tab S10,Influencer_2,"784,195",5.03,"4,222",32,"7,510",131.94,1.78
4,SGE,Galaxy Buds3,Influencer_1,"231,167",2.85,"4,933",8,"2,795",616.62,0.57
4,SGE,Galaxy Watch6,Influencer_1,"731,297",2.70,"2,964",19,"9,333",156,3.15
4,SESAR,Galaxy Z Fold8,Influencer_4,"424,479",3.51,"2,541",11,"4,092",231,1.61
4,SESAR,Galaxy Z Flip8,Influencer_21,"319,074",3.02,"2,419",7,"3,137",345.57,1.30
4,SESAR,Galaxy S24,Influencer_21,"714,178",4.37,"4,365",45,"13,272",97,3.04
4,SESAR,Galaxy Tab S10,Influencer_4,"473,646",4.27,"5,882",18,"7,537",326.78,1.28
4,SESAR,Galaxy Buds3,Influencer_4,"751,380",4.02,"8,395",40,"13,929",209.88,1.66
4,SESAR,Galaxy Watch6,Influencer_21,"465,978",4.27,"3,060",15,"4,776",204,1.56
4,SETK,Galaxy Z Fold8,Influencer_7,"497,917",3.13,"3,119",19,"8,488",164.16,2.72
4,SETK,Galaxy Z Flip8,Influencer_6,"498,776",4.77,"5,955",15,"4,343",397,0.73
4,SETK,Galaxy S24,Influencer_7,"976,487",4.82,"2,123",60,"27,172",35.38,12.80
4,SETK,Galaxy Tab S10,Influencer_7,"322,115",3.08,"4,035",12,"4,002",336.25,0.99
4,SETK,Galaxy Buds3,Influencer_6,"905,804",4.78,"7,065",56,"24,635",126.16,3.49
4,SETK,Galaxy Watch6,Influencer_7,"789,795",2.65,"1,834",13,"3,060",141.08,1.67
4,SELV,Galaxy Z Fold8,Influencer_8,"892,439",5.57,"4,473",45,"20,958",99.40,4.69
4,SELV,Galaxy Z Flip8,Influencer_10,"555,446",5.94,"7,916",41,"15,353",193.07,1.94
4,SELV,Galaxy S24,Influencer_9,"830,823",5.48,"2,146",28,"10,402",76.64,4.85
4,SELV,Galaxy Tab S10,Influencer_9,"848,758",4.40,"10,126",20,"7,421",506.30,0.73
4,SELV,Galaxy Buds3,Influencer_10,"263,577",3.61,"10,353",8,"2,762","1,294.12",0.27
4,SELV,Galaxy Watch6,Influencer_9,"346,433",5.04,"2,908",24,"6,318",121.17,2.17
4,SEMAG,Galaxy Z Fold8,Influencer_22,"494,394",4.22,"5,588",25,"6,568",223.52,1.18
4,SEMAG,Galaxy Z Flip8,Influencer_22,"973,266",3.29,"5,513",29,"6,447",190.10,1.17
4,SEMAG,Galaxy S24,Influencer_22,"676,133",4.31,"3,320",20,"4,616",166,1.39
4,SEMAG,Galaxy Tab S10,Influencer_12,"430,063",5.72,"6,997",17,"4,574",411.59,0.65
4,SEMAG,Galaxy Buds3,Influencer_12,"533,396",4.60,"8,723",18,"3,849",484.61,0.44
4,SEMAG,Galaxy Watch6,Influencer_22,"509,380",4.06,"2,499",15,"3,185",166.60,1.27
4,SEEG,Galaxy Z Fold8,Influencer_14,"740,882",4.55,"5,080",42,"17,503",120.95,3.45
4,SEEG,Galaxy Z Flip8,Influencer_15,"891,609",4.34,"4,538",21,"7,466",216.10,1.65
4,SEEG,Galaxy S24,Influencer_14,"487,075",5.59,"3,331",21,"9,972",158.62,2.99
4,SEEG,Galaxy Tab S10,Influencer_13,"250,075",5.43,"8,681",13,"5,183",667.77,0.60
4,SEEG,Galaxy Buds3,Influencer_13,"379,787",3.38,"4,248",14,"6,921",303.43,1.63
4,SEEG,Galaxy Watch6,Influencer_13,"502,467",5.13,"2,194",34,"10,178",64.53,4.64
4,SEIL,Galaxy Z Fold8,Influencer_17,"824,094",4.38,"5,928",44,"12,196",134.73,2.06
4,SEIL,Galaxy Z Flip8,Influencer_18,"875,699",4.99,"4,841",39,"14,658",124.13,3.03
4,SEIL,Galaxy S24,Influencer_17,"289,870",3.82,"2,764",6,"1,253",460.67,0.45
4,SEIL,Galaxy Tab S10,Influencer_18,"971,555",3.64,"6,969",25,"8,634",278.76,1.24
4,SEIL,Galaxy Buds3,Influencer_17,"885,684",4.75,"9,977",61,"20,196",163.56,2.02
4,SEIL,Galaxy Watch6,Influencer_17,"940,842",4.51,"4,288",56,"19,516",76.57,4.55
4,SEPAK,Galaxy Z Fold8,Influencer_20,"376,394",5.74,"2,271",18,"6,158",126.17,2.71
4,SEPAK,Galaxy Z Flip8,Influencer_20,"765,163",5,"5,683",44,"18,746",129.16,3.30
4,SEPAK,Galaxy S24,Influencer_20,"371,252",3.90,"1,472",20,"8,059",73.60,5.47
4,SEPAK,Galaxy Tab S10,Influencer_20,"778,469",4.58,"7,968",32,"12,086",249,1.52
4,SEPAK,Galaxy Buds3,Influencer_23,"948,851",3.99,"7,376",47,"12,843",156.94,1.74
4,SEPAK,Galaxy Watch6,Influencer_19,"571,754",2.53,"2,611",14,"3,155",186.50,1.21
5,SGE,Galaxy Z Fold8,Influencer_3,"558,760",4,"4,536",27,"8,918",168,1.97
5,SGE,Galaxy Z Flip8,Influencer_1,"200,561",2.68,"7,848",4,"1,142","1,962",0.15
5,SGE,Galaxy S24,Influencer_2,"583,791",4.07,"5,103",14,"4,631",364.50,0.91
5,SGE,Galaxy Tab S10,Influencer_2,"254,022",4.75,"4,345",17,"4,470",255.59,1.03
5,SGE,Galaxy Buds3,Influencer_1,"384,665",3.16,"8,070",17,"4,320",474.71,0.54
5,SGE,Galaxy Watch6,Influencer_3,"329,054",2.57,"1,934",5,"1,445",386.80,0.75
5,SESAR,Galaxy Z Fold8,Influencer_4,"353,709",3.62,"3,099",12,"5,268",258.25,1.70
5,SESAR,Galaxy Z Flip8,Influencer_21,"509,012",4.11,"7,381",28,"13,763",263.61,1.86
5,SESAR,Galaxy S24,Influencer_4,"470,589",5.72,"3,555",21,"5,632",169.29,1.58
5,SESAR,Galaxy Tab S10,Influencer_5,"208,890",5.93,"6,867",9,"2,874",763,0.42
5,SESAR,Galaxy Buds3,Influencer_4,"721,690",2.84,"3,122",13,"5,994",240.15,1.92
5,SESAR,Galaxy Watch6,Influencer_5,"594,077",3.05,"3,135",24,"6,405",130.62,2.04
5,SETK,Galaxy Z Fold8,Influencer_6,"750,269",3.25,"2,433",16,"3,457",152.06,1.42
5,SETK,Galaxy Z Flip8,Influencer_6,"419,952",5.83,"6,103",26,"5,312",234.73,0.87
5,SETK,Galaxy S24,Influencer_24,"599,591",2.90,"3,251",25,"7,629",130.04,2.35
5,SETK,Galaxy Tab S10,Influencer_6,"779,763",3.06,"4,018",16,"3,647",251.12,0.91
5,SETK,Galaxy Buds3,Influencer_6,"528,817",4.72,"6,357",32,"8,126",198.66,1.28
5,SETK,Galaxy Watch6,Influencer_7,"811,999",5.28,"3,710",34,"14,899",109.12,4.02
5,SELV,Galaxy Z Fold8,Influencer_8,"903,956",2.76,"4,561",22,"9,390",207.32,2.06
5,SELV,Galaxy Z Flip8,Influencer_9,"434,896",2.67,"2,544",7,"3,486",363.43,1.37
5,SELV,Galaxy S24,Influencer_9,"891,515",4.76,"2,577",50,"11,127",51.54,4.32
5,SELV,Galaxy Tab S10,Influencer_8,"651,777",4.28,"2,833",26,"8,084",108.96,2.85
5,SELV,Galaxy Buds3,Influencer_9,"396,444",3.66,"7,400",9,"1,834",822.22,0.25
5,SELV,Galaxy Watch6,Influencer_9,"574,545",4.24,"2,750",26,"10,627",105.77,3.86
5,SEMAG,Galaxy Z Fold8,Influencer_12,"821,880",2.93,"2,975",19,"6,252",156.58,2.10
5,SEMAG,Galaxy Z Flip8,Influencer_12,"300,707",2.99,"4,220",10,"3,511",422,0.83
5,SEMAG,Galaxy S24,Influencer_12,"343,028",3.28,"3,626",12,"2,957",302.17,0.82
5,SEMAG,Galaxy Tab S10,Influencer_22,"497,189",4.10,"4,859",18,"6,734",269.94,1.39
5,SEMAG,Galaxy Buds3,Influencer_22,"897,576",2.87,"7,279",25,"10,699",291.16,1.47
5,SEMAG,Galaxy Watch6,Influencer_11,"963,660",4.75,"3,002",31,"8,129",96.84,2.71
5,SEEG,Galaxy Z Fold8,Influencer_13,"545,620",5.73,"3,795",44,"9,622",86.25,2.54
5,SEEG,Galaxy Z Flip8,Influencer_14,"449,739",3.31,"5,278",7,"2,267",754,0.43
5,SEEG,Galaxy S24,Influencer_14,"746,302",3.31,"4,084",26,"6,157",157.08,1.51
5,SEEG,Galaxy Tab S10,Influencer_14,"780,170",3.86,"6,012",43,"12,307",139.81,2.05
5,SEEG,Galaxy Buds3,Influencer_14,"661,834",3.13,"8,346",26,"7,224",321,0.87
5,SEEG,Galaxy Watch6,Influencer_14,"505,002",5.76,"3,528",15,"5,740",235.20,1.63
5,SEIL,Galaxy Z Fold8,Influencer_17,"885,066",4.19,"2,565",35,"11,397",73.29,4.44
5,SEIL,Galaxy Z Flip8,Influencer_18,"277,335",5.09,"4,650",20,"9,464",232.50,2.04
5,SEIL,Galaxy S24,Influencer_17,"660,237",3.28,"2,302",17,"8,080",135.41,3.51
5,SEIL,Galaxy Tab S10,Influencer_16,"921,354",3.60,"2,609",30,"14,391",86.97,5.52
5,SEIL,Galaxy Buds3,Influencer_18,"317,825",5.87,"9,643",23,"7,495",419.26,0.78
5,SEIL,Galaxy Watch6,Influencer_16,"222,143",5.31,"1,962",15,"4,499",130.80,2.29
5,SEPAK,Galaxy Z Fold8,Influencer_23,"300,198",5.08,"3,796",13,"5,842",292,1.54
5,SEPAK,Galaxy Z Flip8,Influencer_20,"958,154",5.44,"5,538",38,"16,348",145.74,2.95
5,SEPAK,Galaxy S24,Influencer_20,"589,684",4.47,"1,743",16,"5,711",108.94,3.28
5,SEPAK,Galaxy Tab S10,Influencer_23,"966,150",3.26,"2,676",24,"5,536",111.50,2.07
5,SEPAK,Galaxy Buds3,Influencer_20,"663,100",4.22,"7,569",21,"4,957",360.43,0.65
5,SEPAK,Galaxy Watch6,Influencer_20,"360,633",4.97,"1,779",24,"5,747",74.12,3.23
6,SGE,Galaxy Z Fold8,Influencer_1,"321,909",5.71,"2,584",22,"5,625",117.45,2.18
6,SGE,Galaxy Z Flip8,Influencer_3,"816,972",5.65,"3,242",55,"21,386",58.95,6.60
6,SGE,Galaxy S24,Influencer_2,"367,069",3.71,"3,942",14,"4,454",281.57,1.13
6,SGE,Galaxy Tab S10,Influencer_3,"621,216",3.98,"2,972",19,"5,274",156.42,1.77
6,SGE,Galaxy Buds3,Influencer_3,"680,687",2.64,"4,893",15,"3,660",326.20,0.75
6,SGE,Galaxy Watch6,Influencer_2,"359,151",4.12,"5,222",14,"5,035",373,0.96
6,SESAR,Galaxy Z Fold8,Influencer_21,"619,487",3.51,"3,681",28,"12,008",131.46,3.26
6,SESAR,Galaxy Z Flip8,Influencer_5,"950,755",4.38,"4,431",53,"20,888",83.60,4.71
6,SESAR,Galaxy S24,Influencer_21,"229,365",5.48,"3,888",10,"3,752",388.80,0.97
6,SESAR,Galaxy Tab S10,Influencer_4,"490,955",2.82,"3,417",17,"8,079",201,2.36
6,SESAR,Galaxy Buds3,Influencer_21,"402,999",5.23,"6,936",15,"4,382",462.40,0.63
6,SESAR,Galaxy Watch6,Influencer_21,"891,450",3.87,"4,393",34,"9,657",129.21,2.20
6,SETK,Galaxy Z Fold8,Influencer_24,"270,369",5.07,"3,624",8,"2,939",453,0.81
6,SETK,Galaxy Z Flip8,Influencer_7,"572,605",2.60,"3,135",9,"4,359",348.33,1.39
6,SETK,Galaxy S24,Influencer_7,"383,120",5.78,"2,014",27,"11,963",74.59,5.94
6,SETK,Galaxy Tab S10,Influencer_6,"900,822",4.57,"5,154",44,"20,463",117.14,3.97
6,SETK,Galaxy Buds3,Influencer_6,"735,722",3.18,"7,039",27,"11,684",260.70,1.66
6,SETK,Galaxy Watch6,Influencer_24,"814,391",5.81,"2,014",33,"8,009",61.03,3.98
6,SELV,Galaxy Z Fold8,Influencer_8,"836,108",5.43,"3,342",50,"23,055",66.84,6.90
6,SELV,Galaxy Z Flip8,Influencer_9,"870,513",3.92,"4,450",34,"8,699",130.88,1.95
6,SELV,Galaxy S24,Influencer_8,"803,410",5.61,"3,393",56,"23,073",60.59,6.80
6,SELV,Galaxy Tab S10,Influencer_10,"207,104",5.90,"2,831",14,"4,305",202.21,1.52
6,SELV,Galaxy Buds3,Influencer_8,"592,343",4.51,"5,453",32,"14,844",170.41,2.72
6,SELV,Galaxy Watch6,Influencer_10,"917,280",4.95,"4,026",60,"15,385",67.10,3.82
6,SEMAG,Galaxy Z Fold8,Influencer_12,"398,701",5.36,"2,974",16,"3,250",185.88,1.09
6,SEMAG,Galaxy Z Flip8,Influencer_22,"857,681",3.18,"3,565",33,"6,850",108.03,1.92
6,SEMAG,Galaxy S24,Influencer_11,"570,085",3.23,"2,687",16,"5,205",167.94,1.94
6,SEMAG,Galaxy Tab S10,Influencer_12,"412,868",5.10,"3,024",17,"3,736",177.88,1.24
6,SEMAG,Galaxy Buds3,Influencer_12,"401,350",4.30,"4,629",24,"4,968",192.88,1.07
6,SEMAG,Galaxy Watch6,Influencer_22,"811,062",4.69,"2,878",43,"12,868",66.93,4.47
6,SEEG,Galaxy Z Fold8,Influencer_14,"980,422",4.86,"2,523",51,"24,219",49.47,9.60
6,SEEG,Galaxy Z Flip8,Influencer_13,"262,663",3.74,"1,740",5,"1,484",348,0.85
6,SEEG,Galaxy S24,Influencer_14,"489,627",4.99,"2,691",32,"6,966",84.09,2.59
6,SEEG,Galaxy Tab S10,Influencer_13,"997,475",2.62,"3,588",21,"8,965",170.86,2.50
6,SEEG,Galaxy Buds3,Influencer_14,"616,474",3.24,"4,989",10,"3,883",498.90,0.78
6,SEEG,Galaxy Watch6,Influencer_14,"518,186",4.06,"4,035",22,"5,452",183.41,1.35
6,SEIL,Galaxy Z Fold8,Influencer_18,"950,328",5.47,"1,777",40,"9,060",44.42,5.10
6,SEIL,Galaxy Z Flip8,Influencer_17,"748,532",4.80,"3,263",25,"7,633",130.52,2.34
6,SEIL,Galaxy S24,Influencer_18,"697,939",3.38,"1,970",13,"5,424",151.54,2.75
6,SEIL,Galaxy Tab S10,Influencer_16,"650,859",2.57,"5,750",23,"7,141",250,1.24
6,SEIL,Galaxy Buds3,Influencer_16,"372,734",3.36,"7,221",11,"4,264",656.45,0.59
6,SEIL,Galaxy Watch6,Influencer_17,"401,165",5.39,"3,801",25,"7,088",152.04,1.86
6,SEPAK,Galaxy Z Fold8,Influencer_20,"761,221",3.44,"3,768",15,"6,343",251.20,1.68
6,SEPAK,Galaxy Z Flip8,Influencer_23,"723,273",4.28,"2,470",41,"15,660",60.24,6.34
6,SEPAK,Galaxy S24,Influencer_23,"443,076",5.55,"3,234",13,"5,153",248.77,1.59
6,SEPAK,Galaxy Tab S10,Influencer_19,"834,930",4.52,"5,916",47,"19,998",125.87,3.38
