metric_a,metric_b,correlation,n_observations,note
share_of_voice,sessions,0.16,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,spend_aed,0.81,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,sales_aed,0.84,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,conversions,0.88,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,aov_aed,0.02,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,cpa_aed,-0.34,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,brand_awareness,-0.22,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,purchase_intent,-0.11,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,sentiment,0.01,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,share_of_voice,0.16,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sessions,sessions,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
