week,market,brand_awareness,brand_awareness_sd,purchase_intent,purchase_intent_sd,competitor_sov,sentiment,sentiment_sd,n_observations,is_indicative,intent_to_awareness
7,SEPAK,63.04,12.03,51.26,10.30,8.86,0.84,0.06,36,True,0.81
7,SESAR,65.96,12.35,50.62,10.13,9.53,0.84,0.06,36,True,0.77
7,SETK,63.78,10.97,49.49,10.53,9.44,0.85,0.06,36,True,0.78
7,SGE,62.05,10.99,49.91,11.44,9.87,0.86,0.07,36,True,0.80
8,SEEG,64.07,10.99,53.49,10.95,8.59,0.85,0.06,42,True,0.83
8,SEIL,64.48,10.21,51.31,10.62,9.01,0.85,0.06,42,True,0.80
8,SELV,64.88,10.49,52.69,10.69,9.05,0.86,0.06,42,True,0.81
8,SEMAG,62.55,9.77,52.59,11.13,9.12,0.86,0.06,42,True,0.84
8,SEPAK,65.56,9.76,50.69,9.31,8.99,0.86,0.06,42,True,0.77
8,SESAR,63.83,10.82,52.47,9.84,9.32,0.85,0.07,42,True,0.82
8,SETK,63.38,10.89,52.78,12.44,8.49,0.86,0.06,42,True,0.83
8,SGE,65.76,9.91,52.46,9.32,8.37,0.85,0.06,42,True,0.80
