week,market,product,spend_aed,conversions,sales_aed,impressions,channels_active,roas,aov_aed,cpa_aed
1,SEMAG,Galaxy Z Flip8,"4,676",81,"31,642","85,972",3,6.77,390.64,57.73
1,SEMAG,Galaxy Z Fold8,"93,929","3,405","977,485","1,042,775",6,10.41,287.07,27.59
1,SEPAK,Galaxy Buds3,"2,191",55,"20,104","89,783",1,9.18,365.53,39.84
1,SEPAK,Galaxy S24,"88,140","1,696","591,586","699,633",6,6.71,348.81,51.97
1,SEPAK,Galaxy Tab S10,"2,593",75,"26,083","119,366",1,10.06,347.77,34.57
1,SEPAK,Galaxy Watch6,"93,262","2,261","746,744","955,653",6,8.01,330.27,41.25
1,SEPAK,Galaxy Z Flip8,"4,019",133,"36,839","84,295",3,9.17,276.98,30.22
1,SEPAK,Galaxy Z Fold8,"96,366","3,797","968,932","970,028",6,10.05,255.18,25.38
1,SESAR,Galaxy Buds3,"2,963",137,"53,985","87,154",1,18.22,394.05,21.63
1,SESAR,Galaxy S24,"110,248","2,778","822,206","909,336",6,7.46,295.97,39.69
1,SESAR,Galaxy Tab S10,"3,558",67,"14,229","142,688",1,4.00,212.37,53.10
1,SESAR,Galaxy Watch6,"96,494","2,216","955,695","1,302,484",6,9.90,431.27,43.54
1,SESAR,Galaxy Z Flip8,"6,041",105,"23,264","81,447",3,3.85,221.56,57.53
1,SESAR,Galaxy Z Fold8,"111,719","2,217","702,748","1,649,652",6,6.29,316.98,50.39
1,SETK,Galaxy Buds3,"3,480",67,"25,982","105,220",1,7.47,387.79,51.94
1,SETK,Galaxy S24,"85,354","4,125","1,656,974","1,275,079",6,19.41,401.69,20.69
1,SETK,Galaxy Tab S10,"4,345",139,"23,767","139,007",1,5.47,170.99,31.26
1,SETK,Galaxy Watch6,"77,587","3,402","1,259,746","1,389,502",6,16.24,370.30,22.81
1,SETK,Galaxy Z Flip8,"3,176",123,"31,887","122,622",3,10.04,259.24,25.82
1,SETK,Galaxy Z Fold8,"130,424","4,157","1,264,609","1,772,566",6,9.70,304.21,31.37
1,SGE,Galaxy Buds3,"2,515",71,"19,276","108,034",1,7.66,271.49,35.42
1,SGE,Galaxy S24,"92,711","3,888","1,165,923","1,330,397",6,12.58,299.88,23.85
1,SGE,Galaxy Tab S10,"2,073",174,"47,354","169,674",1,22.84,272.15,11.91
1,SGE,Galaxy Watch6,"97,513","3,178","1,135,458","1,450,715",6,11.64,357.29,30.68
1,SGE,Galaxy Z Flip8,"4,675",124,"38,926","100,960",3,8.33,313.92,37.70
1,SGE,Galaxy Z Fold8,"117,606","2,692","864,622","1,885,588",6,7.35,321.18,43.69
2,SEEG,Galaxy Buds3,"3,352",185,"63,400","117,187",1,18.91,342.70,18.12
2,SEEG,Galaxy S24,"76,453","2,354","796,167","983,449",7,10.41,338.22,32.48
2,SEEG,Galaxy Tab S10,"4,555",112,"34,224","72,633",3,7.51,305.57,40.67
2,SEEG,Galaxy Watch6,"61,030","2,106","703,741","958,291",7,11.53,334.16,28.98
2,SEEG,Galaxy Z Flip8,"101,724","2,985","1,234,810","1,524,345",6,12.14,413.67,34.08
2,SEEG,Galaxy Z Fold8,"79,561","2,328","901,784","1,118,249",7,11.33,387.36,34.18
2,SEIL,Galaxy Buds3,"1,933",70,"21,146","132,206",1,10.94,302.09,27.61
2,SEIL,Galaxy S24,"67,233","1,998","589,123","1,016,943",7,8.76,294.86,33.65
2,SEIL,Galaxy Tab S10,"5,549",132,"31,583","127,803",3,5.69,239.27,42.04
2,SEIL,Galaxy Watch6,"73,885","3,639","1,287,138","1,210,796",7,17.42,353.71,20.30
2,SEIL,Galaxy Z Flip8,"138,344","3,410","1,325,223","1,453,777",6,9.58,388.63,40.57
2,SEIL,Galaxy Z Fold8,"105,099","2,703","894,718","1,188,292",7,8.51,331.01,38.88
2,SELV,Galaxy Buds3,"2,614",172,"35,988","120,482",1,13.77,209.23,15.20
2,SELV,Galaxy S24,"79,088","2,131","776,760","979,370",7,9.82,364.50,37.11
2,SELV,Galaxy Tab S10,"5,589",181,"61,335","97,051",3,10.97,338.87,30.88
2,SELV,Galaxy Watch6,"86,303","2,341","936,644","893,807",7,10.85,400.10,36.87
2,SELV,Galaxy Z Flip8,"100,827","4,006","1,256,579","1,742,482",6,12.46,313.67,25.17
2,SELV,Galaxy Z Fold8,"127,773","2,747","1,217,240","1,481,144",7,9.53,443.12,46.51
2,SEMAG,Galaxy Buds3,"2,874",70,"26,527","107,581",1,9.23,378.96,41.06
2,SEMAG,Galaxy S24,"56,497","1,427","599,487","761,346",7,10.61,420.10,39.59
2,SEMAG,Galaxy Tab S10,"4,587",100,"17,766","105,698",3,3.87,177.66,45.87
2,SEMAG,Galaxy Watch6,"74,113","1,394","583,685","672,798",7,7.88,418.71,53.17
2,SEMAG,Galaxy Z Flip8,"117,842","3,676","1,145,195","1,308,189",6,9.72,311.53,32.06
2,SEMAG,Galaxy Z Fold8,"91,139","1,792","672,176","828,794",7,7.38,375.10,50.86
2,SEPAK,Galaxy Buds3,"2,152",108,"37,237","95,794",1,17.30,344.79,19.93
2,SEPAK,Galaxy S24,"57,628","1,663","541,044","778,269",7,9.39,325.34,34.65
2,SEPAK,Galaxy Tab S10,"4,199",119,"33,632","70,727",3,8.01,282.62,35.29
2,SEPAK,Galaxy Watch6,"51,006","2,209","775,024","813,951",7,15.19,350.85,23.09
2,SEPAK,Galaxy Z Flip8,"115,406","1,976","660,821","1,200,656",6,5.73,334.42,58.40
2,SEPAK,Galaxy Z Fold8,"85,949","2,811","870,204","1,171,679",7,10.12,309.57,30.58
2,SESAR,Galaxy Buds3,"2,894",118,"40,007","85,014",1,13.82,339.04,24.53
2,SESAR,Galaxy S24,"72,420","2,041","700,865","803,801",7,9.68,343.39,35.48
2,SESAR,Galaxy Tab S10,"3,005",184,"41,983","80,014",3,13.97,228.17,16.33
2,SESAR,Galaxy Watch6,"86,664","1,879","646,362","824,768",7,7.46,343.99,46.12
2,SESAR,Galaxy Z Flip8,"92,863","5,577","1,569,264","2,028,077",6,16.90,281.38,16.65
2,SESAR,Galaxy Z Fold8,"104,325","2,470","867,753","1,499,614",7,8.32,351.32,42.24
2,SETK,Galaxy Buds3,"3,394",65,"9,834","126,510",1,2.90,151.29,52.22
2,SETK,Galaxy S24,"80,194","2,675","1,061,676","902,347",7,13.24,396.89,29.98
2,SETK,Galaxy Tab S10,"3,137",91,"30,725","78,547",3,9.79,337.64,34.47
2,SETK,Galaxy Watch6,"76,474","2,057","609,431","857,172",7,7.97,296.27,37.18
2,SETK,Galaxy Z Flip8,"96,178","3,111","749,927","1,097,180",6,7.80,241.06,30.92
2,SETK,Galaxy Z Fold8,"83,020","2,960","1,182,702","1,089,333",7,14.25,399.56,28.05
2,SGE,Galaxy Buds3,"3,870",63,"25,052","132,871",1,6.47,397.65,61.43
2,SGE,Galaxy S24,"87,511","3,156","1,197,763","1,116,539",7,13.69,379.52,27.73
2,SGE,Galaxy Tab S10,"4,697",74,"21,235","103,854",3,4.52,286.96,63.47
2,SGE,Galaxy Watch6,"102,467","3,469","1,188,558","1,334,406",7,11.60,342.62,29.54
2,SGE,Galaxy Z Flip8,"119,785","6,044","2,260,053","2,125,642",6,18.87,373.93,19.82
2,SGE,Galaxy Z Fold8,"115,227","4,374","1,720,529","1,407,046",7,14.93,393.35,26.34
3,SEEG,Galaxy Buds3,"3,846",70,"18,851","67,559",3,4.90,269.30,54.94
3,SEEG,Galaxy S24,"78,338","2,225","753,148","781,910",7,9.61,338.49,35.21
3,SEEG,Galaxy Tab S10,"124,830","2,641","1,032,392","1,150,674",7,8.27,390.91,47.27
3,SEEG,Galaxy Watch6,"90,113","1,619","565,511","747,626",7,6.28,349.30,55.66
3,SEEG,Galaxy Z Flip8,"102,029","3,541","1,233,214","1,145,198",7,12.09,348.27,28.81
3,SEEG,Galaxy Z Fold8,"76,398","2,107","577,604","973,027",7,7.56,274.14,36.26
3,SEIL,Galaxy Buds3,"2,680",91,"26,241","132,740",3,9.79,288.36,29.45
3,SEIL,Galaxy S24,"73,513","1,503","522,472","817,880",7,7.11,347.62,48.91
3,SEIL,Galaxy Tab S10,"132,245","3,848","1,250,952","2,018,666",7,9.46,325.09,34.37
3,SEIL,Galaxy Watch6,"81,690","2,465","901,551","966,783",7,11.04,365.74,33.14
3,SEIL,Galaxy Z Flip8,"112,604","3,447","1,360,494","1,529,773",7,12.08,394.69,32.67
3,SEIL,Galaxy Z Fold8,"66,563","2,986","913,203","828,104",7,13.72,305.83,22.29
3,SELV,Galaxy Buds3,"5,605",135,"45,547","86,870",3,8.13,337.39,41.52
3,SELV,Galaxy S24,"87,363","3,544","1,169,200","1,357,093",7,13.38,329.91,24.65
3,SELV,Galaxy Tab S10,"123,113","3,442","1,487,925","1,608,127",7,12.09,432.29,35.77
3,SELV,Galaxy Watch6,"70,525","2,093","682,828","1,339,510",7,9.68,326.24,33.70
3,SELV,Galaxy Z Flip8,"104,865","3,690","1,096,568","1,401,553",7,10.46,297.17,28.42
3,SELV,Galaxy Z Fold8,"91,002","2,714","901,819","1,267,842",7,9.91,332.28,33.53
3,SEMAG,Galaxy Buds3,"3,157",141,"46,525","107,419",3,14.74,329.96,22.39
3,SEMAG,Galaxy S24,"72,476","2,497","812,256","758,402",7,11.21,325.29,29.03
3,SEMAG,Galaxy Tab S10,"89,745","2,800","797,213","1,201,291",7,8.88,284.72,32.05
3,SEMAG,Galaxy Watch6,"75,168","1,571","583,853","663,917",7,7.77,371.64,47.85
3,SEMAG,Galaxy Z Flip8,"78,428","2,778","865,445","1,140,775",7,11.03,311.54,28.23
3,SEMAG,Galaxy Z Fold8,"59,473","1,721","492,584","724,390",7,8.28,286.22,34.56
3,SEPAK,Galaxy Buds3,"2,491",99,"30,331","70,145",3,12.18,306.37,25.16
3,SEPAK,Galaxy S24,"63,443","1,548","522,914","719,501",7,8.24,337.80,40.98
3,SEPAK,Galaxy Tab S10,"111,597","4,061","1,378,984","1,415,956",7,12.36,339.57,27.48
3,SEPAK,Galaxy Watch6,"65,019","1,951","641,723","867,286",7,9.87,328.92,33.33
3,SEPAK,Galaxy Z Flip8,"78,163","2,231","829,691","1,205,208",7,10.61,371.89,35.03
3,SEPAK,Galaxy Z Fold8,"56,813","1,847","468,892","638,528",7,8.25,253.87,30.76
3,SESAR,Galaxy Buds3,"4,381",125,"42,564","118,639",3,9.72,340.51,35.05
3,SESAR,Galaxy S24,"74,589","3,403","1,235,149","899,134",7,16.56,362.96,21.92
3,SESAR,Galaxy Tab S10,"140,983","2,531","804,267","1,507,081",7,5.70,317.77,55.70
3,SESAR,Galaxy Watch6,"73,918","2,223","921,789","902,461",7,12.47,414.66,33.25
3,SESAR,Galaxy Z Flip8,"128,188","3,151","800,094","1,084,780",7,6.24,253.92,40.68
3,SESAR,Galaxy Z Fold8,"81,690","1,860","625,626","931,398",7,7.66,336.36,43.92
3,SETK,Galaxy Buds3,"3,703",129,"34,974","132,167",3,9.44,271.12,28.71
3,SETK,Galaxy S24,"65,520","2,070","725,943","1,003,261",7,11.08,350.70,31.65
3,SETK,Galaxy Tab S10,"98,280","3,686","1,346,327","1,463,750",7,13.70,365.25,26.66
3,SETK,Galaxy Watch6,"59,977","1,634","601,870","957,197",7,10.04,368.34,36.71
3,SETK,Galaxy Z Flip8,"94,072","3,057","1,172,168","1,285,523",7,12.46,383.44,30.77
3,SETK,Galaxy Z Fold8,"72,842","2,548","839,294","875,177",7,11.52,329.39,28.59
3,SGE,Galaxy Buds3,"4,217",147,"47,460","124,615",3,11.25,322.86,28.69
3,SGE,Galaxy S24,"88,190","2,590","994,948","1,103,640",7,11.28,384.15,34.05
3,SGE,Galaxy Tab S10,"139,200","4,647","1,895,181","2,374,093",7,13.61,407.83,29.95
3,SGE,Galaxy Watch6,"91,914","4,020","1,245,381","1,089,636",7,13.55,309.80,22.86
3,SGE,Galaxy Z Flip8,"148,044","2,979","1,102,518","1,687,391",7,7.45,370.10,49.70
3,SGE,Galaxy Z Fold8,"91,989","2,779","1,011,330","1,337,773",7,10.99,363.92,33.10
4,SEEG,Galaxy Buds3,"101,479","2,176","859,529","1,665,125",6,8.47,395.00,46.64
4,SEEG,Galaxy S24,"57,499","1,303","428,578","594,097",7,7.45,328.92,44.13
4,SEEG,Galaxy Tab S10,"97,211","2,170","848,144","1,036,494",7,8.72,390.85,44.80
4,SEEG,Galaxy Watch6,"44,776","1,160","349,950","584,454",7,7.82,301.68,38.60
4,SEEG,Galaxy Z Flip8,"56,529","1,881","700,474","865,025",7,12.39,372.39,30.05
4,SEEG,Galaxy Z Fold8,"73,850","1,975","669,073","868,898",7,9.06,338.77,37.39
4,SEIL,Galaxy Buds3,"133,464","4,656","1,575,336","1,613,712",6,11.80,338.35,28.66
4,SEIL,Galaxy S24,"45,850","1,400","524,930","692,148",7,11.45,374.95,32.75
4,SEIL,Galaxy Tab S10,"135,472","3,575","1,363,715","1,307,154",7,10.07,381.46,37.89
4,SEIL,Galaxy Watch6,"54,829","1,773","763,833","520,333",7,13.93,430.81,30.92
4,SEIL,Galaxy Z Flip8,"98,684","2,271","918,290","1,149,760",7,9.31,404.35,43.45
4,SEIL,Galaxy Z Fold8,"76,451","2,050","771,086","862,736",7,10.09,376.14,37.29
4,SELV,Galaxy Buds3,"143,897","4,524","1,509,250","2,188,422",6,10.49,333.61,31.81
4,SELV,Galaxy S24,"62,777","1,491","430,161","593,121",7,6.85,288.51,42.10
4,SELV,Galaxy Tab S10,"134,085","3,503","1,163,824","1,391,743",7,8.68,332.24,38.28
4,SELV,Galaxy Watch6,"53,749","1,341","514,775","656,823",7,9.58,383.87,40.08
4,SELV,Galaxy Z Flip8,"91,131","2,464","792,456","766,165",7,8.70,321.61,36.98
4,SELV,Galaxy Z Fold8,"83,388","3,075","1,228,735","990,046",7,14.74,399.59,27.12
4,SEMAG,Galaxy Buds3,"109,173","5,138","1,747,792","1,620,465",6,16.01,340.17,21.25
4,SEMAG,Galaxy S24,"48,089","1,388","405,360","497,982",7,8.43,292.05,34.65
4,SEMAG,Galaxy Tab S10,"101,512","2,168","536,201","1,120,557",7,5.28,247.33,46.82
4,SEMAG,Galaxy Watch6,"48,016","1,173","376,240","603,331",7,7.84,320.75,40.93
4,SEMAG,Galaxy Z Flip8,"52,383","1,719","538,564","932,524",7,10.28,313.30,30.47
4,SEMAG,Galaxy Z Fold8,"80,196","2,364","687,013","978,659",7,8.57,290.61,33.92
4,SEPAK,Galaxy Buds3,"116,588","3,469","1,237,429","1,145,998",6,10.61,356.71,33.61
4,SEPAK,Galaxy S24,"47,164","1,345","413,796","478,003",7,8.77,307.66,35.07
4,SEPAK,Galaxy Tab S10,"84,841","2,281","747,752","923,743",7,8.81,327.82,37.19
4,SEPAK,Galaxy Watch6,"48,425","1,239","377,783","427,667",7,7.80,304.91,39.08
4,SEPAK,Galaxy Z Flip8,"56,499","1,793","758,704","832,681",7,13.43,423.15,31.51
4,SEPAK,Galaxy Z Fold8,"60,243","1,974","729,774","867,361",7,12.11,369.69,30.52
4,SESAR,Galaxy Buds3,"108,827","4,293","1,436,564","1,600,849",6,13.20,334.63,25.35
4,SESAR,Galaxy S24,"46,468","2,054","728,945","668,658",7,15.69,354.89,22.62
4,SESAR,Galaxy Tab S10,"91,914","3,435","974,826","1,402,464",7,10.61,283.79,26.76
4,SESAR,Galaxy Watch6,"53,412","1,476","401,565","504,477",7,7.52,272.06,36.19
4,SESAR,Galaxy Z Flip8,"52,921","2,896","1,029,509","1,043,887",7,19.45,355.49,18.27
4,SESAR,Galaxy Z Fold8,"83,678","2,053","644,499","984,678",7,7.70,313.93,40.76
4,SETK,Galaxy Buds3,"127,737","3,560","1,381,252","1,394,172",6,10.81,387.99,35.88
4,SETK,Galaxy S24,"52,735",888,"355,792","460,117",7,6.75,400.67,59.39
4,SETK,Galaxy Tab S10,"98,926","3,811","1,563,013","1,458,525",7,15.80,410.13,25.96
4,SETK,Galaxy Watch6,"52,170","1,475","408,282","577,582",7,7.83,276.80,35.37
4,SETK,Galaxy Z Flip8,"97,076","2,012","690,734","971,492",7,7.12,343.31,48.25
4,SETK,Galaxy Z Fold8,"60,415","1,845","596,218","961,358",7,9.87,323.15,32.75
4,SGE,Galaxy Buds3,"136,762","4,850","1,468,372","2,023,393",6,10.74,302.76,28.20
4,SGE,Galaxy S24,"53,209","1,561","516,507","603,852",7,9.71,330.88,34.09
4,SGE,Galaxy Tab S10,"131,065","4,085","1,211,640","1,245,168",7,9.24,296.61,32.08
4,SGE,Galaxy Watch6,"55,630","1,675","572,065","574,015",7,10.28,341.53,33.21
4,SGE,Galaxy Z Flip8,"92,749","2,190","595,156","981,759",7,6.42,271.76,42.35
4,SGE,Galaxy Z Fold8,"84,383","2,840","1,025,355","1,253,999",7,12.15,361.04,29.71
5,SEEG,Galaxy Buds3,"78,950","2,524","763,228","1,011,085",6,9.67,302.39,31.28
5,SEEG,Galaxy S24,"54,115","1,118","331,527","486,889",6,6.13,296.54,48.40
5,SEEG,Galaxy Tab S10,"70,877","1,950","791,994","853,261",6,11.17,406.15,36.35
5,SEEG,Galaxy Watch6,"50,543","1,529","580,636","537,170",6,11.49,379.75,33.06
5,SEEG,Galaxy Z Flip8,"57,423","1,544","424,838","850,021",6,7.40,275.15,37.19
5,SEEG,Galaxy Z Fold8,"39,174","1,496","481,474","405,172",6,12.29,321.84,26.19
5,SEIL,Galaxy Buds3,"110,991","3,591","1,440,788","1,205,422",6,12.98,401.22,30.91
5,SEIL,Galaxy S24,"47,362","1,844","546,636","633,143",6,11.54,296.44,25.68
5,SEIL,Galaxy Tab S10,"57,980","2,379","841,049","866,959",6,14.51,353.53,24.37
5,SEIL,Galaxy Watch6,"48,499","1,647","552,712","775,161",6,11.40,335.59,29.45
5,SEIL,Galaxy Z Flip8,"58,974","2,418","585,807","830,700",6,9.93,242.27,24.39
5,SEIL,Galaxy Z Fold8,"52,898","1,272","431,249","631,849",6,8.15,339.03,41.59
5,SELV,Galaxy Buds3,"97,208","2,798","726,288","1,218,106",6,7.47,259.57,34.74
5,SELV,Galaxy S24,"56,474","2,631","1,024,235","729,518",6,18.14,389.29,21.46
5,SELV,Galaxy Tab S10,"75,575","2,014","670,993","788,122",6,8.88,333.16,37.52
5,SELV,Galaxy Watch6,"65,197","1,627","546,958","718,870",6,8.39,336.18,40.07
5,SELV,Galaxy Z Flip8,"74,616","2,284","965,070","1,037,174",6,12.93,422.54,32.67
5,SELV,Galaxy Z Fold8,"61,187","1,655","579,929","668,450",6,9.48,350.41,36.97
5,SEMAG,Galaxy Buds3,"78,611","2,718","746,403","1,010,365",6,9.49,274.61,28.92
5,SEMAG,Galaxy S24,"38,758",937,"357,458","502,363",6,9.22,381.49,41.36
5,SEMAG,Galaxy Tab S10,"75,637","1,534","639,552","786,025",6,8.46,416.92,49.31
5,SEMAG,Galaxy Watch6,"36,605","1,214","360,064","506,402",6,9.84,296.59,30.15
5,SEMAG,Galaxy Z Flip8,"72,403","1,720","617,797","846,196",6,8.53,359.18,42.09
5,SEMAG,Galaxy Z Fold8,"38,984","1,209","401,858","392,636",6,10.31,332.39,32.24
5,SEPAK,Galaxy Buds3,"80,344","2,262","932,452","939,040",6,11.61,412.22,35.52
5,SEPAK,Galaxy S24,"40,818",839,"214,564","505,457",6,5.26,255.74,48.65
5,SEPAK,Galaxy Tab S10,"63,221","1,458","673,565","762,979",6,10.65,461.98,43.36
5,SEPAK,Galaxy Watch6,"34,528","1,683","723,303","547,500",6,20.95,429.77,20.52
5,SEPAK,Galaxy Z Flip8,"60,859","2,280","675,037","915,666",6,11.09,296.07,26.69
5,SEPAK,Galaxy Z Fold8,"34,847",874,"288,344","554,273",6,8.27,329.91,39.87
5,SESAR,Galaxy Buds3,"64,928","3,487","1,420,698","1,439,252",6,21.88,407.43,18.62
5,SESAR,Galaxy S24,"35,445","2,173","700,756","624,725",6,19.77,322.48,16.31
5,SESAR,Galaxy Tab S10,"65,947","1,828","659,989","910,078",6,10.01,361.04,36.08
5,SESAR,Galaxy Watch6,"50,636","1,298","342,111","622,044",6,6.76,263.57,39.01
5,SESAR,Galaxy Z Flip8,"56,178","1,871","480,945","846,933",6,8.56,257.05,30.03
5,SESAR,Galaxy Z Fold8,"52,156","1,619","577,274","554,771",6,11.07,356.56,32.21
5,SETK,Galaxy Buds3,"80,428","2,414","934,449","1,452,872",6,11.62,387.10,33.32
5,SETK,Galaxy S24,"48,276","2,110","633,823","699,390",6,13.13,300.39,22.88
5,SETK,Galaxy Tab S10,"85,025","2,144","824,051","858,319",6,9.69,384.35,39.66
5,SETK,Galaxy Watch6,"45,844","1,723","606,221","669,361",6,13.22,351.84,26.61
5,SETK,Galaxy Z Flip8,"70,319","1,732","538,941","1,009,583",6,7.66,311.17,40.60
5,SETK,Galaxy Z Fold8,"45,952","1,450","588,857","769,669",6,12.81,406.11,31.69
5,SGE,Galaxy Buds3,"148,428","2,443","842,543","1,649,688",6,5.68,344.88,60.76
5,SGE,Galaxy S24,"47,770","1,605","576,277","707,737",6,12.06,359.05,29.76
5,SGE,Galaxy Tab S10,"72,523","2,155","624,081","1,286,780",6,8.61,289.60,33.65
5,SGE,Galaxy Watch6,"45,458","1,622","761,522","727,319",6,16.75,469.50,28.03
5,SGE,Galaxy Z Flip8,"92,138","1,988","602,979","776,665",6,6.54,303.31,46.35
5,SGE,Galaxy Z Fold8,"50,741","1,356","425,041","925,466",6,8.38,313.45,37.42
6,SEEG,Galaxy Buds3,"73,142","1,387","414,187","817,142",8,5.66,298.62,52.73
6,SEEG,Galaxy S24,"53,937","1,846","696,178","559,697",8,12.91,377.13,29.22
6,SEEG,Galaxy Tab S10,"85,227","2,607","973,583","953,464",8,11.42,373.45,32.69
6,SEEG,Galaxy Watch6,"56,745",973,"413,274","474,507",8,7.28,424.74,58.32
6,SEEG,Galaxy Z Flip8,"55,869","1,416","520,882","652,620",8,9.32,367.85,39.46
6,SEEG,Galaxy Z Fold8,"56,815","1,513","578,567","513,446",8,10.18,382.40,37.55
6,SEIL,Galaxy Buds3,"67,418","2,198","617,137","1,082,164",8,9.15,280.77,30.67
6,SEIL,Galaxy S24,"66,395","1,251","412,253","781,502",8,6.21,329.54,53.07
6,SEIL,Galaxy Tab S10,"86,385","2,993","1,175,162","1,136,632",8,13.60,392.64,28.86
6,SEIL,Galaxy Watch6,"51,193","2,053","771,543","772,509",8,15.07,375.81,24.94
6,SEIL,Galaxy Z Flip8,"65,721","1,810","522,241","747,600",8,7.95,288.53,36.31
6,SEIL,Galaxy Z Fold8,"65,714","1,773","596,736","741,061",8,9.08,336.57,37.06
6,SELV,Galaxy Buds3,"70,961","2,890","1,077,755","1,222,257",8,15.19,372.93,24.55
6,SELV,Galaxy S24,"70,686","2,095","626,134","734,375",8,8.86,298.87,33.74
6,SELV,Galaxy Tab S10,"81,837","2,307","712,229","915,170",8,8.70,308.73,35.47
6,SELV,Galaxy Watch6,"58,949","1,642","474,375","692,178",8,8.05,288.90,35.90
6,SELV,Galaxy Z Flip8,"70,555","1,566","554,538","681,255",8,7.86,354.11,45.05
6,SELV,Galaxy Z Fold8,"60,522","2,151","880,395","674,810",8,14.55,409.30,28.14
6,SEMAG,Galaxy Buds3,"63,156","1,941","669,172","875,241",8,10.60,344.76,32.54
6,SEMAG,Galaxy S24,"54,096","1,408","456,160","486,829",8,8.43,323.98,38.42
6,SEMAG,Galaxy Tab S10,"62,756","2,328","730,962","809,190",8,11.65,313.99,26.96
6,SEMAG,Galaxy Watch6,"39,534","1,134","449,975","453,653",8,11.38,396.80,34.86
6,SEMAG,Galaxy Z Flip8,"44,893","1,459","467,508","671,332",8,10.41,320.43,30.77
6,SEMAG,Galaxy Z Fold8,"47,152","1,485","452,947","550,059",8,9.61,305.01,31.75
6,SEPAK,Galaxy Buds3,"65,679","1,980","701,390","1,017,127",8,10.68,354.24,33.17
6,SEPAK,Galaxy S24,"55,247","1,204","301,875","486,141",8,5.46,250.73,45.89
6,SEPAK,Galaxy Tab S10,"66,197","1,752","588,034","791,129",8,8.88,335.64,37.78
6,SEPAK,Galaxy Watch6,"46,021","1,245","448,760","541,032",8,9.75,360.45,36.96
6,SEPAK,Galaxy Z Flip8,"48,168","1,021","433,903","572,713",8,9.01,424.98,47.18
6,SEPAK,Galaxy Z Fold8,"42,767","1,242","437,229","490,498",8,10.22,352.04,34.43
6,SESAR,Galaxy Buds3,"92,866","2,287","767,034","910,030",8,8.26,335.39,40.61
6,SESAR,Galaxy S24,"65,661","1,432","573,396","641,727",8,8.73,400.42,45.85
6,SESAR,Galaxy Tab S10,"71,108","2,180","594,082","773,078",8,8.35,272.51,32.62
6,SESAR,Galaxy Watch6,"62,837","1,877","760,449","671,938",8,12.10,405.14,33.48
6,SESAR,Galaxy Z Flip8,"55,165","2,200","683,503","806,874",8,12.39,310.68,25.07
6,SESAR,Galaxy Z Fold8,"61,672","2,278","903,304","788,144",8,14.65,396.53,27.07
6,SETK,Galaxy Buds3,"95,852","2,694","836,406","1,065,700",8,8.73,310.47,35.58
6,SETK,Galaxy S24,"52,716","1,365","576,351","510,237",8,10.93,422.24,38.62
6,SETK,Galaxy Tab S10,"93,674","2,029","634,860","662,184",8,6.78,312.89,46.17
6,SETK,Galaxy Watch6,"69,734","1,004","428,904","598,707",8,6.15,427.20,69.46
6,SETK,Galaxy Z Flip8,"38,765","1,329","434,770","474,596",8,11.22,327.14,29.17
6,SETK,Galaxy Z Fold8,"69,436","1,597","656,825","700,083",8,9.46,411.29,43.48
