week,market,channel,spend_aed,impressions,clicks,conversions,sales_aed,tv_grp,engagement_rate,sessions,pr_mentions,pr_share_of_voice,products_active,media_type,channel_role,revenue_attributed,cpm_aed,cpc_aed,ctr,cvr,cpa_aed,roas,aov_aed,cost_per_grp_aed
2,SESAR,Search,"66,784","2,086,137","33,693","4,430","1,547,796",,1.63,,,,4,paid,response,True,32.01,1.98,0.02,0.13,15.08,23.18,349.39,
2,SESAR,TV,"186,127",,,,,"2,761",,,,,4,paid,brand,False,,,,,,,,67.41
2,SESAR,Website,,,,"4,562","1,438,605",,,"385,383",,,4,earned,owned,True,,,,,,,315.35,
2,SETK,B2B Roadshow,"15,526","52,552",,155,"90,319",,6.06,,,,3,paid,brand,True,295.44,,,,100.17,5.82,582.70,
2,SETK,Influencer,"30,175",,,102,"34,526",,3.72,,,,5,paid,response,True,,,,,295.83,1.14,338.49,
2,SETK,PR,0,,,,,,,,287,39.08,5,earned,brand,False,,,,,,,,
2,SETK,Paid Social,"79,795","2,576,327","29,715","2,334","540,784",,1.16,,,,6,paid,response,True,30.97,2.69,0.01,0.08,34.19,6.78,231.70,
2,SETK,Search,"61,808","1,522,210","28,311","4,135","1,858,095",,1.84,,,,4,paid,response,True,40.60,2.18,0.02,0.15,14.95,30.06,449.36,
2,SETK,TV,"155,093",,,,,"2,042",,,,,4,paid,brand,False,,,,,,,,75.95
2,SETK,Website,,,,"4,233","1,120,571",,,"351,207",,,4,earned,owned,True,,,,,,,264.72,
2,SGE,B2B Roadshow,"21,833","57,293",,239,"102,671",,7.18,,,,3,paid,brand,True,381.08,,,,91.35,4.70,429.59,
2,SGE,Influencer,"25,753",,,113,"32,243",,3.55,,,,5,paid,response,True,,,,,227.90,1.25,285.34,
2,SGE,PR,0,,,,,,,,331,33.48,5,earned,brand,False,,,,,,,,
2,SGE,Paid Social,"110,210","3,408,998","39,500","3,563","999,055",,1.17,,,,6,paid,response,True,32.33,2.79,0.01,0.09,30.93,9.07,280.40,
2,SGE,Search,"86,456","2,754,067","48,752","6,848","3,119,880",,1.74,,,,4,paid,response,True,31.39,1.77,0.02,0.14,12.62,36.09,455.59,
2,SGE,TV,"189,305",,,,,"2,682",,,,,4,paid,brand,False,,,,,,,,70.58
2,SGE,Website,,,,"6,417","2,159,341",,,"411,563",,,4,earned,owned,True,,,,,,,336.50,
3,SEEG,Influencer,"27,239",,,151,"51,151",,4.26,,,,6,paid,response,True,,,,,180.39,1.88,338.75,
3,SEEG,PR,0,,,,,,,,234,33.58,6,earned,brand,False,,,,,,,,
3,SEEG,Paid Social,"108,688","2,609,321","28,389","2,516","764,808",,1.18,,,,6,paid,response,True,41.65,3.83,0.01,0.09,43.20,7.04,303.98,
3,SEEG,Retail,"20,112","105,891",,620,"295,452",,5.04,,,,5,paid,response,True,189.93,,,,32.44,14.69,476.54,
3,SEEG,Search,"62,540","2,150,782","41,469","4,650","1,728,707",,1.96,,,,5,paid,response,True,29.08,1.51,0.02,0.11,13.45,27.64,371.76,
3,SEEG,TV,"256,975",,,,,"2,194",,,,,5,paid,brand,False,,,,,,,,117.13
3,SEEG,Website,,,,"4,266","1,340,602",,,"312,277",,,5,earned,owned,True,,,,,,,314.25,
3,SEIL,Influencer,"38,946",,,114,"30,482",,4.54,,,,6,paid,response,True,,,,,341.63,0.78,267.39,
3,SEIL,PR,0,,,,,,,,268,25.33,6,earned,brand,False,,,,,,,,
3,SEIL,Paid Social,"107,084","3,860,661","50,302","3,069","960,729",,1.13,,,,6,paid,response,True,27.74,2.13,0.01,0.06,34.89,8.97,313.04,
3,SEIL,Retail,"21,465","171,470",,826,"342,282",,4.49,,,,5,paid,response,True,125.18,,,,25.99,15.95,414.38,
3,SEIL,Search,"90,505","2,261,815","42,874","5,020","2,181,726",,1.88,,,,5,paid,response,True,40.01,2.11,0.02,0.12,18.03,24.11,434.61,
3,SEIL,TV,"211,295",,,,,"3,199",,,,,5,paid,brand,False,,,,,,,,66.05
3,SEIL,Website,,,,"5,311","1,459,694",,,"397,819",,,5,earned,owned,True,,,,,,,274.84,
3,SELV,Influencer,"32,841",,,105,"31,727",,4.25,,,,6,paid,response,True,,,,,312.77,0.97,302.16,
3,SELV,PR,0,,,,,,,,299,36.27,6,earned,brand,False,,,,,,,,
3,SELV,Paid Social,"100,279","3,934,640","45,127","3,400","957,838",,1.19,,,,6,paid,response,True,25.49,2.22,0.01,0.08,29.49,9.55,281.72,
3,SELV,Retail,"19,112","175,663",,909,"329,122",,3.47,,,,5,paid,response,True,108.80,,,,21.03,17.22,362.07,
3,SELV,Search,"78,012","2,950,692","55,962","6,885","2,516,588",,1.89,,,,5,paid,response,True,26.44,1.39,0.02,0.12,11.33,32.26,365.52,
3,SELV,TV,"252,229",,,,,"2,914",,,,,5,paid,brand,False,,,,,,,,86.56
3,SELV,Website,,,,"4,319","1,548,612",,,"328,823",,,5,earned,owned,True,,,,,,,358.56,
3,SEMAG,Influencer,"23,965",,,156,"63,344",,4.33,,,,6,paid,response,True,,,,,153.62,2.64,406.05,
3,SEMAG,PR,0,,,,,,,,229,30.62,6,earned,brand,False,,,,,,,,
3,SEMAG,Paid Social,"96,346","2,464,882","28,197","2,281","742,424",,1.22,,,,6,paid,response,True,39.09,3.42,0.01,0.08,42.24,7.71,325.48,
3,SEMAG,Retail,"18,712","102,401",,530,"277,827",,4.18,,,,5,paid,response,True,182.73,,,,35.31,14.85,524.20,
3,SEMAG,Search,"69,080","2,028,911","36,496","4,252","1,521,340",,1.78,,,,5,paid,response,True,34.05,1.89,0.02,0.12,16.25,22.02,357.79,
3,SEMAG,TV,"170,344",,,,,"2,691",,,,,5,paid,brand,False,,,,,,,,63.30
3,SEMAG,Website,,,,"4,289","992,941",,,"318,799",,,5,earned,owned,True,,,,,,,231.51,
3,SEPAK,Influencer,"26,495",,,161,"55,637",,4.42,,,,6,paid,response,True,,,,,164.57,2.10,345.57,
3,SEPAK,PR,0,,,,,,,,278,35.33,6,earned,brand,False,,,,,,,,
3,SEPAK,Paid Social,"77,301","3,105,299","39,613","3,010","940,664",,1.20,,,,6,paid,response,True,24.89,1.95,0.01,0.08,25.68,12.17,312.51,
3,SEPAK,Retail,"20,205","122,985",,556,"264,535",,3.94,,,,5,paid,response,True,164.29,,,,36.34,13.09,475.78,
3,SEPAK,Search,"77,894","1,688,340","29,533","3,218","1,128,673",,1.71,,,,5,paid,response,True,46.14,2.64,0.02,0.11,24.21,14.49,350.74,
3,SEPAK,TV,"175,631",,,,,"2,536",,,,,5,paid,brand,False,,,,,,,,69.26
3,SEPAK,Website,,,,"4,792","1,483,026",,,"359,261",,,5,earned,owned,True,,,,,,,309.48,
3,SESAR,Influencer,"31,781",,,116,"41,036",,4.15,,,,6,paid,response,True,,,,,273.97,1.29,353.76,
3,SESAR,PR,0,,,,,,,,271,32.18,6,earned,brand,False,,,,,,,,
3,SESAR,Paid Social,"114,268","3,047,669","29,060","1,754","412,086",,1.18,,,,6,paid,response,True,37.49,3.93,0.01,0.06,65.15,3.61,234.94,
3,SESAR,Retail,"19,147","142,204",,686,"285,532",,4.67,,,,5,paid,response,True,134.64,,,,27.91,14.91,416.23,
3,SESAR,Search,"84,162","2,253,620","36,901","5,509","2,080,911",,1.65,,,,5,paid,response,True,37.35,2.28,0.02,0.15,15.28,24.73,377.73,
3,SESAR,TV,"254,391",,,,,"2,272",,,,,5,paid,brand,False,,,,,,,,111.97
3,SESAR,Website,,,,"5,228","1,609,924",,,"397,319",,,5,earned,owned,True,,,,,,,307.94,
3,SETK,Influencer,"28,077",,,201,"58,509",,4.49,,,,6,paid,response,True,,,,,139.69,2.08,291.09,
3,SETK,PR,0,,,,,,,,300,44.15,6,earned,brand,False,,,,,,,,
3,SETK,Paid Social,"104,955","3,542,847","43,201","4,123","1,052,763",,1.19,,,,6,paid,response,True,29.62,2.43,0.01,0.10,25.46,10.03,255.34,
3,SETK,Retail,"19,496","156,036",,534,"276,970",,4.07,,,,5,paid,response,True,124.95,,,,36.51,14.21,518.67,
3,SETK,Search,"77,605","2,018,192","32,934","3,483","1,666,587",,1.59,,,,5,paid,response,True,38.45,2.36,0.02,0.11,22.28,21.48,478.49,
3,SETK,TV,"164,261",,,,,"2,638",,,,,5,paid,brand,False,,,,,,,,62.27
3,SETK,Website,,,,"4,783","1,665,747",,,"389,154",,,5,earned,owned,True,,,,,,,348.26,
3,SGE,Influencer,"42,473",,,168,"57,960",,4.27,,,,6,paid,response,True,,,,,252.82,1.36,345,
3,SGE,PR,0,,,,,,,,466,30.08,6,earned,brand,False,,,,,,,,
3,SGE,Paid Social,"125,809","4,684,945","49,523","3,671","1,126,260",,1.14,,,,6,paid,response,True,26.85,2.54,0.01,0.07,34.27,8.95,306.80,
3,SGE,Retail,"13,582","171,471",,"1,008","299,668",,3.41,,,,5,paid,response,True,79.21,,,,13.47,22.06,297.29,
3,SGE,Search,"97,154","2,860,732","45,803","6,182","2,530,558",,1.69,,,,5,paid,response,True,33.96,2.12,0.02,0.13,15.72,26.05,409.34,
3,SGE,TV,"284,536",,,,,"3,866",,,,,5,paid,brand,False,,,,,,,,73.60
3,SGE,Website,,,,"6,133","2,282,372",,,"445,788",,,5,earned,owned,True,,,,,,,372.15,
4,SEEG,B2B Roadshow,"27,442","66,838",,310,"88,192",,4.37,,,,5,paid,brand,True,410.57,,,,88.52,3.21,284.49,
4,SEEG,Influencer,"28,072",,,145,"57,223",,4.74,,,,6,paid,response,True,,,,,193.60,2.04,394.64,
4,SEEG,PR,0,,,,,,,,343,33.35,6,earned,brand,False,,,,,,,,
4,SEEG,Paid Social,"89,670","3,596,541","40,996","3,312","1,002,023",,1.12,,,,6,paid,response,True,24.93,2.19,0.01,0.08,27.07,11.17,302.54,
4,SEEG,Search,"51,151","1,950,714","26,962","3,266","1,492,567",,1.42,,,,6,paid,response,True,26.22,1.90,0.01,0.12,15.66,29.18,457.00,
4,SEEG,TV,"235,009",,,,,"2,136",,,,,6,paid,brand,False,,,,,,,,110.02
4,SEEG,Website,,,,"3,632","1,215,743",,,"301,455",,,6,earned,owned,True,,,,,,,334.73,
4,SEIL,B2B Roadshow,"26,502","67,636",,427,"148,850",,5.11,,,,5,paid,brand,True,391.83,,,,62.07,5.62,348.59,
4,SEIL,Influencer,"34,767",,,231,"76,453",,4.35,,,,6,paid,response,True,,,,,150.51,2.20,330.97,
4,SEIL,PR,0,,,,,,,,311,32.88,6,earned,brand,False,,,,,,,,
4,SEIL,Paid Social,"118,435","4,032,244","44,179","4,070","1,383,216",,1.14,,,,6,paid,response,True,29.37,2.68,0.01,0.09,29.10,11.68,339.86,
4,SEIL,Search,"111,256","2,045,963","38,115","5,379","2,335,077",,1.89,,,,6,paid,response,True,54.38,2.92,0.02,0.14,20.68,20.99,434.11,
4,SEIL,TV,"253,790",,,,,"3,504",,,,,6,paid,brand,False,,,,,,,,72.43
4,SEIL,Website,,,,"5,618","1,973,594",,,"449,306",,,6,earned,owned,True,,,,,,,351.30,
4,SELV,B2B Roadshow,"26,674","62,040",,419,"131,335",,5.54,,,,5,paid,brand,True,429.95,,,,63.66,4.92,313.45,
4,SELV,Influencer,"37,922",,,166,"63,214",,5.01,,,,6,paid,response,True,,,,,228.45,1.67,380.81,
4,SELV,PR,0,,,,,,,,269,29.72,6,earned,brand,False,,,,,,,,
4,SELV,Paid Social,"98,657","3,865,102","48,918","3,560","872,515",,1.00,,,,6,paid,response,True,25.53,2.02,0.01,0.07,27.71,8.84,245.09,
4,SELV,Search,"106,267","2,659,178","44,518","6,737","2,548,570",,1.73,,,,6,paid,response,True,39.96,2.39,0.02,0.15,15.77,23.98,378.29,
4,SELV,TV,"299,507",,,,,"3,170",,,,,6,paid,brand,False,,,,,,,,94.48
4,SELV,Website,,,,"5,516","2,023,567",,,"440,569",,,6,earned,owned,True,,,,,,,366.85,
4,SEMAG,B2B Roadshow,"25,633","58,890",,329,"92,584",,5.21,,,,5,paid,brand,True,435.27,,,,77.91,3.61,281.41,
4,SEMAG,Influencer,"32,640",,,124,"29,239",,4.37,,,,6,paid,response,True,,,,,263.23,0.90,235.80,
4,SEMAG,PR,0,,,,,,,,228,29.65,6,earned,brand,False,,,,,,,,
4,SEMAG,Paid Social,"91,303","3,498,261","47,044","3,839","895,699",,1.09,,,,6,paid,response,True,26.10,1.94,0.01,0.08,23.78,9.81,233.32,
4,SEMAG,Search,"73,369","2,196,367","38,803","4,771","1,816,141",,1.73,,,,6,paid,response,True,33.40,1.89,0.02,0.12,15.38,24.75,380.66,
4,SEMAG,TV,"216,424",,,,,"2,470",,,,,6,paid,brand,False,,,,,,,,87.62
4,SEMAG,Website,,,,"4,887","1,457,507",,,"357,490",,,6,earned,owned,True,,,,,,,298.24,
4,SEPAK,B2B Roadshow,"30,613","52,384",,269,"111,252",,6.08,,,,5,paid,brand,True,584.40,,,,113.80,3.63,413.58,
4,SEPAK,Influencer,"27,381",,,175,"61,047",,4.29,,,,6,paid,response,True,,,,,156.46,2.23,348.84,
4,SEPAK,PR,0,,,,,,,,206,33.70,6,earned,brand,False,,,,,,,,
4,SEPAK,Paid Social,"96,500","2,666,618","34,328","2,411","720,405",,1.04,,,,6,paid,response,True,36.19,2.81,0.01,0.07,40.02,7.47,298.80,
4,SEPAK,Search,"67,903","1,956,451","37,797","4,908","1,961,098",,1.91,,,,6,paid,response,True,34.71,1.80,0.02,0.13,13.84,28.88,399.57,
4,SEPAK,TV,"191,363",,,,,"2,606",,,,,6,paid,brand,False,,,,,,,,73.43
4,SEPAK,Website,,,,"4,338","1,411,436",,,"349,458",,,6,earned,owned,True,,,,,,,325.37,
4,SESAR,B2B Roadshow,"25,222","59,296",,442,"118,466",,5.60,,,,5,paid,brand,True,425.36,,,,57.06,4.70,268.02,
4,SESAR,Influencer,"26,662",,,136,"46,743",,3.91,,,,6,paid,response,True,,,,,196.04,1.75,343.70,
4,SESAR,PR,0,,,,,,,,295,34.68,6,earned,brand,False,,,,,,,,
4,SESAR,Paid Social,"92,785","3,750,316","47,209","3,675","953,939",,1.16,,,,6,paid,response,True,24.74,1.97,0.01,0.08,25.25,10.28,259.58,
4,SESAR,Search,"72,692","2,395,401","40,578","5,649","1,997,660",,1.67,,,,6,paid,response,True,30.35,1.79,0.02,0.14,12.87,27.48,353.63,
4,SESAR,TV,"219,859",,,,,"2,651",,,,,6,paid,brand,False,,,,,,,,82.93
4,SESAR,Website,,,,"6,305","2,099,100",,,"423,067",,,6,earned,owned,True,,,,,,,332.93,
4,SETK,B2B Roadshow,"26,260","70,292",,367,"101,104",,4.90,,,,5,paid,brand,True,373.58,,,,71.55,3.85,275.49,
4,SETK,Influencer,"24,131",,,175,"71,700",,3.87,,,,6,paid,response,True,,,,,137.89,2.97,409.71,
4,SETK,PR,0,,,,,,,,237,36,6,earned,brand,False,,,,,,,,
4,SETK,Paid Social,"99,714","3,303,249","34,709","3,157","954,938",,1.24,,,,6,paid,response,True,30.19,2.87,0.01,0.09,31.59,9.58,302.48,
4,SETK,Search,"89,363","2,449,705","40,862","5,241","2,486,214",,1.64,,,,6,paid,response,True,36.48,2.19,0.02,0.13,17.05,27.82,474.38,
4,SETK,TV,"249,591",,,,,"2,698",,,,,6,paid,brand,False,,,,,,,,92.51
4,SETK,Website,,,,"4,651","1,381,335",,,"473,219",,,6,earned,owned,True,,,,,,,297.00,
4,SGE,B2B Roadshow,"28,459","94,832",,384,"191,360",,4.86,,,,5,paid,brand,True,300.10,,,,74.11,6.72,498.33,
4,SGE,Influencer,"28,215",,,119,"46,259",,3.60,,,,6,paid,response,True,,,,,237.10,1.64,388.73,
4,SGE,PR,0,,,,,,,,357,35.43,6,earned,brand,False,,,,,,,,
4,SGE,Paid Social,"126,730","4,265,738","49,562","4,452","1,115,640",,1.07,,,,6,paid,response,True,29.71,2.56,0.01,0.09,28.47,8.80,250.59,
4,SGE,Search,"118,340","2,321,616","42,831","5,306","2,138,162",,1.78,,,,6,paid,response,True,50.97,2.76,0.02,0.12,22.30,18.07,402.97,
4,SGE,TV,"252,054",,,,,"3,373",,,,,6,paid,brand,False,,,,,,,,74.73
4,SGE,Website,,,,"6,940","1,897,674",,,"520,972",,,6,earned,owned,True,,,,,,,273.44,
5,SEEG,Influencer,"31,043",,,161,"43,317",,4.18,,,,6,paid,response,True,,,,,192.81,1.40,269.05,
5,SEEG,PR,0,,,,,,,,218,40.80,6,earned,brand,False,,,,,,,,
5,SEEG,Paid Social,"84,576","2,425,265","27,766","2,228","557,887",,1.14,,,,6,paid,response,True,34.87,3.05,0.01,0.08,37.96,6.60,250.40,
5,SEEG,Search,"69,754","1,718,333","27,735","3,611","1,730,874",,1.67,,,,6,paid,response,True,40.59,2.52,0.02,0.13,19.32,24.81,479.33,
