week,market,channel,product,impressions,clicks,spend_aed,conversions,sales_aed,engagement_rate,brand_awareness,purchase_intent,influencer,followers,tv_grp,pr_mentions,pr_share_of_voice,sessions,bounce_rate,avg_session_sec,pages_per_session,competitor_sov,sentiment,media_type,channel_role,revenue_attributed,cpm_aed,cpc_aed,ctr,cpa_aed,roas,aov_aed,cost_per_grp_aed
1,SGE,Search,Galaxy Watch6,"544,223","6,916","20,467",745,"294,740",1.27,54.90,49.20,,,,,,,,,,14.50,0.87,paid,response,True,37.61,2.96,0.01,27.47,14.40,395.62,
1,SGE,Website,Galaxy Watch6,,,,"1,491","599,194",,45.10,36.30,,,,,,"94,127",28.80,174,3.49,16.10,0.76,earned,owned,True,,,,,,401.87,
1,SGE,PR,Galaxy Watch6,,,0,,,,69.70,61.20,,,,36,18.80,,,,,6.20,0.83,earned,brand,False,,,,,,,
1,SESAR,Paid Social,Galaxy Z Fold8,"976,460","10,878","32,280",594,"157,800",1.41,38.80,50.40,,,,,,,,,,17.80,0.72,paid,response,True,33.06,2.97,0.01,54.34,4.89,265.66,
1,SESAR,Influencer,Galaxy Z Fold8,,,"4,705",59,"26,821",5.43,36.30,35.60,Influencer_4,"766,847",,,,,,,,9.80,0.83,paid,response,True,,,,79.75,5.70,454.59,
1,SESAR,TV,Galaxy Z Fold8,,,"42,302",,,,56.50,61.10,,,605,,,,,,,12.60,0.88,paid,brand,False,,,,,,,69.92
1,SESAR,Search,Galaxy Z Fold8,"673,192","9,998","32,432",954,"323,417",1.49,65.60,45.60,,,,,,,,,,11.50,0.90,paid,response,True,48.18,3.24,0.01,34.00,9.97,339.01,
1,SESAR,Website,Galaxy Z Fold8,,,,610,"194,710",,48.90,47.30,,,,,,"71,865",43.40,190,2.59,8.20,0.76,earned,owned,True,,,,,,319.20,
1,SESAR,PR,Galaxy Z Fold8,,,0,,,,75,55.40,,,,62,29.10,,,,,10.40,0.81,earned,brand,False,,,,,,,
1,SESAR,Paid Social,Galaxy Z Flip8,"81,447",890,"4,668",75,"17,181",0.98,56.60,35.60,,,,,,,,,,10.70,0.73,paid,response,True,57.31,5.24,0.01,62.24,3.68,229.08,
1,SESAR,Influencer,Galaxy Z Flip8,,,"1,373",30,"6,083",4.10,49.90,37.90,Influencer_4,"514,569",,,,,,,,8.70,0.86,paid,response,True,,,,45.77,4.43,202.77,
1,SESAR,PR,Galaxy Z Flip8,,,0,,,,74.80,63.20,,,,12,25,,,,,13.10,0.86,earned,brand,False,,,,,,,
1,SESAR,Paid Social,Galaxy S24,"582,704","6,448","29,800",620,"187,810",1.49,56.10,26.40,,,,,,,,,,17.30,0.77,paid,response,True,51.14,4.62,0.01,48.06,6.30,302.92,
1,SESAR,Influencer,Galaxy S24,,,"4,100",13,"6,069",5.79,53.60,25.70,Influencer_4,"308,618",,,,,,,,10.50,0.79,paid,response,True,,,,315.38,1.48,466.85,
1,SESAR,TV,Galaxy S24,,,"52,470",,,,64.20,57.80,,,504,,,,,,,15.50,0.77,paid,brand,False,,,,,,,104.11
1,SESAR,Search,Galaxy S24,"326,632","4,221","23,878",687,"180,836",1.29,49.70,34.40,,,,,,,,,,15.40,0.81,paid,response,True,73.10,5.66,0.01,34.76,7.57,263.23,
1,SESAR,Website,Galaxy S24,,,,"1,458","447,491",,53.50,29.70,,,,,,"107,912",25.20,169,3.92,7.90,0.82,earned,owned,True,,,,,,306.92,
1,SESAR,PR,Galaxy S24,,,0,,,,54.70,48.90,,,,90,21.40,,,,,13.30,0.93,earned,brand,False,,,,,,,
1,SESAR,Paid Social,Galaxy Tab S10,"142,688","1,181","3,558",67,"14,229",0.87,59.90,52.70,,,,,,,,,,12.40,0.86,paid,response,True,24.94,3.01,0.01,53.10,4.00,212.37,
1,SESAR,Paid Social,Galaxy Buds3,"87,154","1,262","2,963",137,"53,985",1.37,62.90,26.90,,,,,,,,,,16.30,0.78,paid,response,True,34.00,2.35,0.01,21.63,18.22,394.05,
1,SESAR,Paid Social,Galaxy Watch6,"988,014","10,751","20,130",659,"228,569",0.88,62.70,52,,,,,,,,,,10.20,0.90,paid,response,True,20.37,1.87,0.01,30.55,11.35,346.84,
1,SESAR,Influencer,Galaxy Watch6,,,"9,514",27,"7,205",3.57,51.10,33,Influencer_5,"566,643",,,,,,,,10.50,0.76,paid,response,True,,,,352.37,0.76,266.85,
1,SESAR,TV,Galaxy Watch6,,,"48,292",,,,63,46.50,,,578,,,,,,,21.20,0.83,paid,brand,False,,,,,,,83.55
1,SESAR,Search,Galaxy Watch6,"314,470","4,136","18,558",404,"217,659",1.32,48,33.80,,,,,,,,,,10.50,0.90,paid,response,True,59.01,4.49,0.01,45.94,11.73,538.76,
1,SESAR,Website,Galaxy Watch6,,,,"1,126","502,262",,53.90,26,,,,,,"91,114",27.30,198,2.88,16.80,0.85,earned,owned,True,,,,,,446.06,
1,SESAR,PR,Galaxy Watch6,,,0,,,,53.20,57.80,,,,44,27.90,,,,,8.20,0.85,earned,brand,False,,,,,,,
1,SETK,Paid Social,Galaxy Z Fold8,"1,121,717","9,952","25,935",801,"253,695",1.03,57.40,42.80,,,,,,,,,,9.80,0.87,paid,response,True,23.12,2.61,0.01,32.38,9.78,316.72,
1,SETK,Influencer,Galaxy Z Fold8,,,"5,253",51,"14,804",5.12,47.70,21,Influencer_6,"910,219",,,,,,,,10.60,0.84,paid,response,True,,,,103,2.82,290.27,
1,SETK,TV,Galaxy Z Fold8,,,"80,759",,,,63.40,48.10,,,843,,,,,,,14.70,0.76,paid,brand,False,,,,,,,95.80
1,SETK,Search,Galaxy Z Fold8,"650,849","12,976","18,477","1,893","634,412",1.99,58,46.60,,,,,,,,,,7.40,0.93,paid,response,True,28.39,1.42,0.02,9.76,34.34,335.14,
1,SETK,Website,Galaxy Z Fold8,,,,"1,412","361,698",,60.80,41.30,,,,,,"95,931",29,156,2.57,15.20,0.83,earned,owned,True,,,,,,256.16,
1,SETK,PR,Galaxy Z Fold8,,,0,,,,69.50,50.80,,,,118,34.30,,,,,8.80,0.82,earned,brand,False,,,,,,,
1,SETK,Paid Social,Galaxy Z Flip8,"122,622",985,"2,207",100,"20,471",1.36,57.40,40.10,,,,,,,,,,14.20,0.93,paid,response,True,18.00,2.24,0.01,22.07,9.28,204.71,
1,SETK,Influencer,Galaxy Z Flip8,,,969,23,"11,416",2.97,49.20,49.50,Influencer_7,"678,634",,,,,,,,16.60,0.87,paid,response,True,,,,42.13,11.78,496.35,
1,SETK,PR,Galaxy Z Flip8,,,0,,,,74.20,52.30,,,,11,29.80,,,,,6.60,0.94,earned,brand,False,,,,,,,
1,SETK,Paid Social,Galaxy S24,"699,167","6,861","19,095",735,"161,205",1.34,51,33.40,,,,,,,,,,12.80,0.88,paid,response,True,27.31,2.78,0.01,25.98,8.44,219.33,
1,SETK,Influencer,Galaxy S24,,,"7,052",10,"2,452",3.68,42.80,25.60,Influencer_7,"484,913",,,,,,,,9.80,0.83,paid,response,True,,,,705.20,0.35,245.20,
1,SETK,TV,Galaxy S24,,,"49,099",,,,58.60,38.10,,,642,,,,,,,19.40,0.80,paid,brand,False,,,,,,,76.48
1,SETK,Search,Galaxy S24,"575,912","12,359","10,108","2,047","981,901",2.15,50.90,31.20,,,,,,,,,,9.80,0.90,paid,response,True,17.55,0.82,0.02,4.94,97.14,479.68,
1,SETK,Website,Galaxy S24,,,,"1,333","511,416",,43,38.10,,,,,,"99,674",41,206,3.23,11.40,0.87,earned,owned,True,,,,,,383.66,
1,SETK,PR,Galaxy S24,,,0,,,,72.50,64.20,,,,66,38.70,,,,,14,0.89,earned,brand,False,,,,,,,
1,SETK,Paid Social,Galaxy Tab S10,"139,007","1,495","4,345",139,"23,767",1.10,62.50,31.70,,,,,,,,,,10.60,0.78,paid,response,True,31.26,2.91,0.01,31.26,5.47,170.99,
1,SETK,Paid Social,Galaxy Buds3,"105,220","1,082","3,480",67,"25,982",1.10,61.50,40.30,,,,,,,,,,16.50,0.71,paid,response,True,33.07,3.22,0.01,51.94,7.47,387.79,
1,SETK,Paid Social,Galaxy Watch6,"949,126","9,918","13,535","1,016","317,945",1.33,65,32.20,,,,,,,,,,7.70,0.74,paid,response,True,14.26,1.36,0.01,13.32,23.49,312.94,
1,SETK,Influencer,Galaxy Watch6,,,"7,239",48,"16,296",4.84,39,32.10,Influencer_7,"696,564",,,,,,,,13.80,0.94,paid,response,True,,,,150.81,2.25,339.50,
1,SETK,TV,Galaxy Watch6,,,"35,630",,,,67.50,60.60,,,758,,,,,,,10.70,0.73,paid,brand,False,,,,,,,47.01
1,SETK,Search,Galaxy Watch6,"440,376","7,820","21,183",935,"434,311",1.78,43.30,48.40,,,,,,,,,,12.20,0.80,paid,response,True,48.10,2.71,0.02,22.66,20.50,464.50,
1,SETK,Website,Galaxy Watch6,,,,"1,403","491,194",,46.90,35.30,,,,,,"85,051",27.40,160,3.02,12.60,0.81,earned,owned,True,,,,,,350.10,
1,SETK,PR,Galaxy Watch6,,,0,,,,54.10,65.20,,,,68,41.70,,,,,10.90,0.93,earned,brand,False,,,,,,,
1,SELV,Paid Social,Galaxy Z Fold8,"1,197,394","10,861","24,433","1,072","419,546",0.99,60.70,42.30,,,,,,,,,,13.30,0.81,paid,response,True,20.41,2.25,0.01,22.79,17.17,391.37,
1,SELV,Influencer,Galaxy Z Fold8,,,"13,717",21,"10,088",3.44,39.70,34.50,Influencer_8,"821,254",,,,,,,,15.20,0.86,paid,response,True,,,,653.19,0.74,480.38,
1,SELV,TV,Galaxy Z Fold8,,,"75,399",,,,47.70,57.80,,,786,,,,,,,11.60,0.76,paid,brand,False,,,,,,,95.93
1,SELV,Search,Galaxy Z Fold8,"598,743","9,222","26,196","1,250","506,235",1.54,46.20,37.10,,,,,,,,,,10.30,0.87,paid,response,True,43.75,2.84,0.02,20.96,19.32,404.99,
1,SELV,Website,Galaxy Z Fold8,,,,"1,670","603,664",,41.70,43.30,,,,,,"112,059",34.80,154,2.64,10.60,0.85,earned,owned,True,,,,,,361.48,
1,SELV,PR,Galaxy Z Fold8,,,0,,,,60.10,66.10,,,,110,33.60,,,,,10.20,0.86,earned,brand,False,,,,,,,
1,SELV,Paid Social,Galaxy Z Flip8,"121,752","1,204","3,338",70,"23,122",1.02,58.80,54.70,,,,,,,,,,15.80,0.75,paid,response,True,27.42,2.77,0.01,47.69,6.93,330.31,
1,SELV,Influencer,Galaxy Z Flip8,,,"1,291",36,"12,866",3.47,39.80,24,Influencer_8,"707,719",,,,,,,,9.60,0.80,paid,response,True,,,,35.86,9.97,357.39,
1,SELV,PR,Galaxy Z Flip8,,,0,,,,69.20,44.40,,,,6,26.10,,,,,5.60,0.81,earned,brand,False,,,,,,,
1,SELV,Paid Social,Galaxy S24,"718,478","9,255","17,749",842,"284,762",0.87,36.90,34.70,,,,,,,,,,13.20,0.79,paid,response,True,24.70,1.92,0.01,21.08,16.04,338.20,
1,SELV,Influencer,Galaxy S24,,,"7,603",16,"3,513",5.79,46.10,38.30,Influencer_9,"464,742",,,,,,,,14.60,0.78,paid,response,True,,,,475.19,0.46,219.56,
1,SELV,TV,Galaxy S24,,,"73,574",,,,54.60,61.30,,,972,,,,,,,10.80,0.87,paid,brand,False,,,,,,,75.69
1,SELV,Search,Galaxy S24,"679,672","12,207","19,133","1,923","700,190",1.80,64.10,38.50,,,,,,,,,,11.90,0.85,paid,response,True,28.15,1.57,0.02,9.95,36.60,364.11,
1,SELV,Website,Galaxy S24,,,,897,"345,365",,42.80,28,,,,,,"63,683",44,203,3.44,9.90,0.85,earned,owned,True,,,,,,385.02,
1,SELV,PR,Galaxy S24,,,0,,,,62.80,56,,,,44,17.10,,,,,7.80,0.84,earned,brand,False,,,,,,,
1,SELV,Paid Social,Galaxy Tab S10,"143,656","1,433","4,434",65,"13,543",0.99,60.20,43.90,,,,,,,,,,17.10,0.75,paid,response,True,30.87,3.09,0.01,68.22,3.05,208.35,
1,SELV,Paid Social,Galaxy Buds3,"92,428","1,091","2,785",122,"43,512",0.85,41.50,35.40,,,,,,,,,,16.50,0.84,paid,response,True,30.13,2.55,0.01,22.83,15.62,356.66,
1,SELV,Paid Social,Galaxy Watch6,"716,445","7,933","30,093",754,"244,999",1.46,51.50,41,,,,,,,,,,8.50,0.71,paid,response,True,42.00,3.79,0.01,39.91,8.14,324.93,
1,SELV,Influencer,Galaxy Watch6,,,"5,555",18,"4,836",3.63,51.50,46.80,Influencer_10,"970,214",,,,,,,,13.60,0.75,paid,response,True,,,,308.61,0.87,268.67,
1,SELV,TV,Galaxy Watch6,,,"52,428",,,,48,55.40,,,763,,,,,,,15,0.85,paid,brand,False,,,,,,,68.71
1,SELV,Search,Galaxy Watch6,"490,417","6,775","26,710",972,"386,387",1.38,43.70,39.80,,,,,,,,,,9.60,0.89,paid,response,True,54.46,3.94,0.01,27.48,14.47,397.52,
1,SELV,Website,Galaxy Watch6,,,,883,"329,728",,50,37.40,,,,,,"78,185",30.80,252,3.72,10.60,0.81,earned,owned,True,,,,,,373.42,
1,SELV,PR,Galaxy Watch6,,,0,,,,72.10,41.20,,,,77,42.90,,,,,13,0.87,earned,brand,False,,,,,,,
1,SEMAG,Paid Social,Galaxy Z Fold8,"561,444","5,228","25,344",469,"128,798",1.11,38,34.20,,,,,,,,,,9.10,0.77,paid,response,True,45.14,4.85,0.01,54.04,5.08,274.62,
1,SEMAG,Influencer,Galaxy Z Fold8,,,"8,670",22,"5,979",2.92,36.10,37.50,Influencer_11,"708,257",,,,,,,,13.20,0.77,paid,response,True,,,,394.09,0.69,271.77,
1,SEMAG,TV,Galaxy Z Fold8,,,"39,773",,,,70.70,52.70,,,675,,,,,,,11.20,0.91,paid,brand,False,,,,,,,58.92
1,SEMAG,Search,Galaxy Z Fold8,"481,331","8,225","20,142",999,"394,355",1.71,53.20,42.50,,,,,,,,,,7.90,0.81,paid,response,True,41.85,2.45,0.02,20.16,19.58,394.75,
1,SEMAG,Website,Galaxy Z Fold8,,,,"1,915","448,353",,55.90,32.70,,,,,,"123,904",26.40,256,3.01,7.50,0.88,earned,owned,True,,,,,,234.13,
1,SEMAG,PR,Galaxy Z Fold8,,,0,,,,68,62.80,,,,99,34.40,,,,,9.20,0.88,earned,brand,False,,,,,,,
1,SEMAG,Paid Social,Galaxy Z Flip8,"85,972","1,019","3,800",71,"27,208",1.41,65.90,33.40,,,,,,,,,,12.10,0.91,paid,response,True,44.20,3.73,0.01,53.52,7.16,383.21,
1,SEMAG,Influencer,Galaxy Z Flip8,,,876,10,"4,434",3.61,42.90,40.90,Influencer_12,"245,767",,,,,,,,15.90,0.95,paid,response,True,,,,87.60,5.06,443.40,
1,SEMAG,PR,Galaxy Z Flip8,,,0,,,,54.70,65.30,,,,10,45.90,,,,,8.20,0.82,earned,brand,False,,,,,,,
1,SEMAG,Paid Social,Galaxy S24,"801,587","8,883","24,848","1,002","154,144",0.90,62.60,55.30,,,,,,,,,,8.40,0.90,paid,response,True,31.00,2.80,0.01,24.80,6.20,153.84,
1,SEMAG,Influencer,Galaxy S24,,,"5,317",29,"13,210",4.68,56.90,46.80,Influencer_12,"555,007",,,,,,,,11.50,0.81,paid,response,True,,,,183.34,2.48,455.52,
1,SEMAG,TV,Galaxy S24,,,"52,681",,,,60.50,51.90,,,719,,,,,,,12.20,0.86,paid,brand,False,,,,,,,73.27
1,SEMAG,Search,Galaxy S24,"383,067","8,417","11,016","1,038","290,155",2.20,57.20,52.90,,,,,,,,,,10.60,0.89,paid,response,True,28.76,1.31,0.02,10.61,26.34,279.53,
1,SEMAG,Website,Galaxy S24,,,,386,"154,027",,42.30,36.30,,,,,,"45,724",30.90,245,3.15,14.30,0.78,earned,owned,True,,,,,,399.03,
1,SEMAG,PR,Galaxy S24,,,0,,,,73.30,56.70,,,,35,19.40,,,,,7.40,0.95,earned,brand,False,,,,,,,
1,SEMAG,Paid Social,Galaxy Tab S10,"73,316",705,"2,591",54,"17,102",1.43,50.50,34.80,,,,,,,,,,14.10,0.72,paid,response,True,35.34,3.68,0.01,47.98,6.60,316.70,
1,SEMAG,Paid Social,Galaxy Buds3,"126,935","1,322","3,984",84,"32,802",1.28,50.20,35.30,,,,,,,,,,19.50,0.91,paid,response,True,31.39,3.01,0.01,47.43,8.23,390.50,
1,SEMAG,Paid Social,Galaxy Watch6,"472,528","4,564","26,129",313,"70,102",1.29,37.20,51.10,,,,,,,,,,12.20,0.70,paid,response,True,55.30,5.73,0.01,83.48,2.68,223.97,
1,SEMAG,Influencer,Galaxy Watch6,,,"6,771",72,"32,389",5.91,58.40,44.30,Influencer_11,"980,841",,,,,,,,10,0.91,paid,response,True,,,,94.04,4.78,449.85,
1,SEMAG,TV,Galaxy Watch6,,,"37,699",,,,51.80,42.80,,,615,,,,,,,18.50,0.87,paid,brand,False,,,,,,,61.30
1,SEMAG,Search,Galaxy Watch6,"558,419","11,382","11,204","1,938","860,282",2.04,49.10,42.10,,,,,,,,,,11.80,0.90,paid,response,True,20.06,0.98,0.02,5.78,76.78,443.90,
1,SEMAG,Website,Galaxy Watch6,,,,898,"252,948",,49.70,50.30,,,,,,"52,540",33.30,201,2.70,12.80,0.91,earned,owned,True,,,,,,281.68,
1,SEMAG,PR,Galaxy Watch6,,,0,,,,72.10,53.20,,,,34,24.70,,,,,12.50,0.92,earned,brand,False,,,,,,,
1,SEEG,Paid Social,Galaxy Z Fold8,"762,282","10,389","30,764","1,215","225,004",1.48,62.30,47.90,,,,,,,,,,19.30,0.94,paid,response,True,40.36,2.96,0.01,25.32,7.31,185.19,
1,SEEG,Influencer,Galaxy Z Fold8,,,"7,011",8,"2,887",2.82,44.90,41.20,Influencer_13,"583,542",,,,,,,,14.40,0.87,paid,response,True,,,,876.38,0.41,360.88,
1,SEEG,TV,Galaxy Z Fold8,,,"61,137",,,,63.90,48.30,,,510,,,,,,,16.80,0.91,paid,brand,False,,,,,,,119.88
1,SEEG,Search,Galaxy Z Fold8,"530,964","11,231","19,408","1,625","716,009",2.12,53,48.60,,,,,,,,,,12.40,0.80,paid,response,True,36.55,1.73,0.02,11.94,36.89,440.62,
1,SEEG,Website,Galaxy Z Fold8,,,,"1,098","303,148",,49.60,35.70,,,,,,"62,934",34.90,174,2.85,11.20,0.92,earned,owned,True,,,,,,276.09,
1,SEEG,PR,Galaxy Z Fold8,,,0,,,,70.10,45.10,,,,99,29.60,,,,,8.90,0.82,earned,brand,False,,,,,,,
1,SEEG,Paid Social,Galaxy Z Flip8,"102,135","1,257","2,857",53,"12,859",1.11,65,51.90,,,,,,,,,,8.70,0.87,paid,response,True,27.97,2.27,0.01,53.91,4.50,242.62,
1,SEEG,Influencer,Galaxy Z Flip8,,,845,25,"12,261",3.76,59.80,45.70,Influencer_13,"876,149",,,,,,,,8.60,0.79,paid,response,True,,,,33.80,14.51,490.44,
1,SEEG,PR,Galaxy Z Flip8,,,0,,,,52,60.90,,,,13,34.90,,,,,7.40,0.82,earned,brand,False,,,,,,,
1,SEEG,Paid Social,Galaxy S24,"716,400","6,760","27,144",382,"77,923",1.41,46.40,30.60,,,,,,,,,,18.30,0.70,paid,response,True,37.89,4.02,0.01,71.06,2.87,203.99,
1,SEEG,Influencer,Galaxy S24,,,"8,586",9,"3,584",4.39,32.10,21.40,Influencer_14,"336,306",,,,,,,,15.60,0.80,paid,response,True,,,,954,0.42,398.22,
1,SEEG,TV,Galaxy S24,,,"46,096",,,,51.40,37.80,,,367,,,,,,,18.30,0.83,paid,brand,False,,,,,,,125.60
1,SEEG,Search,Galaxy S24,"621,847","7,857","22,219","1,239","500,520",1.26,44.10,43.70,,,,,,,,,,15.10,0.79,paid,response,True,35.73,2.83,0.01,17.93,22.53,403.97,
1,SEEG,Website,Galaxy S24,,,,"1,173","423,259",,46.90,28.70,,,,,,"106,511",25.60,272,3.77,14.60,0.83,earned,owned,True,,,,,,360.83,
1,SEEG,PR,Galaxy S24,,,0,,,,55.20,44.40,,,,27,26.70,,,,,10.80,0.89,earned,brand,False,,,,,,,
1,SEEG,Paid Social,Galaxy Tab S10,"117,905","1,211","4,262",99,"26,079",1.22,39.50,47.30,,,,,,,,,,17.70,0.86,paid,response,True,36.15,3.52,0.01,43.05,6.12,263.42,
1,SEEG,Paid Social,Galaxy Buds3,"121,926","1,445","2,570",107,"39,806",1.09,61.30,38.20,,,,,,,,,,16.30,0.78,paid,response,True,21.08,1.78,0.01,24.02,15.49,372.02,
1,SEEG,Paid Social,Galaxy Watch6,"597,466","7,561","21,837",879,"282,778",1.13,39.20,28.80,,,,,,,,,,12.70,0.89,paid,response,True,36.55,2.89,0.01,24.84,12.95,321.70,
1,SEEG,Influencer,Galaxy Watch6,,,"7,023",21,"7,738",4.45,51.40,33.30,Influencer_15,"336,435",,,,,,,,16.40,0.94,paid,response,True,,,,334.43,1.10,368.48,
1,SEEG,TV,Galaxy Watch6,,,"51,944",,,,69.90,37.80,,,759,,,,,,,12.90,0.78,paid,brand,False,,,,,,,68.44
1,SEEG,Search,Galaxy Watch6,"318,884","5,669","15,273",541,"213,509",1.78,62.60,39.90,,,,,,,,,,11.60,0.80,paid,response,True,47.90,2.69,0.02,28.23,13.98,394.66,
1,SEEG,Website,Galaxy Watch6,,,,"1,069","429,529",,52.60,43.30,,,,,,"77,860",41.90,156,3.41,7.80,0.80,earned,owned,True,,,,,,401.80,
1,SEEG,PR,Galaxy Watch6,,,0,,,,60.30,45.70,,,,52,44.60,,,,,6.50,0.91,earned,brand,False,,,,,,,
1,SEIL,Paid Social,Galaxy Z Fold8,"704,132","6,332","17,067",299,"84,503",1.06,50.10,30.90,,,,,,,,,,11.20,0.78,paid,response,True,24.24,2.70,0.01,57.08,4.95,282.62,
1,SEIL,Influencer,Galaxy Z Fold8,,,"4,501",15,"6,394",2.80,32.80,23.40,Influencer_16,"825,185",,,,,,,,12.10,0.83,paid,response,True,,,,300.07,1.42,426.27,
1,SEIL,TV,Galaxy Z Fold8,,,"91,591",,,,57.40,41.90,,,821,,,,,,,15.50,0.79,paid,brand,False,,,,,,,111.56
1,SEIL,Search,Galaxy Z Fold8,"470,056","6,972","34,051",925,"316,836",1.48,46.90,55.70,,,,,,,,,,7.10,0.81,paid,response,True,72.44,4.88,0.01,36.81,9.30,342.53,
1,SEIL,Website,Galaxy Z Fold8,,,,"1,598","624,882",,54.90,30.40,,,,,,"101,962",30.80,180,2.51,11.30,0.88,earned,owned,True,,,,,,391.04,
1,SEIL,PR,Galaxy Z Fold8,,,0,,,,68.20,50.10,,,,110,33.80,,,,,8.80,0.92,earned,brand,False,,,,,,,
1,SEIL,Paid Social,Galaxy Z Flip8,"114,770",933,"2,291",101,"29,687",1.20,57.80,38.70,,,,,,,,,,8.90,0.71,paid,response,True,19.96,2.46,0.01,22.68,12.96,293.93,
1,SEIL,Influencer,Galaxy Z Flip8,,,"1,269",19,"7,730",5.30,42.20,34.10,Influencer_17,"380,222",,,,,,,,8.80,0.84,paid,response,True,,,,66.79,6.09,406.84,
1,SEIL,PR,Galaxy Z Flip8,,,0,,,,61.40,49,,,,11,32.70,,,,,8.30,0.85,earned,brand,False,,,,,,,
1,SEIL,Paid Social,Galaxy S24,"617,555","5,270","16,522",434,"86,138",1.34,47,54.90,,,,,,,,,,15.20,0.74,paid,response,True,26.75,3.14,0.01,38.07,5.21,198.47,
1,SEIL,Influencer,Galaxy S24,,,"4,641",13,"5,564",3.40,51,26.30,Influencer_18,"353,557",,,,,,,,15.40,0.85,paid,response,True,,,,357,1.20,428,
1,SEIL,TV,Galaxy S24,,,"70,291",,,,61.50,53.50,,,827,,,,,,,20,0.85,paid,brand,False,,,,,,,85.00
1,SEIL,Search,Galaxy S24,"658,799","10,034","21,375",954,"258,043",1.52,52.50,38.70,,,,,,,,,,9.10,0.79,paid,response,True,32.45,2.13,0.02,22.41,12.07,270.49,
