week,market,spend_aed,sales_aed,conversions,impressions,clicks,paid_spend_aed,paid_sales_aed,paid_conversions,earned_sales_aed,earned_conversions,tv_spend_aed,tv_grp,sessions,website_sales_aed,pr_mentions,share_of_voice,influencer_spend_aed,website_conversions,brand_awareness,brand_awareness_sd,purchase_intent,purchase_intent_sd,competitor_sov,sentiment,sentiment_sd,n_observations,is_indicative,intent_to_awareness,mer,paid_roas,cpa_aed,aov_aed,cpm_aed,cpc_aed,earned_sales_share,tv_spend_share,cost_per_grp_aed,sov_gap,web_conversion_rate,sales_aed_wow,spend_aed_wow,conversions_wow,brand_awareness_wow,purchase_intent_wow,sentiment_wow,share_of_voice_wow,mer_wow
3,SEIL,"469,295","4,974,913","14,340","6,293,946","93,176","469,295","3,515,219","9,029","1,459,694","5,311","211,295","3,199","397,819","1,459,694",268,25.33,"38,946","5,311",56.67,8.15,48.39,10.56,10.79,0.84,0.06,38,True,0.85,10.60,7.49,32.73,346.93,74.56,5.04,0.29,0.45,66.05,14.55,0.01,0.20,0.20,0.20,0.02,0.00,-0.02,-0.36,0.00
4,SEIL,"544,750","5,917,190","15,725","6,145,843","82,294","544,750","3,943,596","10,107","1,973,594","5,618","253,790","3,504","449,306","1,973,594",311,32.88,"34,767","5,618",60.61,10.95,49.50,10.60,11.48,0.84,0.06,41,True,0.82,10.86,7.24,34.64,376.29,88.64,6.62,0.33,0.47,72.43,21.41,0.01,0.19,0.16,0.10,0.07,0.02,0.00,0.30,0.02
5,SEIL,"376,704","4,398,241","13,151","4,943,234","73,448","376,704","2,881,082","8,429","1,517,159","4,722","182,839","3,010","366,240","1,517,159",239,30,"23,731","4,722",59.64,8.73,49.38,10.86,10.47,0.84,0.07,36,True,0.83,11.68,7.65,28.64,334.44,76.21,5.13,0.34,0.49,60.74,19.53,0.01,-0.26,-0.31,-0.16,-0.02,-0.00,-0.00,-0.09,0.07
6,SEIL,"402,826","4,095,072","12,078","5,261,468","66,135","402,826","2,818,152","8,079","1,276,920","3,999","175,731","2,455","299,646","1,276,920",181,31.63,"23,782","3,999",62.16,9.23,51.73,9.09,9.72,0.86,0.05,48,True,0.83,10.17,7.00,33.35,339.05,76.56,6.09,0.31,0.44,71.58,21.91,0.01,-0.07,0.07,-0.08,0.04,0.05,0.02,0.05,-0.13
7,SEIL,"324,681","3,405,814","9,951","4,415,168","61,576","324,681","2,322,543","6,439","1,083,271","3,512","161,482","2,354","269,510","1,083,271",214,24.03,"18,771","3,512",61.93,9.78,50.57,9.83,9.03,0.85,0.06,36,True,0.82,10.49,7.15,32.63,342.26,73.54,5.27,0.32,0.50,68.60,15.01,0.01,-0.17,-0.19,-0.18,-0.00,-0.02,-0.00,-0.24,0.03
8,SEIL,"368,152","3,132,798","9,537","3,807,579","47,828","368,152","1,903,605","5,452","1,229,193","4,085","164,323","2,236","294,633","1,229,193",155,25.80,"18,681","4,085",64.48,10.21,51.31,10.62,9.01,0.85,0.06,42,True,0.80,8.51,5.17,38.60,328.49,96.69,7.70,0.39,0.45,73.49,16.79,0.01,-0.08,0.13,-0.04,0.04,0.01,0.00,0.07,-0.19
1,SELV,"384,438","3,932,356","10,611","4,758,985","59,981","384,438","2,653,599","7,161","1,278,757","3,450","201,401","2,521","253,927","1,278,757",237,29.93,"28,166","3,450",51.73,10.06,43.56,10.59,11.93,0.82,0.05,23,True,0.84,10.23,6.90,36.23,370.59,80.78,6.41,0.33,0.52,79.89,18.00,0.01,,,,,,,,
2,SELV,"402,194","4,284,546","11,578","5,314,336","70,690","402,194","3,241,574","8,195","1,042,972","3,383","172,881","2,242","293,390","1,042,972",212,37.46,"34,528","3,383",57.05,11.02,46.38,9.50,11.39,0.86,0.06,31,True,0.81,10.65,8.06,34.74,370.06,75.68,5.69,0.24,0.43,77.11,26.07,0.01,0.09,0.05,0.09,0.10,0.06,0.05,0.25,0.04
3,SELV,"482,473","5,383,887","15,618","7,060,995","101,089","482,473","3,835,275","11,299","1,548,612","4,319","252,229","2,914","328,823","1,548,612",299,36.27,"32,841","4,319",55.35,9.98,48.30,10.85,12.12,0.86,0.06,38,True,0.87,11.16,7.95,30.89,344.72,68.33,4.77,0.29,0.52,86.56,24.15,0.01,0.26,0.20,0.35,-0.03,0.04,-0.00,-0.03,0.05
4,SELV,"569,027","5,639,201","16,398","6,586,320","93,436","569,027","3,615,634","10,882","2,023,567","5,516","299,507","3,170","440,569","2,023,567",269,29.72,"37,922","5,516",60.30,10.44,48.83,9.93,10.57,0.86,0.06,41,True,0.81,9.91,6.35,34.70,343.90,86.40,6.09,0.36,0.53,94.48,19.14,0.01,0.05,0.18,0.05,0.09,0.01,0.00,-0.18,-0.11
5,SELV,"430,257","4,513,473","13,009","5,160,240","70,629","430,257","2,814,334","8,208","1,699,139","4,801","213,198","2,609","400,859","1,699,139",269,27.18,"22,665","4,801",60.35,12.25,47.40,10.71,10.20,0.85,0.06,36,True,0.79,10.49,6.54,33.07,346.95,83.38,6.09,0.38,0.50,81.72,16.98,0.01,-0.20,-0.24,-0.21,0.00,-0.03,-0.01,-0.09,0.06
6,SELV,"413,510","4,325,426","12,651","4,920,045","63,802","413,510","2,749,705","8,010","1,575,721","4,641","160,348","2,923","359,341","1,575,721",184,24.65,"23,495","4,641",62.02,10.50,51.15,10.78,9.74,0.86,0.05,48,True,0.82,10.46,6.65,32.69,341.90,84.05,6.48,0.36,0.39,54.86,14.91,0.01,-0.04,-0.04,-0.03,0.03,0.08,0.01,-0.09,-0.00
7,SELV,"374,910","4,160,278","11,287","5,016,333","71,442","374,910","2,691,486","7,268","1,468,792","4,019","180,798","2,383","297,349","1,468,792",161,29.58,"24,000","4,019",62.62,12.36,51.96,10.78,9.58,0.86,0.07,36,True,0.83,11.10,7.18,33.22,368.59,74.74,5.25,0.35,0.48,75.87,20.00,0.01,-0.04,-0.09,-0.11,0.01,0.02,-0.01,0.20,0.06
8,SELV,"338,808","3,050,600","9,068","3,921,473","54,238","338,808","2,034,598","5,713","1,016,002","3,355","149,478","2,247","271,790","1,016,002",215,32.37,"20,746","3,355",64.88,10.49,52.69,10.69,9.05,0.86,0.06,42,True,0.81,9.00,6.01,37.36,336.41,86.40,6.25,0.33,0.44,66.52,23.31,0.01,-0.27,-0.10,-0.20,0.04,0.01,0.00,0.09,-0.19
1,SEMAG,"280,845","2,886,288","9,300","3,544,599","49,745","280,845","2,030,960","6,101","855,328","3,199","130,153","2,009","222,168","855,328",178,31.10,"21,634","3,199",54.66,10.99,45.90,9.60,11.74,0.86,0.07,23,True,0.84,10.28,7.23,30.20,310.35,79.23,5.65,0.30,0.46,64.78,19.36,0.01,,,,,,,,
2,SEMAG,"347,052","3,044,836","8,459","3,784,406","48,161","347,052","2,338,537","5,939","706,299","2,520","167,322","2,117","231,678","706,299",253,33.10,"18,230","2,520",57.60,11.65,43.30,11.14,10.75,0.86,0.07,31,True,0.75,8.77,6.74,41.03,359.95,91.71,7.21,0.23,0.48,79.04,22.35,0.01,0.05,0.24,-0.09,0.05,-0.06,0.01,0.06,-0.15
3,SEMAG,"378,447","3,597,876","11,508","4,596,194","64,693","378,447","2,604,935","7,219","992,941","4,289","170,344","2,691","318,799","992,941",229,30.62,"23,965","4,289",58.93,7.95,45.32,10.39,10.88,0.84,0.07,38,True,0.77,9.51,6.88,32.89,312.64,82.34,5.85,0.28,0.45,63.30,19.74,0.01,0.18,0.09,0.36,0.02,0.05,-0.03,-0.08,0.08
4,SEMAG,"439,369","4,291,170","13,950","5,753,518","85,847","439,369","2,833,663","9,063","1,457,507","4,887","216,424","2,470","357,490","1,457,507",228,29.65,"32,640","4,887",58.43,8.73,46.21,12.06,10.57,0.87,0.06,41,True,0.79,9.77,6.45,31.50,307.61,76.37,5.12,0.34,0.49,87.62,19.08,0.01,0.19,0.16,0.21,-0.01,0.02,0.04,-0.03,0.03
5,SEMAG,"340,998","3,123,132","9,332","4,043,987","49,337","340,998","1,881,037","5,715","1,242,095","3,617","160,966","2,507","284,753","1,242,095",253,37.55,"25,961","3,617",60.45,10.44,48.78,10.06,10.20,0.83,0.07,36,True,0.81,9.16,5.52,36.54,334.67,84.32,6.91,0.40,0.47,64.21,27.35,0.01,-0.27,-0.22,-0.33,0.03,0.06,-0.05,0.27,-0.06
6,SEMAG,"311,587","3,226,724","9,755","3,846,304","52,787","311,587","2,038,811","6,469","1,187,913","3,286","136,422","1,792","229,166","1,187,913",183,34.28,"19,757","3,286",62.35,9.66,51.19,10.27,9.71,0.84,0.05,48,True,0.82,10.36,6.54,31.94,330.78,81.01,5.90,0.37,0.44,76.13,24.57,0.01,0.03,-0.09,0.05,0.03,0.05,0.01,-0.09,0.13
7,SEMAG,"250,641","2,660,264","7,871","3,189,548","41,176","250,641","1,697,848","4,904","962,416","2,967","132,650","1,878","229,843","962,416",110,30.60,"13,210","2,967",63.34,11.67,52.66,10.18,9.26,0.85,0.06,36,True,0.83,10.61,6.77,31.84,337.98,78.58,6.09,0.36,0.53,70.63,21.34,0.01,-0.18,-0.20,-0.19,0.02,0.03,0.02,-0.11,0.02
8,SEMAG,"279,291","2,852,727","8,307","3,265,090","44,488","279,291","1,863,370","5,434","989,357","2,873","120,065","1,560","227,092","989,357",142,29.10,"16,329","2,873",62.55,9.77,52.59,11.13,9.12,0.86,0.06,42,True,0.84,10.21,6.67,33.62,343.41,85.54,6.28,0.35,0.43,76.96,19.98,0.01,0.07,0.11,0.06,-0.01,-0.00,0.01,-0.05,-0.04
1,SEPAK,"286,571","2,390,288","8,017","2,918,758","38,906","286,571","1,271,910","4,080","1,118,378","3,937","148,118","1,370","239,677","1,118,378",221,38.27,"18,735","3,937",54.47,11.81,42.19,9.46,12.11,0.84,0.06,23,True,0.77,8.34,4.44,35.75,298.15,98.18,7.37,0.47,0.52,108.12,26.17,0.02,,,,,,,,
2,SEPAK,"316,340","2,917,962","8,886","4,131,076","56,110","316,340","1,834,666","5,400","1,083,296","3,486","160,879","2,273","249,708","1,083,296",127,31.90,"15,010","3,486",56.25,9.70,45.13,8.38,11.57,0.85,0.05,31,True,0.80,9.22,5.80,35.60,328.38,76.58,5.64,0.37,0.51,70.78,20.33,0.01,0.22,0.10,0.11,0.03,0.07,0.01,-0.17,0.11
3,SEPAK,"377,526","3,872,535","11,737","4,916,624","69,146","377,526","2,389,509","6,945","1,483,026","4,792","175,631","2,536","359,261","1,483,026",278,35.33,"26,495","4,792",56.02,9.02,46.47,10.47,11.87,0.84,0.06,38,True,0.83,10.26,6.33,32.17,329.94,76.79,5.46,0.38,0.47,69.26,23.46,0.01,0.33,0.19,0.32,-0.00,0.03,-0.01,0.11,0.11
4,SEPAK,"413,760","4,265,238","12,101","4,675,453","72,125","413,760","2,853,802","7,763","1,411,436","4,338","191,363","2,606","349,458","1,411,436",206,33.70,"27,381","4,338",59.40,9.73,49.79,11.40,10.57,0.86,0.06,41,True,0.84,10.31,6.90,34.19,352.47,88.50,5.74,0.33,0.46,73.43,23.13,0.01,0.10,0.10,0.03,0.06,0.07,0.03,-0.05,0.00
5,SEPAK,"314,617","3,507,265","9,396","4,224,915","60,365","314,617","2,581,082","6,627","926,183","2,769","172,496","2,206","249,950","926,183",159,26.87,"23,101","2,769",58.79,8.59,48.41,9.12,10.41,0.85,0.05,36,True,0.82,11.15,8.20,33.48,373.27,74.47,5.21,0.26,0.55,78.19,16.46,0.01,-0.18,-0.24,-0.22,-0.01,-0.03,-0.02,-0.20,0.08
6,SEPAK,"324,079","2,911,191","8,444","3,898,640","53,777","324,079","1,888,538","5,366","1,022,653","3,078","131,883","1,511","224,512","1,022,653",190,23.28,"20,531","3,078",62.38,9.38,50.76,11.16,9.88,0.85,0.06,48,True,0.81,8.98,5.83,38.38,344.76,83.13,6.03,0.35,0.41,87.28,13.41,0.01,-0.17,0.03,-0.10,0.06,0.05,0.01,-0.13,-0.19
7,SEPAK,"259,209","3,090,087","9,095","3,209,209","47,939","259,209","1,798,832","5,385","1,291,255","3,710","133,213","1,532","274,967","1,291,255",162,29.63,"14,026","3,710",63.04,12.03,51.26,10.30,8.86,0.84,0.06,36,True,0.81,11.92,6.94,28.50,339.76,80.77,5.41,0.42,0.51,86.95,20.78,0.01,0.06,-0.20,0.08,0.01,0.01,-0.01,0.27,0.33
8,SEPAK,"289,043","2,283,672","6,241","2,923,277","37,396","289,043","1,381,722","3,534","901,950","2,707","141,372","1,454","199,595","901,950",115,35.58,"12,693","2,707",65.56,9.76,50.69,9.31,8.99,0.86,0.06,42,True,0.77,7.90,4.78,46.31,365.91,98.88,7.73,0.39,0.49,97.23,26.59,0.01,-0.26,0.12,-0.31,0.04,-0.01,0.02,0.20,-0.34
1,SESAR,"331,023","2,572,127","7,520","4,172,761","49,765","331,023","1,427,664","4,326","1,144,463","3,194","143,064","1,687","270,891","1,144,463",208,25.85,"19,692","3,194",56.04,9.43,42.77,12.29,12.56,0.82,0.06,23,True,0.76,7.77,4.31,44.02,342.04,79.33,6.65,0.44,0.43,84.80,13.29,0.01,,,,,,,,
2,SESAR,"362,171","3,866,234","12,269","5,321,288","66,185","362,171","2,427,629","7,707","1,438,605","4,562","186,127","2,761","385,383","1,438,605",225,32.78,"18,919","4,562",57.28,9.42,47.41,9.80,12.43,0.86,0.06,31,True,0.83,10.68,6.70,29.52,315.12,68.06,5.47,0.37,0.51,67.41,20.35,0.01,0.50,0.09,0.63,0.02,0.11,0.04,0.27,0.37
3,SESAR,"503,749","4,429,489","13,293","5,443,493","65,961","503,749","2,819,565","8,065","1,609,924","5,228","254,391","2,272","397,319","1,609,924",271,32.18,"31,781","5,228",57.41,10.62,46.17,9.02,11.92,0.85,0.06,38,True,0.80,8.79,5.60,37.90,333.22,92.54,7.64,0.36,0.50,111.97,20.26,0.01,0.15,0.39,0.08,0.00,-0.03,-0.01,-0.02,-0.18
4,SESAR,"437,220","5,215,908","16,207","6,205,013","87,787","437,220","3,116,808","9,902","2,099,100","6,305","219,859","2,651","423,067","2,099,100",295,34.68,"26,662","6,305",58.48,9.98,50.74,9.91,11.35,0.86,0.07,41,True,0.87,11.93,7.13,26.98,321.83,70.46,4.98,0.40,0.50,82.93,23.33,0.01,0.18,-0.13,0.22,0.02,0.10,0.01,0.08,0.36
5,SESAR,"325,290","4,181,773","12,276","4,997,803","74,234","325,290","2,933,065","8,246","1,248,708","4,030","168,482","2,460","283,293","1,248,708",248,36.80,"27,159","4,030",59.53,10.40,50.78,9.40,9.55,0.83,0.06,36,True,0.85,12.86,9.02,26.50,340.65,65.09,4.38,0.30,0.52,68.49,27.25,0.01,-0.20,-0.26,-0.24,0.02,0.00,-0.04,0.06,0.08
6,SESAR,"409,309","4,281,768","12,254","4,591,791","63,767","409,309","2,828,047","7,911","1,453,721","4,343","192,589","2,417","330,011","1,453,721",192,33.83,"26,746","4,343",62.03,9.04,52.11,9.83,9.62,0.85,0.05,48,True,0.84,10.46,6.91,33.40,349.42,89.14,6.42,0.34,0.47,79.68,24.21,0.01,0.02,0.26,-0.00,0.04,0.03,0.03,-0.08,-0.19
7,SESAR,"294,174","3,344,458","10,481","4,145,523","54,510","294,174","2,287,884","6,294","1,056,574","4,187","155,908","1,976","311,707","1,056,574",213,30.32,"19,721","4,187",65.96,12.35,50.62,10.13,9.53,0.84,0.06,36,True,0.77,11.37,7.78,28.07,319.10,70.96,5.40,0.32,0.53,78.90,20.78,0.01,-0.22,-0.28,-0.14,0.06,-0.03,-0.02,-0.10,0.09
8,SESAR,"347,374","2,977,823","8,650","4,233,141","51,566","347,374","2,007,808","5,445","970,015","3,205","173,795","1,892","230,354","970,015",190,34.62,"17,350","3,205",63.83,10.82,52.47,9.84,9.32,0.85,0.07,42,True,0.82,8.57,5.78,40.16,344.26,82.06,6.74,0.33,0.50,91.86,25.29,0.01,-0.11,0.18,-0.17,-0.03,0.04,0.02,0.14,-0.25
1,SETK,"304,366","4,262,965","12,013","4,803,996","63,448","304,366","2,898,657","7,865","1,364,308","4,148","165,488","2,243","280,656","1,364,308",263,36.12,"20,513","4,148",56.36,10.02,42.13,11.68,12.00,0.84,0.07,23,True,0.75,14.01,9.52,25.34,354.86,63.36,4.80,0.32,0.54,73.78,24.12,0.01,,,,,,,,
2,SETK,"342,397","3,644,295","10,959","4,151,089","58,026","342,397","2,523,724","6,726","1,120,571","4,233","155,093","2,042","351,207","1,120,571",287,39.08,"30,175","4,233",54.76,9.54,46.49,10.75,11.00,0.85,0.06,31,True,0.85,10.64,7.37,31.24,332.54,82.48,5.90,0.31,0.45,75.95,28.08,0.01,-0.15,0.12,-0.09,-0.03,0.10,0.01,0.08,-0.24
3,SETK,"394,394","4,720,576","13,124","5,717,075","76,135","394,394","3,054,829","8,341","1,665,747","4,783","164,261","2,638","389,154","1,665,747",300,44.15,"28,077","4,783",55.98,9.35,49.65,9.01,11.51,0.83,0.07,38,True,0.89,11.97,7.75,30.05,359.69,68.99,5.18,0.35,0.42,62.27,32.64,0.01,0.30,0.15,0.20,0.02,0.07,-0.02,0.13,0.12
4,SETK,"489,059","4,995,291","13,591","5,823,246","75,571","489,059","3,613,956","8,940","1,381,335","4,651","249,591","2,698","473,219","1,381,335",237,36,"24,131","4,651",59.05,9.58,47.40,11.84,10.53,0.85,0.06,41,True,0.80,10.21,7.39,35.98,367.54,83.98,6.47,0.28,0.51,92.51,25.47,0.01,0.06,0.24,0.04,0.05,-0.05,0.02,-0.18,-0.15
5,SETK,"375,844","4,126,342","11,573","5,459,194","69,791","375,844","2,623,834","7,082","1,502,508","4,491","174,123","2,447","354,251","1,502,508",261,27.77,"25,872","4,491",60.94,11.41,48.66,11.54,9.99,0.85,0.05,36,True,0.80,10.98,6.98,32.48,356.55,68.85,5.39,0.36,0.46,71.16,17.77,0.01,-0.17,-0.23,-0.15,0.03,0.03,-0.00,-0.23,0.07
6,SETK,"420,177","3,568,116","10,018","4,011,507","55,182","420,177","2,146,389","5,994","1,421,727","4,024","204,286","2,315","294,836","1,421,727",171,31.22,"22,980","4,024",61.63,10.58,50.81,10.40,10.14,0.84,0.06,48,True,0.82,8.49,5.11,41.94,356.17,104.74,7.61,0.40,0.49,88.24,21.08,0.01,-0.14,0.12,-0.13,0.01,0.04,-0.01,0.12,-0.23
7,SETK,"329,364","3,163,455","8,671","3,526,674","48,132","329,364","1,846,080","5,151","1,317,375","3,520","179,034","1,686","251,067","1,317,375",218,25.75,"22,755","3,520",63.78,10.97,49.49,10.53,9.44,0.85,0.06,36,True,0.78,9.60,5.60,37.98,364.83,93.39,6.84,0.42,0.54,106.19,16.31,0.01,-0.11,-0.22,-0.13,0.03,-0.03,0.01,-0.18,0.13
8,SETK,"286,684","2,626,373","7,800","3,186,827","42,837","286,684","1,984,459","5,506","641,914","2,294","125,017","1,628","196,695","641,914",158,31.67,"18,859","2,294",63.38,10.89,52.78,12.44,8.49,0.86,0.06,42,True,0.83,9.16,6.92,36.75,336.71,89.96,6.69,0.24,0.44,76.79,23.18,0.01,-0.17,-0.13,-0.10,-0.01,0.07,0.01,0.23,-0.05
1,SGE,"317,093","3,271,559","10,127","5,045,368","58,954","317,093","1,934,892","6,122","1,336,667","4,005","125,330","2,557","339,060","1,336,667",203,30.68,"26,658","4,005",54.17,10.38,46.01,9.82,11.83,0.83,0.07,23,True,0.85,10.32,6.10,31.31,323.05,62.85,5.38,0.41,0.40,49.01,18.84,0.01,,,,,,,,
2,SGE,"433,557","6,413,190","17,180","6,220,358","88,252","433,557","4,253,849","10,763","2,159,341","6,417","189,305","2,682","411,563","2,159,341",331,33.48,"25,753","6,417",56.84,9.07,46.79,10.28,11.43,0.85,0.06,31,True,0.82,14.79,9.81,25.24,373.29,69.70,4.91,0.34,0.44,70.58,22.05,0.02,0.96,0.37,0.70,0.05,0.02,0.03,0.09,0.43
3,SGE,"563,554","6,296,818","17,162","7,717,148","95,326","563,554","4,014,446","11,029","2,282,372","6,133","284,536","3,866","445,788","2,282,372",466,30.08,"42,473","6,133",57.99,10.49,47.27,10.63,11.73,0.85,0.06,38,True,0.82,11.17,7.12,32.84,366.90,73.03,5.91,0.36,0.50,73.60,18.36,0.01,-0.02,0.30,-0.00,0.02,0.01,0.00,-0.10,-0.24
4,SGE,"553,798","5,389,095","17,201","6,682,186","92,393","553,798","3,491,421","10,261","1,897,674","6,940","252,054","3,373","520,972","1,897,674",357,35.43,"28,215","6,940",59.49,9.76,47.70,10.93,10.70,0.84,0.06,41,True,0.80,9.73,6.30,32.20,313.30,82.88,5.99,0.35,0.46,74.73,24.73,0.01,-0.14,-0.02,0.00,0.03,0.01,-0.02,0.18,-0.13
5,SGE,"457,058","3,832,443","11,169","6,073,655","78,935","457,058","2,399,930","7,047","1,432,513","4,122","242,861","2,600","318,407","1,432,513",280,39.87,"31,836","4,122",57.16,10.88,50.24,9.34,10.35,0.84,0.07,36,True,0.88,8.39,5.25,40.92,343.13,75.25,5.79,0.37,0.53,93.41,29.51,0.01,-0.29,-0.17,-0.35,-0.04,0.05,0.01,0.13,-0.14
6,SGE,"422,744","5,526,131","14,418","5,397,148","76,043","422,744","3,887,161","9,943","1,638,970","4,475","188,918","2,850","366,278","1,638,970",235,34.63,"22,855","4,475",61.77,9.17,49.10,9.08,9.90,0.86,0.06,48,True,0.79,13.07,9.20,29.32,383.28,78.33,5.56,0.30,0.45,66.29,24.74,0.01,0.44,-0.08,0.29,0.08,-0.02,0.01,-0.13,0.56
7,SGE,"379,598","3,352,173","10,559","4,891,492","69,095","379,598","2,370,855","7,431","981,318","3,128","192,051","2,324","244,165","981,318",211,28.27,"26,939","3,128",62.05,10.99,49.91,11.44,9.87,0.86,0.07,36,True,0.80,8.83,6.25,35.95,317.47,77.60,5.49,0.29,0.51,82.64,18.40,0.01,-0.39,-0.10,-0.27,0.00,0.02,0.00,-0.18,-0.32
8,SGE,"388,100","3,880,882","12,346","4,375,727","57,430","388,100","2,076,511","6,925","1,804,371","5,421","177,676","2,326","324,757","1,804,371",210,24.82,"18,158","5,421",65.76,9.91,52.46,9.32,8.37,0.85,0.06,42,True,0.80,10.00,5.35,31.44,314.34,88.69,6.76,0.46,0.46,76.39,16.45,0.02,0.16,0.02,0.17,0.06,0.05,-0.01,-0.12,0.13
